Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ08JD75P,JSC - Johnson Space Flight Center,,SC,'05',4/2/2008,3/22/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development, Service Provider, Small Business","Purchase Order, Firm Fixed Price",0,"9,000","9,000",541512,N/A,N/A,Annual Printer Maintenance
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL09AE08P,LaRC - Langley Research Center,Hampton,VA,'01',7/7/2009,12/31/2009,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"38,691","38,691",541512,N/A,N/A,3D SYSTEMS ANNUAL MAINTENANCE
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL10AA98P,LaRC - Langley Research Center,Rock Hill,SC,'05',1/25/2010,2/15/2010,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","14,295","14,295","14,295",325211,N/A,N/A,Stereolithography Resin
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL10AA99P,LaRC - Langley Research Center,,VA,'01',1/19/2010,12/31/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","127,260","302,040","302,040",811219,N/A,N/A,3D Systems hardware maintenance for rapid prototyping machines
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL10AC02P,LaRC - Langley Research Center,Rock Hill,SC,'05',4/15/2010,5/15/2010,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","28,314","28,314","28,314",333513,N/A,N/A,Duraform CoCr ASTM75 Cobalt Chrome Powder
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNK06MA43B,KSC - Kennedy Space Flight Center,[N/A for IDVs],,'NA',1/10/2006,[None Indicated],"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Indefinite Delivery Contract, Firm Fixed Price",0,0,0,424690,N/A,N/A,HFE-7100
"3SL INC [HUNTSVILLE,ALABAMA]",NNG09DA62P,GSFC - Goddard Space Flight Center,Huntsville,AL,'05',9/1/2009,10/30/2009,", Small Business ONLY - For Profit Organization, Service Provider","Purchase Order, Firm Fixed Price",0,"5,508","5,508",541690,N/A,N/A,"2-Day Cradle Requirements Management Course, Fee is up to 8, Training Instructor Expenses, Part#CR-EXPEN "
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX10AA33D,NSSC - NASA Shared Services Center,,MS,'04',7/14/2010,7/14/2012,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","485,000","1,455,000","1,455,000",541513,N/A,N/A,CRADLE SOFTWARE MAINTENANCE POP 7/15/2010-7/14/2011
"3TEX INCORPORATED [CARY,NORTH CAROLINA]",NNC08CA44C,GRC - Glenn Research Center,CARY,NC,'04',1/15/2008,2/17/2010,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price",0,"190,314","190,314",541712,N/A,N/A,"NNC08CA44C BASIC CONTRACT 3-D BRAIDED CERAMIC FIBER VANE PREFORMS3TEX S 3-D BRAIDING PROCESS OFFERS A METHOD OF FORMING THE NEAR NET SHAPE OF A VANE COMPLETE WITH INTEGRAL STIFFENER AND A FINE TRAILING EDGE RADIUS, ALL MADE IN A SINGLE PASS, AUTOMATED PROCESS. FURTHER, WITHOUT STOPPING THE 3-D BRAIDING, THE CROSS-SECTIONAL SHAPE CAN BE CHANGED TO ACCOMMODATE JOINING OR OTHER FUNCTIONAL REQUIREMENTS. RELATIVE SMALL CHANGES TO THE BRAIDER CARRIER DESIGN WILL ENABLE EXISTING MACHINES TO MAKE THESE STRUCTURES USING TRADITIONALLY DIFFICULT-TO-PROCESS CERAMIC FIBERS SUCH AS SYLRAMIC IBN AND HI-NICALON/HI NICALON S."
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG09DA57P,GSFC - Goddard Space Flight Center,Tucson,AZ,'07',8/26/2009,10/8/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development","Purchase Order, Firm Fixed Price",0,"35,998","35,998",333314,N/A,N/A,Optical Instrument and Lens Manufacturing (WYKO 400 SERIES UPGRADE)AND SHIPPING.
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG10PB03P,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',11/16/2009,1/29/2010,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development","Purchase Order, Firm Fixed Price","25,267","25,267","25,267",333314,N/A,N/A,"Removal, repair and replacement for FIZCAM 1500 Pixlatesd camera sensor."
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG10PM28P,GSFC - Goddard Space Flight Center,Tucson,AZ,'07',3/15/2010,6/10/2011,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development","Purchase Order, Firm Fixed Price","275,000","275,000","275,000",333314,N/A,N/A,PhaseCam Dynamic Interferometer
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNM10AB68P,MSFC - Marshall Space Flight Center,TUCSON,AZ,'07',4/27/2010,10/12/2010,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","13,790","13,790","13,790",333314,N/A,N/A,4D TECHNOLOGY PHASECAM CAMERA CONVERTER UPGRADE.
"42 DEGREES NORTH [ALLSTON,MASSACHUSETTS]",NNG10HW39P,GSFC - Goddard Space Flight Center,Allston,MA,'08',12/3/2009,12/7/2009,", Woman Owned Small Business, Small Business - For Profit Organization, Service Provider, Women Owned","Purchase Order, Firm Fixed Price","10,000","10,000","10,000",512110,N/A,N/A,EMERGENCY Motion Graphics
"4D INC [SAN JOSE,CALIFORNIA]",NNL09AA37P,LaRC - Langley Research Center,,CA,'15',12/2/2008,12/31/2010,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"60,000","60,000",511210,N/A,N/A,Site license agreement for TechTracs
"4DSP, INC. [RENO,NEVADA]",NNL09AE13P,LaRC - Langley Research Center,Reno,NV,'02',7/16/2009,10/2/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,"23,349","23,349",334111,N/A,N/A,FPGA-BASED PMC-X MODULE
"4H ROCKET CLUB [MUNFORDVILLE,KENTUCKY]",NNM10AA07P,MSFC - Marshall Space Flight Center,MUNFORDVILLE,KY,'02',12/2/2009,10/5/2010,Non-Profit Institutions - Nonprofit Organization,"Purchase Order, Firm Fixed Price","3,700","3,700","3,700",[None Indicated],N/A,N/A,2009-2010 STUDENT LAUNCH INITIATIVE
"4MD MEDICAL SOLUTIONS LLC [LAKEWOOD,NEW JERSEY]",NNL10AD04D,LaRC - Langley Research Center,Lakewood,NJ,'04',9/23/2010,10/23/2010,", Woman Owned Small Business, Small Business - For Profit Organization, Women Owned","Delivery Order, Firm Fixed Price","4,270","4,270","4,270",339112,N/A,N/A,PURCHASE AN ECG MACHINE FOR THE CLINIC
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB58T,JSC - Johnson Space Flight Center,,TX,'22',12/31/2008,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","46,978","95,143","95,143",541611,N/A,N/A,Management/Support Services
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB59T,JSC - Johnson Space Flight Center,,TX,'18',12/31/2008,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","69,020","144,079","144,079",541611,N/A,N/A,Management/Support Services
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB60T,JSC - Johnson Space Flight Center,,TX,'22',12/31/2008,7/22/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"52,670","127,729","127,729",541611,N/A,N/A,Management/Support Services
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB61T,JSC - Johnson Space Flight Center,,TX,'22',12/31/2008,12/31/2014,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,0,"79,773","79,773",541611,N/A,N/A,Management/Support Services
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JB70Z,JSC - Johnson Space Flight Center,[N/A for IDVs],,'NA',12/30/2008,[None Indicated],"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,541611,N/A,N/A,"Procurement administrative activities, configuration management of documents, procurement related analysis and report integration"
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC89T,JSC - Johnson Space Flight Center,,TX,'22',2/10/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"90,146","162,039","162,039",541611,N/A,N/A,To allocate funds for Business Analyst in the JSC Procurement Office
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC90T,JSC - Johnson Space Flight Center,,TX,'36',2/10/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"76,713","133,902","133,902",541611,N/A,N/A,To allocate funds for Business Analyst for JSC Procurement Office
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC91T,JSC - Johnson Space Flight Center,,TX,'22',2/10/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"86,727","158,620","158,620",541611,N/A,N/A,To allocatefunds for Business Analyst to support JSC Procurement Office
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC92T,JSC - Johnson Space Flight Center,,TX,'22',2/10/2009,9/30/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","-3,438","23,967","23,967",541611,N/A,N/A,To allocate funds for Business Analyst in the JSC Procurement Office
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JC93T,JSC - Johnson Space Flight Center,,TX,'22',2/12/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"69,519","131,389","131,389",541611,N/A,N/A,Prcurement/Business Analyst for JSC Procurement Office
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JD01T,JSC - Johnson Space Flight Center,,TX,'22',2/19/2009,6/12/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","-19,864","146,857","146,857",541611,N/A,N/A,To allocate funds for seven Contract Specialists at the JSC Procurement office 
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JD02T,JSC - Johnson Space Flight Center,,TX,'22',2/20/2009,6/12/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","-4,882","48,547","48,547",541611,N/A,N/A,To allocate funds for four Business Analyst for JSC Procurement Office
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JE24T,JSC - Johnson Space Flight Center,,TX,'36',6/15/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"331,612","574,308","574,308",541611,N/A,N/A,"TAS::80 0121::TAS Procurement administrative activities, configuration management of documents, procurement related analysis and report integration for Recovery Act Construction Contracts"
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JE25T,JSC - Johnson Space Flight Center,,TX,'22',6/15/2009,12/31/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"-4,449","73,328","73,328",541611,N/A,N/A,"TAS::80 0121::TAS Procurement administrative activities, configuration management of documents, procurement related analysis and report integration/Administrative Support for Recovery Act Construction Contracts "
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ09JE56T,JSC - Johnson Space Flight Center,HOUSTON,TX,'36',6/15/2009,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned",BPA Call,"72,805","110,867","110,867",541611,N/A,N/A,"TAS::80 0121::TAS Procurement administrative activities, configuration management of documents, procurement related analysis and report integration/Administrative Support for Recovery Act Construction Contracts"
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ10JC51T,JSC - Johnson Space Flight Center,,TX,'22',2/11/2010,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","57,486","53,515","53,515",541611,N/A,N/A,ALLOCATE FUNDS FOR A ADMINISTRATIVE SUPPORT PROGRAM MANAGER
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ10JC52T,JSC - Johnson Space Flight Center,Houston,TX,'22',2/11/2010,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","39,938","39,938","39,938",541611,N/A,N/A,TAS::80 0121::TAS  RECOVERY ACT-CLIN 1 ADMINISTRATIVE SUPPORT PROGRAM MANAGER CALL 16 4W SOLUTIONS
"4W SOLUTIONS INC [HOUSTON,TEXAS]",NNJ10JG33T,JSC - Johnson Space Flight Center,,TX,'22',8/5/2010,9/30/2010,"SBA Certified HUBZone, Small Disadvantaged Business, Woman Owned Small Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Women Owned","BPA Call, Firm Fixed Price","18,476","18,476","18,476",541611,N/A,N/A,Business Analyst II
"818 AVIATION INC [NEWHALL,CALIFORNIA]",NND10AI75P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',4/12/2010,4/30/2010,", Small Business ONLY - For Profit Organization, Subchapter S Corporation","Purchase Order, Firm Fixed Price","5,413","5,413","5,413",423860,N/A,N/A,ENGINE REPAIRS ON G-III
"91ST STREET JOINT VENTURE, LLC [OCEAN CITY,MARYLAND]",NNG10PS08P,GSFC - Goddard Space Flight Center,Ocean City,MD,'01',9/8/2010,10/12/2010,"Other Than Small Business - For Profit Organization, Partnership Or Limited Liability Partnership","Purchase Order, Firm Fixed Price","11,150","11,150","11,150",721110,N/A,N/A,"RESOURCES RETREAT -25 ROOMS, AV SUPPORT"
"@XI COMPUTER CORPORATION [SAN CLEMENTE,CALIFORNIA]",NNG10HV17D,GSFC - Goddard Space Flight Center,San Clemente,CA,'44',3/5/2010,4/19/2010,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","10,565","10,565","10,565",443120,N/A,N/A,@Xi MTower 2P64X Workstation
"@XI COMPUTER CORPORATION [SAN CLEMENTE,CALIFORNIA]",NNG10HW95D,GSFC - Goddard Space Flight Center,San Clemente,CA,'44',5/10/2010,6/18/2010,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price","10,368","10,368","10,368",443120,N/A,N/A,(Server)  Xi
"A & A SHEET METAL PRODUCTS INC [LA PORTE,INDIANA]",NNC10DD83D,GRC - Glenn Research Center,LA PORTE,IN,'02',8/23/2010,8/24/2010,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","3,393","3,363","3,363",332311,N/A,N/A,OUTDOOR STORAGE LOCKER
"A & B GROUP, INC. [SULPHUR,LOUISIANA]",NNM10AA92P,MSFC - Marshall Space Flight Center,SULPHUR,LA,'07',6/30/2010,9/1/2010,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Very Small Business","Purchase Order, Firm Fixed Price","55,798","55,798","55,798",238990,N/A,N/A,PERLITE REPLACEMENT.
"A & N CORPORATION [WILLISTON,FLORIDA]",NNM10AD73P,MSFC - Marshall Space Flight Center,WILLISTON,FL,'05',9/16/2010,1/4/2011,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","8,031","8,031","8,031",332312,N/A,N/A,LIGHTNING MAPPING ARRAY CIRCUIT BOARDS
"A & N ELECTRIC COOPERATIVE [TASLEY,VIRGINIA]",NNG08WF05P,GSFC - Goddard Space Flight Center,,VA,'02',9/12/2008,10/31/2009,Other Than Small Business - [No Vendor Indicators Found],"Purchase Order, Firm Fixed Price","-148,983","5,131,829","5,500,000",335311,N/A,N/A,WFF Permanent Electric Service
"A & N ELECTRIC COOPERATIVE [TASLEY,VIRGINIA]",NNG10WA20C,GSFC - Goddard Space Flight Center,WALLOPS ISLAND,VA,'02',9/15/2010,10/31/2015,Non-Profit Institutions - Other Not For Profit Organization,"Definitive Contract, Firm Fixed Price",1,"22,296,748","27,500,000",221122,NNG10318683R,N/A,Electricity distribution services at the Wallops Flight Facility.
"A & P TECHNOLOGY, INC. [CINCINNATI,OHIO]",NNC10CA19C,GRC - Glenn Research Center,CINCINNATI,OH,'02',5/3/2010,2/29/2012,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Definitive Contract, Firm Fixed Price","59,397","59,397","59,397",541712,N/A,N/A,THE CONTRACTOR SHALL MODIFY THE GEARS BY REMOVING STEEL MATERIAL AND REPLACING IT WITH COMPOSITE MATERIAL TO FORM A HYBRID COMPOSITE/STEEL TEST GEAR.
"A 2 GROUP INC [NEW YORK,NEW YORK]",NND10CC02P,AFRC - Armstrong Flight Research Center,New York,NY,'14',5/17/2010,6/4/2010,", Woman Owned Small Business, Small Business - For Profit Organization, Subchapter S Corporation, Women Owned","Purchase Order, Firm Fixed Price","10,241","10,241","10,241",423860,N/A,N/A,P-Card Order Log PC10816525 for one (1) each of PN 900-002-179 (Oxygen Control Panel).
"A AND M ELECTRONICS SUPPLY INC [STAFFORD,TEXAS]",NNJ09HE16P,JSC - Johnson Space Flight Center,Stafford,TX,'22',9/17/2009,10/30/2009,", Small Disadvantaged Business, Small Business - Asian Pacific American Owned Business, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Manufacturer Of Goods, Minority Owned, SBA Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,"22,545","22,545",334419,N/A,N/A,DC-DC CONVERTERS
"A AND M ELECTRONICS SUPPLY INC [STAFFORD,TEXAS]",NNL10AE38P,LaRC - Langley Research Center,Stafford,TX,'22',8/6/2010,12/29/2010,", Small Disadvantaged Business, Small Business - Asian Pacific American Owned Business, Corporate Entity Not Tax Exempt, DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Manufacturer Of Goods, Minority Owned, SBA Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price","12,580","12,580","12,580",423690,N/A,N/A,LEMO CONNECTORS
