Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VH10P,GRC - Glenn Research Center,Andover,MA,'03',7/8/2013,7/31/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","9,655","9,655","9,655",423410,N/A,N/A,"PROSILICA CAMERA, TRIPOD,&POWER SUPPLY",,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VH60P,GRC - Glenn Research Center,ANDOVER,MA,'03',7/25/2013,8/28/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","3,089","3,086","3,086",423410,N/A,N/A,CAMERA AND CAMERA ACCESSORIES (TOTAL QUANTITY: 3),,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC13VJ41P,GRC - Glenn Research Center,ANDOVER,MA,'03',9/11/2013,9/17/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","3,010","3,007","3,007",334220,N/A,N/A,IGF::OT::IGFNORPIX STREAMPIX 5 RECORDING SOFTWARE&NORPIX SOFTWARE LICENSE USB KEY,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNM13AC10P,MSFC - Marshall Space Flight Center,ANDOVER,MA,'03',3/15/2013,4/15/2013,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","7,187","7,187","7,187",423410,N/A,N/A,"THE PURPOSE OF THIS PURCHASE ORDER IS FOR ONE (1) CCD CAMERA, PART NUMBER PRO-GX-3300-04 AND ONE (1) POWER SUPPLY, AC/DC PART NUMBER PSS-610-06 PER ATTACHED STATEMENT OF WORK.",,,,,,,,,
"2B TECHNOLOGIES INC [BOULDER,COLORADO]",NNG12HE37P,GSFC - Goddard Space Flight Center,Boulder,CO,'02',9/17/2012,10/17/2012,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"6,100","6,100",334516,N/A,N/A,OZONE MONITORING SYSTEM AND SHIPPING.,,,,,,,,,
"2B TECHNOLOGIES INC [BOULDER,COLORADO]",NNL12AG15P,LaRC - Langley Research Center,Boulder,CO,'02',9/18/2012,10/10/2012,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"6,350","6,350",334516,N/A,N/A,OZONE MONITORING EQUIPMENT,,,,,,,,,
"2B TECHNOLOGIES INC [BOULDER,COLORADO]",NNL13AF25P,LaRC - Langley Research Center,Boulder,CO,'02',8/14/2013,9/23/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","6,225","6,225","6,225",334516,N/A,N/A,OZONE CALIBRATION UNIT WITH PARTS FOR CAPABLE SITE,,,,,,,,,
"3 CIM INC [SANTA CLARA,CALIFORNIA]",NNL12AG12P,LaRC - Langley Research Center,,CA,'17',9/20/2012,2/8/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"150,000","150,000",541330,N/A,N/A,SPUTTERING SYSTEM FOR CO-DEPOSITION WITH TWO 7-INCH TARGETS,,,,,,,,,
"3 CIM INC [SANTA CLARA,CALIFORNIA]",NNL13AD50P,LaRC - Langley Research Center,Hampton,VA,'02',7/1/2013,8/2/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","13,000","13,000","13,000",541330,N/A,N/A,POWER UPGRADE AND ON-SITE INSTALLATION OF ULTRA HIGH VACUUM SUPER RHOMBO SYSTEM,,,,,,,,,
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND12AC16P,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',5/22/2012,5/24/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"13,770","13,770",541511,N/A,N/A,POLYWORKS LICENSE AND MAINTENANCE AGREEMENT,,,,,,,,,
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND13AB91P,AFRC - Armstrong Flight Research Center,IRVINE,CA,'45',5/29/2013,5/29/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","6,880","6,880","6,880",541511,NND13AB91P,N/A,POLYWORKS MAINTENANCE,,,,,,,,,
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND13AC70P,AFRC - Armstrong Flight Research Center,IRVINE,CA,'45',7/29/2013,7/28/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","19,160","19,160","19,160",541511,N/A,N/A,IGF::OT::IGFPWMN: PLYWORKS/MODELER,,,,,,,,,
"3D LASER ART [LAS VEGAS,NEVADA]",NNJ13RA93P,JSC - Johnson Space Flight Center,,NV,'01',7/31/2013,8/30/2013,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,0,0,327215,N/A,N/A,200 XL CRYSTAL RECTANGLE AWARDS,,,,,,,,,
"3D PLUS U.S.A., INC. [MCKINNEY,TEXAS]",NNG13LC34P,GSFC - Goddard Space Flight Center,McKinney,TX,'03',8/6/2013,10/5/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","24,650","24,650","24,650",334413,N/A,N/A,FUNDS FOR IB - 32GB NAND FLASH (5 EACH) AND IB - 2GB DDR SDRAM (6 EACH).,,,,,,,,,
"3D PLUS U.S.A., INC. [MCKINNEY,TEXAS]",NNL12AQ03P,LaRC - Langley Research Center,,TX,'03',3/14/2012,1/15/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","1,230","87,780","87,780",334413,N/A,N/A,FLASH MEMORY CHIPS,,,,,,,,,
"3D PLUS U.S.A., INC. [MCKINNEY,TEXAS]",NNL13AA77P,LaRC - Langley Research Center,McKinney,TX,'03',12/20/2012,3/29/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","5,950","5,950","5,950",334413,N/A,N/A,INDUSTRIAL GRADE 2GB SDRAMS,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ12JE03P,JSC - Johnson Space Flight Center,,SC,'05',7/17/2012,8/16/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"13,798","13,798",541512,N/A,N/A,36-MONTHS OF IT EQUIPMENT SUPPORT SEWP ORDER,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ13JB01P,JSC - Johnson Space Flight Center,,SC,'05',5/29/2013,7/31/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","10,349","10,349","10,349",541512,N/A,N/A,"24-MONTHS OF IT EQUIPMENT SUPPORT \SEWP ORDER\""""",,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL10AA99P,LaRC - Langley Research Center,,VA,'01',1/19/2010,12/31/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","50,760","302,040","302,040",811219,N/A,N/A,3D Systems hardware maintenance for rapid prototyping machines,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL12AF71P,LaRC - Langley Research Center,Rock Hill,SC,'05',8/28/2012,8/31/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"9,000","9,000",811219,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS: 3D SYSTEM PRINTER MAINTENANCE AGREEMENT,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AA50P,LaRC - Langley Research Center,,SC,'05',11/21/2012,12/26/2012,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","6,325","6,325","6,325",333514,N/A,N/A,COBALT CHROME POWDER,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AA91P,LaRC - Langley Research Center,Hampton,VA,'02',1/11/2013,12/31/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","39,000","39,000","39,000",811219,N/A,N/A,"\IGF::OT::IGF\"" ANNUAL MAINTENANCE FOR 3D SYTEMS 7000 VIPER""",,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AB03P,LaRC - Langley Research Center,,SC,'05',2/11/2013,2/22/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","11,857","11,829","11,857",333514,N/A,N/A,"RESIN, ACCURA 60, 10 KG",,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AB79P,LaRC - Langley Research Center,Hampton,VA,'02',3/7/2013,4/1/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,800","4,800","4,800",811219,N/A,N/A,IGF::OT::IGF DEINSTALL/REINSTALL OF TWO 3D SYSTEMS STEREOLITHOGRAPHY (SLA) MACHINES,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AB94P,LaRC - Langley Research Center,Rock Hill,SC,'05',3/14/2013,4/10/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,880","4,880","4,880",333514,N/A,N/A,"CUSTOM-MADE KING POST 4\ COMPOSITE TUBE TOP FITTING""",,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AC10P,LaRC - Langley Research Center,,SC,'05',3/29/2013,4/10/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","10,515","8,842","10,515",333511,N/A,N/A,METAL POWDER,,,,,,,,,
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",NNM13AE93P,MSFC - Marshall Space Flight Center,ANNISTON,AL,'03',8/7/2013,9/4/2013,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","5,513","5,513","5,513",511210,N/A,N/A,IGF::OT::IGFPROCUREMENT FOR THE PURCHASE OF GIBBSCAM SOFTWARE IN SUPPORT OF ES43.,,,,,,,,,
"3DEWITT, LLC [ANCRAMDALE,NEW YORK]",NNX12AR10G,NSSC - NASA Shared Services Center,,NY,'19',9/21/2012,10/9/2013,", Small Business ONLY - For Profit Organization, Limited Liability Corporation",Grant,"2,365","92,965","92,965",[None Indicated],N/A,N/A,"THERE IS AN AMUSING COMPARISON MADE BETWEEN EXOPLANETS AND THE CHILDREN&#039;S STORY OF GOLDILOCKS, BECAUSE SOME PLANETARY ORBITS ARE TOO HOT, AND SOME ARE TOO COLD, BUT SOME ARE JUST RIGHT. HOWEVER, GOLDILOCKS ISN&#039;T SIMPLY ABOUT TEMPERATURE. IT&#039;S ABOUT PORRIDGE. WHAT KIND OF TELESCOPE CAN SENSE HOME COOKING WITHIN THE HABITABLE ZONES OF OUR STELLAR NEIGHBORHOOD? THE EXTRAORDINARY DEMANDS MADE BY EXOPLANET DISCOVERY INCLUDE TELESCOPE APERTURES OF UNPRECEDENTED ANGULAR RESOLUTION AND SENSITIVITY. HOWEVER, THAT BALLGAME CANNOT EVEN BEGIN WITHOUT A METHOD TO OCCLUDE OR NULL THE HOST STAR AND REMOVE ITS GLARE. AS IF THAT WERE NOT TROUBLE ENOUGH, HABITABLE PLANET DISCOVERY NECESSITATES EXQUISITE SPECTROGRAPHIC CAPABILITY. THE NECESSITY IS NOT LOST ON NASA. THE DECADAL SURVEY OF ASTRONOMY AND ASTROPHYSICS MAKES IT QUITE CLEAR THAT EXOPLANET DISCOVERY MUST INCLUDE A SPECTROSCOPY COMPONENT. YET THERE ARE NO EXISTING HABITABLE PLANET ZONE FINDERS WITH SPECTROGRAPHS AND FEW ARE PLANNED. HOMES (HOLOGRAPHIC OPTICAL METHOD FOR EXOPLANET SPECTROSCOPY) IS A SPACE TELESCOPE DESIGNED TO HIT ALL OF THESE CRITERIA. ITS DOUBLE DISPERSION ARCHITECTURE EMPLOYS A HOLOGRAPHIC OPTICAL ELEMENT AS A PRIMARY OBJECTIVE IN CONJUNCTION WITH A NOVEL SECONDARY SPECTRAL INTERFEROMETER. UNLIKE MIRRORS AND LENSES, THE HOLOGRAMS ARE THIN AND FLAT. THEY CAN BE FABRICATED ON THIN GOSSAMER MEMBRANES AND STRETCHED OVER SPACE FRAMES COVERING THOUSANDS OF SQUARE METERS. THIS PROVIDES THE SCALE OF COLLECTOR NEEDED TO CAPTURE THE PHOTONS FROM VERY FAINT SOURCES LIKE EXOPLANETS AND BRING THEM TO A FOCUS. BECAUSE HOLOGRAPHIC OPTICS FOCUS BY THE PROCESS OF DISPERSION, THEY ARE INTRINSICALLY SPECTROGRAPHIC PROVIDING A WEALTH OF DETAIL ABOUT THE COMPOSITION OF THE IMAGES THEY FORM. ADD TO THIS A NOVEL NOTCH FILTER TO DIM THE STAR THAT TAKES ADVANTAGE OF THE SPECTROGRAPHIC IMAGE, AND HOMES IS A CONCEPT THAT ADDRESSES THE DEMANDING SPECIFICATIONS OF A TELESCOPE TO FIND HABITABLE PLANETS WITHIN 30 LIGHT YEARS OF EARTH.",,,,,,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNC13ME95P,GRC - Glenn Research Center,,MN,'04',12/6/2012,12/17/2012,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","5,159","5,159","5,159",325998,N/A,N/A,10 GALLONS FLUORINERT FC-72 ELECTRONIC LIQUID  GRC POC:NANCY HALL 216-433-5643 DELIVER TO:HYOUNGSOON LEE 765-494-5634,,,,,,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNG13RG37D,GSFC - Goddard Space Flight Center,SAINT PAUL,MN,'04',6/14/2013,6/13/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","BPA Call, Firm Fixed Price","7,000","39,990","39,990",325998,N/A,N/A,FUNDS FOR METALLOGRAPHIC LABORATORY SUPPLIES.,,,,,,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNG13RG37Z,GSFC - Goddard Space Flight Center,[N/A for IDVs],,'NA',6/14/2013,[None Indicated],"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,325998,N/A,N/A,METALLOGRAPHIC LABORATORY SUPPLIES,,,,,,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNL12AG14P,LaRC - Langley Research Center,SAINT PAUL,MN,'04',9/11/2012,11/29/2012,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",-21,"67,766","67,787",334516,N/A,N/A,INSULATING MATERIAL FOR HIAD,,,,,,,,,
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX12AA55D,NSSC - NASA Shared Services Center,Stennis Space Center,MS,'04',7/13/2012,7/29/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"47,999","47,999",541513,N/A,N/A,IGF::OT::IGF OTHER FUNCTIONS- CRADLE AUDIT GENERATOR,,,,,,,,,
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX13AA62D,NSSC - NASA Shared Services Center,,MS,'04',7/15/2013,7/14/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","321,379","321,379","321,379",541513,N/A,N/A,IGF::OT::IGF CRADLE SOFTWARE MAINTENANCE ONE YEAR,,,,,,,,,
"3SOUTH, L.L.C. [BATON ROUGE,LOUISIANA]",NNM13AF85P,MSFC - Marshall Space Flight Center,Baton Rouge,LA,'06',9/26/2013,11/8/2013,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","7,600","7,600","7,600",423850,N/A,N/A,NANA INTELLIGENT DETECTION SYSTEM,,,,,,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNC13VB64P,GRC - Glenn Research Center,AUSTIN,TX,'25',9/6/2013,12/3/2013,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","464,136",0,0,517911,N/A,N/A,TIMOTHY WARDLOW - 216-433-5928 MS:21-13IGF::OT::IGFVENDOR WILL BUILD COMPLETE SYSTEM IN THE CENTERALIZED OFFICE BUILDING.,,,,,,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL13AD05P,LaRC - Langley Research Center,Austin,TX,'25',6/11/2013,8/5/2013,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","17,672","17,672","17,672",333314,N/A,N/A,"VARIOUS CAMERAS, OPTICAL ACCESSORIES",,,,,,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL13AD96P,LaRC - Langley Research Center,Austin,TX,'25',7/16/2013,9/25/2013,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","23,790","23,790","23,790",334516,N/A,N/A,RELATIVE HUMIDITY CHAMBER,,,,,,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNM13AE71P,MSFC - Marshall Space Flight Center,Austin,TX,'25',6/17/2013,9/6/2013,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","68,005","68,005","68,005",334513,N/A,N/A,GAS ANALYZER,,,,,,,,,
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG13LC32P,GSFC - Goddard Space Flight Center,Tucson,AZ,'03',7/8/2013,9/7/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,251","4,251","4,251",333314,N/A,N/A,DIVERGING LENS,,,,,,,,,
"4 STAR ELECTRONICS, INC. [SAN CLEMENTE,CALIFORNIA]",NNL13AB15P,LaRC - Langley Research Center,San Clemente,CA,'49',1/30/2013,2/12/2013,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price","20,011","20,011","20,011",423690,N/A,N/A,DDC SPACECRAFT INTERFACE CARDS,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NNC12VC87P,GRC - Glenn Research Center,,TX,'21',6/13/2012,8/10/2012,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",15,"5,110","5,110",334111,N/A,N/A,RADIO ELECTRONICS BOARDS,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NND13AC58P,AFRC - Armstrong Flight Research Center,RENO,NV,'02',7/22/2013,1/7/2014,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","71,605","71,581","71,581",334111,N/A,N/A,FPGA MEZZANINE CARDS (FMC),,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NND13AE10P,AFRC - Armstrong Flight Research Center,RENO,NV,'02',9/26/2013,12/1/2013,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","57,400","57,400","57,400",334111,N/A,N/A,FMC BOARD,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NNG12LF51P,GSFC - Goddard Space Flight Center,Reno,NV,'02',9/28/2012,10/29/2012,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,"8,005","8,005",334111,N/A,N/A,ELECTRONIC COMPONENTS AND SHIPPING.,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NNL12AF65P,LaRC - Langley Research Center,,NV,'02',8/24/2012,3/22/2013,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",0,"20,253","20,253",334111,N/A,N/A,FIELD PROGRAMMABLE GATE ARRAY BOARD AND ROCKET CONNECTOR FRONT PANEL AND WINDOWS BSP,,,,,,,,,
