Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"3 H TECHNOLOGY INSTITUTE LLC [MEDFORD,NEW JERSEY]",80NSSC17P1548,NSSC - NASA Shared Services Center,MEDFORD,NJ,'03',9/12/2017,10/10/2017,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"57,978","57,978",541519,N/A,N/A,IGF::OT::IGFMARKFORGED X 3D PRINTER.
"3 H TECHNOLOGY INSTITUTE LLC [MEDFORD,NEW JERSEY]",80NSSC17P1553,NSSC - NASA Shared Services Center,MEDFORD,NJ,'03',9/12/2017,10/10/2017,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price",0,"57,978","57,978",541519,N/A,N/A,IGF::OT::IGFMARKFORGED X 3D PRINTER
"3D GLASS SOLUTIONS, INC. [ALBUQUERQUE,NEW MEXICO]",80NSSC17P0292,NSSC - NASA Shared Services Center,ALBUQUERQUE,NM,'01',7/10/2017,4/12/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"39,391","39,391",334516,N/A,N/A,CUSTOM FABRICATION OF FOUR(4) APEX (R) GLASS SUBSTRATES
"3D MATERIAL TECHNOLOGIES, LLC [DELAND,FLORIDA]",80NSSC18P3519,NSSC - NASA Shared Services Center,DELAND,FL,'06',9/12/2018,7/31/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price","23,618","23,618","23,618",332999,N/A,N/A,OT - ADDITIVE MANUFACTURING
"3D PLUS U.S.A., INC. [FREMONT,CALIFORNIA]",80NSSC17P1856,NSSC - NASA Shared Services Center,FREMONT,CA,'17',9/25/2017,3/21/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"90,000","90,000",334413,N/A,N/A,IGF::OT::IGFIGF::OT::IGF : 3D PLUS DDR2 CONTROLLER FIRMWARE FOR MACE SYSTEM :  4200638345
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC18P2962,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',8/7/2018,8/29/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","12,950","12,950","12,950",334413,N/A,N/A,XEMU PROJECT:  3GB SDRAM
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC18P3499,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',9/14/2018,4/22/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","34,940","34,940","34,940",334413,N/A,N/A,IGF::OT::IGF  MEMORY FOR DEVELOPMENT BOARD
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC18P3522,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',9/13/2018,9/13/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","20,480","20,480","20,480",334413,N/A,N/A,QTY 4 MODULES OF NAND FLASH POSSESSING HARDWARE ERROR DETECTION AND CORRECTION
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC18P3601,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',9/18/2018,10/9/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","44,150","44,150","44,150",334413,N/A,N/A,3DFN64G08VS8695 MS
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC17P0785,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',8/10/2017,11/13/2017,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"11,613","11,613",332117,N/A,N/A,IGF::OT::IGF17-4 STAINLESS STEEL POWDER
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC17P0975,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',8/15/2017,3/19/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"3,900","3,900",511210,N/A,N/A,IGF::OT::IGF GEOMAGIC DESIGN X-MAINTENANCE - RENEWAL-NETWORK ACTIVATION
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC18P0440,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',12/18/2017,12/31/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","39,000","39,000","39,000",811219,80NSSC18Q0110,"Jonathan G. Gomez, Email jonathan.g.gomez@nasa.gov, No Phone, jonathan.g.gomez@nasa.gov",SLA7000 AND VIPER MAINTENANCE AGREEMENT
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC18P2751,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',7/26/2018,8/1/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","13,552","13,552","13,552",333244,N/A,N/A,ACCURA PHOENIX
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNX17LB09P,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',2/14/2017,12/31/2017,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"39,000","39,000",811219,NNX17612444Q,"Philip M Pearson, Procurement Specialist, 2288136697, brad.j.binder@nasa.gov",IGF::OT::IGFANNUAL MAINTENANCE AGREEMENT FOR 3D SYSTEMS SLA 7000 AND VIPER
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",80NSSC18P0215,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',11/14/2017,3/1/2018,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","11,300","11,300","11,300",511210,N/A,N/A,GIBBS CAM 3D SOLIDS MILLING AND TURNING PACKAGE
"3DCAD PRINTER INC. [ATLANTA,GEORGIA]",80NSSC17P1308,NSSC - NASA Shared Services Center,ATLANTA,GA,'11',8/29/2017,3/21/2018,", Small Disadvantaged Business, Small Business - Black American Owned Business, Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,"17,472","17,472",332710,80NSSC17Q0249,N/A,IGF::OT::IGF FABRICATION OF A PROPULSION MODULE DEMONSTRATION PART USING SELECTIVELY LASER MELTED (SLM) TITANIUM-6AL-4V
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",80LARC17FW021,LaRC - Langley Research Center,SAN FRANCISCO,CA,'12',8/7/2017,12/31/2017,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"5,162","5,162",221115,N/A,N/A,ELECTRICITY EQUIVALENT TO RENEWABLE ENERGY CREDIT PLACED INTO SERVICE NOT LATER THAN 10.01.2016
"3M COMPANY [SAINT PAUL,MINNESOTA]",80NSSC17P0931,NSSC - NASA Shared Services Center,SAINT PAUL,MN,'04',8/11/2017,3/20/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"32,940","32,940",325998,N/A,N/A,IGF::OT::IGF
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNG13RG37D,GSFC - Goddard Space Flight Center,SAINT PAUL,MN,'04',6/14/2013,6/13/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","BPA Call, Firm Fixed Price",-10,"39,990","39,990",325998,N/A,N/A,FUNDS FOR METALLOGRAPHIC LABORATORY SUPPLIES.
"3QC, INC. [FOLSOM,CALIFORNIA]",80ARC018F0045,ARC - Ames Research Center,MOFFETT FIELD,CA,'18',1/19/2018,3/1/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Delivery Order, Firm Fixed Price","49,300","75,468","75,468",561990,N/A,N/A,"CONSTRUCTION COMMISSIONING SERVICES NASA AMES BIOSCIENCES COLLABORATIVE FACILITY, N288"
"3RD DEGREE SCREENING, INC [COUNCIL BLUFFS,IOWA]",NNK16ON13P,KSC - Kennedy Space Flight Center,COUNCIL BLUFFS,IA,'03',3/30/2016,3/29/2019,", Small Disadvantaged Business, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price",0,"6,369","6,369",561611,NNK16575851Q,"Nancy S. Cuty, Contracting Officer, 3218679761, nancy.s.cuty@nasa.gov",IGF::OT::IGF BACKGROUND INVESTIGATION SERVICES
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",80NSSC18F1446,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/11/2018,7/14/2019,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price","119,958","119,958","119,958",541513,N/A,N/A,THIS IS TO RENEW THE ANNUAL CRADLE (REQUIREMENTS MANAGEMENT SOFTWARE) MAINTENANCE.
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX16ME83Z,NSSC - NASA Shared Services Center,[N/A for IDVs],,'NA',7/12/2016,[None Indicated],", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,541513,N/A,N/A,IGF::OT::IGF3SL CRADLE PRODUCTS AND SERVICES
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC18P1840,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',5/23/2018,5/23/2018,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","42,922","42,922","42,922",334516,80NSSC18Q0579,"Philip M Pearson, Phone 2288136697, 2288136697, philip.m.pearson@nasa.gov",OPTICAL PARTICLE COUNTERS&PUMPS
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC18P2707,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',7/20/2018,8/17/2018,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","22,499","22,499","22,499",334519,80NSSC18Q0892,"Dalonna D. Penton, Phone 2288136331, 2288136331, dalonna.d.penton@nasa.gov",OT:  5502A 120 MULTI PRODUCT CALIBRATOR
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC18P3396,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',9/5/2018,9/5/2018,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, Other Business Or Organization, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","28,622","28,622","28,622",335122,80NSSC18Q1172,"Susan H. Hicks, Procurement Servies, 2288136024, susan.r.hicks@nasa.gov",ADAPTIVE POWER SYSTEMS 15 KW ELECTRONIC LOAD BANK
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC18P3415,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',9/10/2018,10/23/2018,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, Other Business Or Organization, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","37,484","37,484","37,484",334515,80NSSC18Q1263,"Lance S Neumaster, Procurement Specialist, No Phone, lance.s.neumaster@nasa.gov",TEKTRONIX MSO58:5-BW-2000 OSCILLOSCOPE&ACCESSORIES
"4 CLICKS SOLUTIONS LIMITED LIABILITY COMPANY [COLORADO SPRINGS,COLORADO]",80NSSC18F0190,NSSC - NASA Shared Services Center,COLORADO SPRINGS,CO,'05',11/17/2017,11/17/2017,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods","Delivery Order, Firm Fixed Price","3,960","3,960","3,960",511210,N/A,N/A,SOFTWARE - 4 CLICKS PROFESSIONAL PROJECT ESTIMATOR SUBSCRIPTION AND RS MEANS FACILITIES CONSTRUCTION AND MASTER COMPOSITE
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",80NSSC17P1198,NSSC - NASA Shared Services Center,TUCSON,AZ,'03',8/31/2017,3/19/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"85,150","85,150",333314,NNX17634628L,"Dorothy S. Baskin, Phone 3012863462, 3012863462, dorothy.s.baskin@nasa.gov",INTERFEROMETER WITH 4-INCH APERTURE  : 4200634628
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",80NSSC18P2300,NSSC - NASA Shared Services Center,TUCSON,AZ,'03',6/7/2018,6/7/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","15,025","15,002","15,002",333314,N/A,N/A,PRECISION INTERFEROMETRIC TRANSMISSION SPHERE.
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",80NSSC18P3063,NSSC - NASA Shared Services Center,TUCSON,AZ,'03',8/14/2018,12/24/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","13,100","13,100","13,100",333314,N/A,N/A,"IGF::OT::IGF  4\TRANSMISSION SPHERE"""
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG16LI12P,GSFC - Goddard Space Flight Center,TUCSON,AZ,'03',8/8/2016,5/15/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"590,900","590,900",333314,NNG16587371Q,"Darrin L. Holland, Contract Specialist, 3012869083, Antwan.G.Reid@nasa.gov","HIGH PRECISION INTERFEROMETER.  THE CONTRACTOR SHALL DEVELOP, ASSEMBLE, AND DELIVER A HIGH PRECISION DYNAMIC INSTANTANEOUS SPATIALLY PHASE SHIFTING INTERFEROMETER CAPABLE OF MEASURING SPECULAR SURFACES AND STRUCTURAL DEFORMATIONS IN DIFFUSE STRUCTURES TO PICOMETER LEVEL ACCURACY."
"4 STAR ELECTRONICS, INC. [SAN CLEMENTE,CALIFORNIA]",80NSSC18PW009,NSSC - NASA Shared Services Center,SAN CLEMENTE,CA,'49',11/28/2017,11/28/2017,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Purchase Order, Firm Fixed Price","4,670","4,670","4,670",423690,4200647653,N/A,P/N MS14153-15 CIRCUIT BREAKER QTY 6
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC17F0965,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',8/31/2017,9/30/2018,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"14,555","14,555",541519,N/A,N/A,IGF::OT::IGFSOLARWINDS SOFTWARE UPGRADE
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC18F0891,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',4/5/2018,4/5/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","25,566","25,566","25,566",541519,N/A,N/A,SOLARWINDS ANNUAL MAINTENANCE RENEWAL
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",NNG15SD06B,GSFC - Goddard Space Flight Center,[N/A for IDVs],,'NA',4/9/2015,[None Indicated],"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Government-Wide Agency Contract (GWAC), Firm Fixed Price",0,0,0,541519,NNG13451284R,N/A,"SEWP V CONTRACT,   CATEGORY B, GROUP B  HUBZONE SET-ASIDE SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS; OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS; AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS."
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",NNG16VD22D,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',6/16/2016,7/12/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"21,330","21,330",541519,N/A,N/A,VMWARE ENTERPRISE SUBSCRIPTION AND SUPPORT (6 EACH) VMWARE MIDSIZE SUBSCRIPTION AND SUPPORT (1 EACH)
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",NNK16MA75D,KSC - Kennedy Space Flight Center,VIRGINIA BEACH,VA,'02',8/4/2016,10/4/2017,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"5,567","5,567",541519,N/A,N/A,IGF::OT::IGF  1 YEAR RENEWAL OF COMMVAULT  SOFTWARE SUPPORT.  PERIOD OF PERFORMANCE 10/5/2016 - 10/4/2017
"400 E STREET SW [WASHINGTON,DISTRICT OF COLUMBIA]",80NSSC18P1031,NSSC - NASA Shared Services Center,WASHINGTON,DC,'00',2/20/2018,3/23/2018,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price","9,150","9,150","9,150",721110,N/A,N/A,"OT:TRAINING SPACE, AUDIOVISUAL EQUIPMENT AND ASSOCIATED COSTS FOR THE NASA MEDIATOR CERTIFICATION/TRAINING"
"4D TECH SOLUTIONS, INC. [MORGANTOWN,WEST VIRGINIA]",80NSSC18C0027,NSSC - NASA Shared Services Center,MORGANTOWN,WV,'01',5/30/2018,5/29/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Subchapter S Corporation, Veteran Owned","Definitive Contract, Firm Fixed Price","746,352","746,352","746,352",541715,N/A,N/A,"THIS PROJECT WILL RESULT IN THE COMMERCIALIZATION OF AN INTELLIGENT ELECTRONIC SPEED CONTROLLER (IESC) FOR USE ON UNMANNED AERIAL VEHICLES (UAVS). THE IESC WILL ADVANCE THE STATEOF- THE-ART OF HEALTH-STATE AWARENESS. THIS WILL BE ACHIEVED THROUGH THE INTEGRATION OF PROPULSION SYSTEM HEALTH MONITORING SENSORS THAT - IN UNISON WITH AN INTELLIGENT RULE SET - WILL BE ABLE TO MONITOR SYSTEM AND COMPONENT PERFORMANCE TRENDS AND PREDICT PROPULSION SYSTEM FAULTS. THE SYSTEM IS DESIGNED TO PROVIDE THE ANALYTIC CAPABILITY NECESSARY TO PREDICT PROPULSION SYSTEM DEGRADATION, MAINTENANCE OR REPAIR NEEDS. AN ARTIFICIAL NEURAL NETWORK (ANN) WILL BE TRAINED ON DATA FROM IESC SENSORS FROM NOMINAL FLIGHTS AND THOSE WITH KNOWN FAULTS LEADING TO FAILURE. AFTER TRAINING, AN INITIAL INTELLIGENT RULE SET WILL BE EXTRACTED TO REPRESENT THE KNOWLEDGE OF THE ANN AND USED IN THE SYSTEM TO PREDICT FAILURES. THIS SET OF RULES WILL BE PERIODICALLY UPDATED AS MORE FLIGHT DATA IS COLLECTED."
