Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,
"3D PLUS U.S.A., INC. [SAN LEANDRO,CALIFORNIA]",80NSSC20P0827,NSSC - NASA Shared Services Center,SAN LEANDRO,CA,'13',3/23/2020,4/16/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","68,200","68,200","68,200",334413,N/A,N/A,64GB NAND FLASH (8G X 8) 3.3V MILITARY SPACE GRADE -55C TO +125C .,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC19P0103,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',11/1/2018,12/31/2019,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"39,000","39,000",811219,N/A,N/A,OTTHIS IS A PURCHASE ORDER FOR ANNUAL MAINTENANCE AGREEMENT FOR 3D SYSTEMS SLA 7000 AND VIPER.,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC20P0348,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',12/31/2019,12/31/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","22,900","22,900","22,900",811219,N/A,N/A,VIPER ANNUAL MAINTENANCE,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",80NSSC20P1425,NSSC - NASA Shared Services Center,ROCK HILL,SC,'05',6/25/2020,7/31/2021,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","15,000","15,000","15,000",333999,80NSSC20730847QR1,N/A,PROJET 3600W MAX 3D PRINTER MAINTENANCE RENEWAL,,,,
"3D-SENSIR, INC. [STEVENSON RANCH,CALIFORNIA]",80NSSC20C0421,NSSC - NASA Shared Services Center,STEVENSON RANCH,CA,'25',8/27/2020,3/1/2021,", Small Disadvantaged Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business, Sub Continent Asian American Owned Business","Definitive Contract, Firm Fixed Price","124,536","124,536","124,536",541715,N/A,N/A,"DEVELOPMENT OF HIGH SENSITIVITY, TE-COOLED 2 MICRON WAVELENGTH LIDAR RECEIVER",,,,
"3DEWITT, LLC [ANCRAMDALE,NEW YORK]",80NSSC19K0967,NSSC - NASA Shared Services Center,ANCRAMDALE,NY,'19',8/5/2019,5/14/2020,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",Grant,-205,"124,795","124,795",[None Indicated],N/A,N/A,THE DUAL USE EXOPLANET TELESCOPE (DUET) ADVANCES NASA S DISCOVERY MISSIONS TO FIND AND CHARACTERIZE EXO-PLANETARY SYSTEMS. THE NOVEL TELESCOPE DESIGN HAS THE ABILITY TO DETECT EXOPLANETS BOTH INDIRECTLY (WITH RADIAL VELOCITY AND ASTROMETRY TECHNIQUE,,,,
"3DEWITT, LLC [ANCRAMDALE,NEW YORK]",80NSSC19K0973,NSSC - NASA Shared Services Center,ANCRAMDALE,NY,'19',8/2/2019,5/15/2021,", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership",Grant,"240,005","500,000","500,000",[None Indicated],N/A,N/A,"THE MOST IS PARTICULARLY APPLICABLE TO NASA, BECAUSE THE PRIMARY OBJECTIVE IS A FLAT MEMBRANE SURFACE WITH A MINIMAL MASS IDEALLY SUITED FOR SPACE DEPLOYMENT.",,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",80JSC020PW002,JSC - Johnson Space Flight Center,HOUSTON,TX,'36',4/10/2020,5/11/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","5,843","5,843","5,843",339113,N/A,N/A,COVID-19 PURCHASE. ITEMS WILL BE USED FOR MISSION ESSENTIAL PERSONNEL PROVIDING CRITICAL GROUND SUPPORT TO THE INTERNATIONAL SPACE STATION (ISS) AND FOR ASTRONAUT CREW TRAINING.,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",80JSC020PW003,JSC - Johnson Space Flight Center,HOUSTON,TX,'36',4/30/2020,5/29/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","15,034","15,034","15,034",339113,N/A,N/A,COVID-19 PURCHASE. ITEMS WILL BE USED FOR MISSION ESSENTIAL PERSONNEL PROVIDING CRITICAL GROUND SUPPORT TO THE INTERNATIONAL SPACE STATION (ISS) AND FOR ASTRONAUT CREW TRAINING.,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",80NSSC20P0433,NSSC - NASA Shared Services Center,SAINT PAUL,MN,'04',2/5/2020,3/11/2020,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","150,916","150,916","150,916",541715,N/A,N/A,3M LIQUICELL MEMBRANE COOLANT,,,,
"3QC, INC. [FOLSOM,CALIFORNIA]",80ARC018F0045,ARC - Ames Research Center,MOFFETT FIELD,CA,'18',1/19/2018,3/1/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Delivery Order, Firm Fixed Price","26,168","75,468","75,468",561990,N/A,N/A,"CONSTRUCTION COMMISSIONING SERVICES NASA AMES BIOSCIENCES COLLABORATIVE FACILITY, N288",,,,
"3RD DIMENSION INDUSTRIAL 3D PRINTING CO. [WESTFIELD,INDIANA]",80NSSC20P1409,NSSC - NASA Shared Services Center,WESTFIELD,IN,'05',6/24/2020,7/8/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","21,400","21,400","21,400",332710,80NSSC20732473QR1,N/A,INCONEL 718 DMLS FABRICATION TESTING,,,,
"3SL INCORPORATED [HUNTSVILLE,ALABAMA]",80NSSC19P1408,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/5/2019,7/13/2021,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","185,812","311,522","311,522",541511,80NSSC19Q0719,N/A,"THIS PURCHASE ORDER IS FOR CONTINUED MAINTENANCE, TRAINING AND SUPPORT OF THE AGENCY''S 3SL CRADLE SOFTWARE LICENSES, PER THE ATTACHED PRICE SCHEDULE.",,,,
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",80NSSC19F0946,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/3/2019,7/2/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price",0,"12,405","12,405",541513,N/A,N/A,REQUIREMENTS MANAGEMENT MODULE CR-REQ,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",80NSSC20P1863,NSSC - NASA Shared Services Center,AUSTIN,TX,'25',8/19/2020,12/15/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","54,060","54,060","54,060",334220,N/A,N/A,1-RELIANT EMC: SOLID STATE HIGH POWER RF POWER AMPLIFIER WITH FREQUENCY 18-26.5 GHZ 1-RELIANT EMC: STANDARD GAIN HORN ANTENNA WITH FREQUENCY 18.26.5 GHZ 1-WR-42 WAVEGUIDE BULKHEAD ADAPTER UG-595/U COVER FLANGE 2-WR-42,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80KSC019F0175,KSC - Kennedy Space Flight Center,ORLANDO,FL,'08',7/24/2019,7/22/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"288,895","288,895",541519,N/A,N/A,CRFS INC. RFEYE ARRAY 300-18 MONITORING AND LOCATION SYSTEM,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC19F0108,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',11/5/2018,12/23/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"126,704","126,704",541519,N/A,N/A,OTTHIS IS A PURCHASE ORDER FOR IT3-92-053 MCAFEE NETWORK SUPPORT.,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC19F0397,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',3/6/2019,3/5/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"388,833","388,833",541519,N/A,N/A,"THIS IS A DELIVERY ORDER IS FOR SALESFORCE LICENSES, PER ATTACHED QUOTE # 31677A DATED MARCH 5, 2019.THE PERIOD OF PERFORMANCE IS MARCH 6, 2019 - MARCH 5, 2020.",,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC19F1503,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',9/18/2019,11/14/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"40,547","40,547",541519,N/A,N/A,"THIS ORDER IS FOR TWE-NODE - 12 MONTH TERM LICENSE (QUANTITY 4), TWE-SEAT - 12 MONTH TERM LICENSE (QUANTITY 5), AND TRIFACTA SUCCESS PACK (QUANTITY 1) PER QUOTE 33509A DATED 09/10/2019.....THE PERIOD OF PERFORMANCE IS 11/15/2019 TO 11/14/2020.....",,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC19F1564,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',9/26/2019,10/26/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price",0,"64,628","64,628",541519,N/A,N/A,"OT 1 - 650W AC POWER SUPPLY, 1 - 650W AC POWER SUPPLY 1YR RMA, 1 - MFE NET SEC IPS-NS7150 APPLIANCE AND 1 - MFE NET SEC IPS-NS7150 APPL 1YR BZ+NBD",,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F0032,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',10/10/2019,6/6/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","12,935","12,935","12,935",541519,N/A,N/A,RENEWAL OF VARONIS DATADVANTAGE/DATAGENT,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F0127,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',11/8/2019,12/6/2019,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","28,482","28,482","28,482",541519,N/A,N/A,OT 3 - 4STR-IAC-4P1GMM50-MODG NS 4PORT FO MOD 10-1GIGE 850NM 50UM AND 3 - 4STR-RBIAC4P1GMM50MODG NS 4PORT FO MOD 10-1GIGE 850NM 50UM1YRMA,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F0425,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',2/26/2020,2/18/2021,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","49,651","49,651","49,651",541519,N/A,N/A,OT : SOLARWINDS SOFTWARE RENEWAL : 4200723970,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F0706,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',4/21/2020,4/26/2021,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","19,754","19,754","19,754",541519,N/A,N/A,SOLARWINDS RENEWAL,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F0841,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',5/21/2020,7/25/2021,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","14,508","14,508","14,508",541519,N/A,N/A,MACAFEE HW MAINTENANCE RENEWAL,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F0924,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',6/3/2020,6/3/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","17,384","17,384","17,384",541519,N/A,N/A,VARONIS SOFTWARE RENEWAL,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20F1191,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',7/22/2020,7/22/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Delivery Order, Firm Fixed Price","16,720","16,720","16,720",541519,80NSSC20737823Q,N/A,CENTRIFY SOFTWARE WORKSTATION&SYSTEM LICENSES&MAINTENANCE,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",80NSSC20P2027,NSSC - NASA Shared Services Center,VIRGINIA BEACH,VA,'02',9/19/2020,11/14/2021,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Purchase Order, Firm Fixed Price","77,299","77,299","77,299",541519,80NSSC20742771Q,N/A,ONE-YEAR RENEWAL OF THE TRIFACTA SOFTWARE THAT INCLUDES 4 NODES AND 13 LICENSES. PERIOD OF PERFORMANCE: 11/15/2020 TO 11/14/2021,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",NNG15SD06B,GSFC - Goddard Space Flight Center,[N/A for IDVs],,'NA',4/9/2015,[None Indicated],"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Government-Wide Agency Contract (GWAC), Firm Fixed Price",0,0,0,541519,NNG13451284R,N/A,"SEWP V CONTRACT,   CATEGORY B, GROUP B  HUBZONE SET-ASIDE SEWP V PROVIDES HIGH-END TECHNICAL REQUIREMENTS; OPTIMIZE PRODUCTIVITY THROUGH UTILIZATION OF POWERFUL COMPUTER SYSTEMS, STATE OF THE ART SUPPORTING PERIPHERALS AND SOFTWARE ON STANDARDIZED BUT CUSTOMIZABLE SYSTEMS; AND ENSURE INTEROPERABILITY OF RELIABLE, APPLICABLE, AND AFFORDABLE IT PRODUCTS/SOLUTIONS.",,,,
"4D TECH SOLUTIONS, INC. [MORGANTOWN,WEST VIRGINIA]",80NSSC18C0027,NSSC - NASA Shared Services Center,MORGANTOWN,WV,'01',5/30/2018,5/29/2020,"SBA Certified HUBZone, Veteran Owned Small Business, Small Business Innovative Research, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Subchapter S Corporation, Veteran Owned","Definitive Contract, Firm Fixed Price",0,"746,352","746,352",541715,N/A,N/A,"THIS PROJECT WILL RESULT IN THE COMMERCIALIZATION OF AN INTELLIGENT ELECTRONIC SPEED CONTROLLER (IESC) FOR USE ON UNMANNED AERIAL VEHICLES (UAVS). THE IESC WILL ADVANCE THE STATEOF- THE-ART OF HEALTH-STATE AWARENESS. THIS WILL BE ACHIEVED THROUGH THE INTEGRATION OF PROPULSION SYSTEM HEALTH MONITORING SENSORS THAT - IN UNISON WITH AN INTELLIGENT RULE SET - WILL BE ABLE TO MONITOR SYSTEM AND COMPONENT PERFORMANCE TRENDS AND PREDICT PROPULSION SYSTEM FAULTS. THE SYSTEM IS DESIGNED TO PROVIDE THE ANALYTIC CAPABILITY NECESSARY TO PREDICT PROPULSION SYSTEM DEGRADATION, MAINTENANCE OR REPAIR NEEDS. AN ARTIFICIAL NEURAL NETWORK (ANN) WILL BE TRAINED ON DATA FROM IESC SENSORS FROM NOMINAL FLIGHTS AND THOSE WITH KNOWN FAULTS LEADING TO FAILURE. AFTER TRAINING, AN INITIAL INTELLIGENT RULE SET WILL BE EXTRACTED TO REPRESENT THE KNOWLEDGE OF THE ANN AND USED IN THE SYSTEM TO PREDICT FAILURES. THIS SET OF RULES WILL BE PERIODICALLY UPDATED AS MORE FLIGHT DATA IS COLLECTED.",,,,
"4D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",80NSSC20P0185,NSSC - NASA Shared Services Center,TUCSON,AZ,'03',11/17/2019,2/20/2020,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","20,000","20,000","20,000",541715,N/A,N/A,ENGINEERING LABOR SERVICE FOR INTERFACE,,,,
