Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL08AE28P,LaRC - Langley Research Center,Andover,MA,'05',5/23/2008,7/14/2008,", Woman Owned Small Business, Small Business - For Profit Organization, Service Provider, Small Business, Women Owned","Purchase Order, Firm Fixed Price","45,830","45,830","45,830",423410,N/A,N/A,DIGITAL CCD CAMERAS
"2020 COMPANY LIMITED LIABILITY COMPANY [FALLS CHURCH,VIRGINIA]",NNX07CA42P,NSSC - NASA Shared Services Center,,VA,'08',1/19/2007,1/18/2008,", Small Disadvantaged Business, Small Business - Minority Owned, SBA Certified 8A Program Participant, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Small Disadvantaged Business, Sub Continent Asian American Owned Business","Purchase Order, Firm Fixed Price",0,"99,647","99,647",541710,N/A,N/A,Aero-Acoustic-Structural Optimization Analysis and Testing
"3 D CADWARE INCORPORATED [TEMECULA,CALIFORNIA]",NND07AA53P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',2/22/2007,3/31/2008,", Woman Owned Small Business, Small Business - Small Business, Women Owned","Purchase Order, Firm Fixed Price",0,"6,165","6,165",443120,N/A,N/A,"1. COSMOSWorks Advanced Professional Annual Maintenance Includes Software updates and major releases; hotline support via phone, fax and mail. 2. SolidWorks Office Subscription Service Renewal Serial No. 0000 0004 3325 0732 0010 0030 7720 5469 Renew from 3/31/07 to 3/31/08 SAP Purchase Requisition: 4200189554"
"3 D CADWARE INCORPORATED [TEMECULA,CALIFORNIA]",NND08AB13P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',2/14/2008,3/9/2009,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price","7,165","7,165","7,165",443120,N/A,N/A,SAP Purchase Requisition: 4200234763 COSMOSWorks Advanced Professional Software Upgrades/Subscription Service
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNC07VC67P,GRC - Glenn Research Center,Valencia,CA,'25',2/10/2007,4/30/2008,", Small Business ONLY - Small Business","Purchase Order, Other ",0,"17,000","17,000",[None Indicated],N/A,N/A,SW-VIPER SLA SYSTEM-PREMIER SERVICE PLAN
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNC07VD31P,GRC - Glenn Research Center,Valencia,CA,'25',3/4/2007,3/5/2008,Other Than Small Business - [No Vendor Indicators Found],"Purchase Order, Other ",0,"26,000","26,000",333999,N/A,N/A,HARDWARE & SOFTWARE MAINTENANCE OF SLS 2500 PLUS SYSTEM
"3D SYSTEMS INCORPORATED [VALENCIA,CALIFORNIA]",NNJ05JA91P,JSC - Johnson Space Flight Center,,CA,'25',4/22/2005,3/23/2008,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price",0,"17,985","17,985",[None Indicated],N/A,N/A,PRINTER MAINTENANCE
"3D SYSTEMS INCORPORATED [SANTA CLARITA,CALIFORNIA]",NNL06AK36P,LaRC - Langley Research Center,,CA,'25',9/22/2006,10/11/2007,", Small Business ONLY - Small Business","Purchase Order, Firm Fixed Price",-1,"83,960","83,960",333999,N/A,N/A,THERMO JET PRINTER ANNUAL SERVICE PLAN
"3D SYSTEMS INCORPORATED [ROCK HILL,SOUTH CAROLINA]",NNL07AH67P,LaRC - Langley Research Center,,VA,'01',8/30/2007,9/21/2008,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price",0,"86,120","86,120",333999,N/A,N/A,"Maintenance Agreement - Thermojet Printer, Viper SLA System, and SLA 7000 System"
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ08JD75P,JSC - Johnson Space Flight Center,,SC,'05',4/2/2008,3/22/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development, Service Provider, Small Business","Purchase Order, Firm Fixed Price","9,000","9,000","9,000",541512,N/A,N/A,Annual Printer Maintenance
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL08AF81P,LaRC - Langley Research Center,Rock Hill,SC,'05',7/3/2008,9/21/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development, Service Provider","Purchase Order, Firm Fixed Price","86,120","86,120","86,120",541512,N/A,N/A,"Annual Service Plan for ThermoJet Printer, ELITE service Plan for Viper SLA System, and Premier Service Plan for SLA 7000 System"
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNM08AC86P,MSFC - Marshall Space Flight Center,ROCK HILL,SC,'05',5/28/2008,6/2/2008,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","9,015","9,015","9,015",332117,N/A,N/A,BUILD MATERIAL
"3DEGREES GROUP INCORPORATED [SAN FRANCISCO,CALIFORNIA]",NNJ08JA08C,JSC - Johnson Space Flight Center,[N/A for IDVs],,'NA',1/25/2008,[None Indicated],Other Than Small Business - [No Vendor Indicators Found],"Indefinite Delivery Contract, Firm Fixed Price","28,200","28,200",0,221119,N/A,N/A,This contract is for renewable energy certificates related to wind energy.
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNC08MD55P,GRC - Glenn Research Center,SAINT PAUL,MN,'04',4/15/2008,1/27/2009,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Minority Owned, Other Minority Owned","Purchase Order, Other ","9,802","9,774","9,774",325998,N/A,N/A,"7 CONTAINERS -FC-77 308 POUNDS FLUORINERT BRAND ELECTRONIC LIQUID 3.25 GALS PER CONTAINER- PRICE IS PER POUND ($31.50) = $9,702.00"
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNK06MA43B,KSC - Kennedy Space Flight Center,[N/A for IDVs],,'NA',1/10/2006,[None Indicated],"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Indefinite Delivery Contract, Firm Fixed Price",0,0,0,424690,N/A,N/A,HFE-7100
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNK08MB92D,KSC - Kennedy Space Flight Center,Saint Paul,MN,'04',7/15/2008,8/15/2008,"Other Than Small Business - For Profit Organization, Manufacturer Of Goods","Delivery Order, Firm Fixed Price","605,520","605,520","605,520",424690,N/A,N/A,HFE-7100 (55 GALLON DRUM)
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNS08AA45A,SSC - Stennis Space Center,,MS,'04',5/27/2008,12/1/2008,"Other Than Small Business - For Profit Organization, Manufacturer Of Goods, Minority Owned, Other Minority Owned",Cooperative Agreement,"54,009","54,009","54,009",[None Indicated],N/A,N/A,"THE PURPOSE OF THIS AGREEMENT IS TO COMPLETE A GLASS BUBBLE INSULATION RETROFIT ON A 40 PLUS YEAR OLD TANK USING EXPERTISE FROM BOTH INDUSTRY AND WITHIN NASA TO QUANTIFY EACH OF THE RISK AREAS AND TO PROVIDE VALUABLE BASELINE INFORMATION THAT CAN BE INCORPORATED INTO ALL FUTURE NASA CRYOGENIC TANK RETROFIT ACTIVITIES. IN THE PROPOSED FIELD DEMONSTRATION PROJECT, THE 50,000 GALLON LIOQUID HYDROGEN STORAGE TANK AT THE E1 TEST STAND AT SSC WILL UNDERGO A PERLITE TO GLASS BUBBLE RETROFIT. THE PRIMARY FOCUS WILL BE TO MATURE THE TECHNOLOGIES NECESSARY TO PERFORM ENSTALLATION OF GLASS BUBBLES INTO CRYOGENIC STORAGE TANKS OF ANY SIZE. NASA/SSC WILL BE RESPONSIBLE FOR THE PREPARAT;ION OF THE 50,000 GALLON LIQUID HYDROGEN STORAGE TANK AT THE E1 TEST STAND FOR THE INSTALLATION OF THE BLASS BUBBLE INSULATION. THIS WILL INCLUDE OPENING THE TANK ANNULUS AND REMOVING THE EXISTING INSULATION FROM THE TANK  AND PREPARING ANY TANK MODIFICATIONS NECESSARY FOR THE ATTACHMENT OF THE 3M GLASS BUBBLE INSERTION HOSES. AFTER THE INSERTION OF THE BUBBLE INSULATION, THE NASA TEAM WILL BE RESPONSIBLE FOR PULLING THE FINAL VACUUM AND CLOSING THE ANNULAR SPACE. NASA WILL BE RESPONSIBLE FOR MONITORING THE TANK PERFORMANCE AFTER COMPLETION OF THE INSULATION INSTALLATIION AND LOADING THE TANK WITH CRYOGENIC FLUIDS. THIS INCLUDES THE COLLECTION OF DATA COLLECTED FROM THE TANK AND DISTRIBUTION TO PARTIES INTERESTED IN THE COMPARATIVE PERFORMANCE OF THE TANK. 3M WILL FABRICATE AND TEST THE EQUIPMENT NECESSARY FOR CONVEYING THE BUBBLES FROM THE TRANSPORT VEHICLE TO THE TANK ANNULU. 3M WILL ALSO DETERMINE HOW DUST COLLECTION WILL BE ACCOMPLISHED AND MAKE A RECOMMENDATION AS TO WHEETHER A FABRIC SOCK OR A PORTABLE DUST COLLECTOR WILL BE REQUIRED. 3M WILL ALSO ASSESS AND DETERMINE"
"3M COMPANY (7775) [SAINT PAUL,MINNESOTA]",NNA06CD51P,ARC - Ames Research Center,,CA,'14',6/20/2006,11/19/2007,Other Than Small Business - [No Vendor Indicators Found],"Purchase Order, Firm Fixed Price",0,"6,603","6,603",325998,N/A,N/A,"Provide all necessary tools, labor parts, material and transportation for the sterillzer"
"3M COMPANY (7775) [SAINT PAUL,MINNESOTA]",NNC08MD46D,GRC - Glenn Research Center,Saint Paul,MN,'04',3/20/2008,4/25/2008,Other Than Small Business - [No Vendor Indicators Found],"Delivery Order, Other ","9,612","9,612","9,612",325611,N/A,N/A,MICHAEL P DOHERTY UUPIC 275961952 55 GALLON DRUM OF HFE-7100 FLUID (USED IN LOX CLEANING PROCESS)BILLED PER POUND.  1-600 POUND DRUM @16.02/LB. THIS FLUID IS USED IN THE LOX CLEANING PROCESS.  CLEANING FOLKS HAVE SAID THAT THIS CLEANING FLUID IS LOW.
"3M COMPANY (7775) [SAINT PAUL,MINNESOTA]",NNJ08HD34D,JSC - Johnson Space Flight Center,Saint Paul,MN,'04',7/11/2008,8/11/2008,Other Than Small Business - [No Vendor Indicators Found],"Delivery Order, Firm Fixed Price","28,836","28,836","28,836",325611,N/A,N/A,55 GALLON DRUM OF ENGINEERED FLUID
"3M COMPANY (7775) [SAINT PAUL,MINNESOTA]",NNJ08HE86D,JSC - Johnson Space Flight Center,Saint Paul,MN,'04',8/28/2008,9/26/2008,Other Than Small Business - [No Vendor Indicators Found],"Delivery Order, Firm Fixed Price","28,836","28,836","28,836",325611,N/A,N/A,NOVEC ENGINEERED FLUID 
"3RDTECH INCORPORATED [DURHAM,NORTH CAROLINA]",NNL07AH83P,LaRC - Langley Research Center,Durham,NC,'04',9/12/2007,11/9/2007,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price",0,"5,650","5,650",333314,N/A,N/A,HiBall-3100 Tracker System
"3SL INC [HUNTSVILLE,ALABAMA]",NNC08VD21P,GRC - Glenn Research Center,Huntsville,AL,'05',8/18/2008,9/26/2009,", Small Business ONLY - For Profit Organization, Service Provider, Very Small Business","Purchase Order, Firm Fixed Price","5,587","5,587","5,587",541330,N/A,N/A,SOFTWARE MAINTENANCE RENEWAL
"3TEX INCORPORATED [CARY,NORTH CAROLINA]",NNC08CA44C,GRC - Glenn Research Center,CARY,NC,'04',1/15/2008,2/17/2010,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","190,314","190,314","190,314",541712,N/A,N/A,"NNC08CA44C BASIC CONTRACT 3-D BRAIDED CERAMIC FIBER VANE PREFORMS3TEX S 3-D BRAIDING PROCESS OFFERS A METHOD OF FORMING THE NEAR NET SHAPE OF A VANE COMPLETE WITH INTEGRAL STIFFENER AND A FINE TRAILING EDGE RADIUS, ALL MADE IN A SINGLE PASS, AUTOMATED PROCESS. FURTHER, WITHOUT STOPPING THE 3-D BRAIDING, THE CROSS-SECTIONAL SHAPE CAN BE CHANGED TO ACCOMMODATE JOINING OR OTHER FUNCTIONAL REQUIREMENTS. RELATIVE SMALL CHANGES TO THE BRAIDER CARRIER DESIGN WILL ENABLE EXISTING MACHINES TO MAKE THESE STRUCTURES USING TRADITIONALLY DIFFICULT-TO-PROCESS CERAMIC FIBERS SUCH AS SYLRAMIC IBN AND HI-NICALON/HI NICALON S."
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG08EL46P,GSFC - Goddard Space Flight Center,Tucson,AZ,'07',9/22/2008,9/21/2009,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Research And Development, Small Business","Purchase Order, Firm Fixed Price","6,000","6,000","6,000",333314,N/A,N/A,Repair of the Multi-Wavelength PhaseCam
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNM08AE31P,MSFC - Marshall Space Flight Center,TUCSON,AZ,'07',9/17/2008,5/8/2009,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","194,500","231,000","231,000",333314,N/A,N/A,PHASECAM 5030 DYNAMIC INTERFEROMETERS SYSTEM
"4 SURE.COM INC [TRUMBULL,CONNECTICUT]",NNK05OA44D,KSC - Kennedy Space Flight Center,Trumbull,CT,'04',1/20/2005,1/21/2008,Other Than Small Business - [No Vendor Indicators Found],"Delivery Order, Firm Fixed Price",0,"9,700","9,700",443120,N/A,N/A,ELECTRONICS AND COMMUNICATION EQUIPMENT
"4D INCORPORATED [SAN JOSE,CALIFORNIA]",NNL06AK73P,LaRC - Langley Research Center,,CA,'15',9/30/2006,1/7/2009,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price","30,000","60,000","60,000",511210,N/A,N/A,RENEWAL OF 4D SOFTWARE LICENSE
"4SURE.COM INC [TRUMBULL,CONNECTICUT]",NNK07LA28D,KSC - Kennedy Space Flight Center,Orlando,FL,'24',2/28/2007,3/28/2008,Other Than Small Business - [No Vendor Indicators Found],"Delivery Order, Firm Fixed Price",0,"52,511","52,511",[None Indicated],N/A,N/A,Ethernet switches
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ07JI83T,JSC - Johnson Space Flight Center,,TX,'22',10/26/2007,12/18/2007,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned",BPA Call,"5,828","5,828","5,828",561320,N/A,N/A,Temporary Secretarial Support Services
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ07JI83Z,JSC - Johnson Space Flight Center,[N/A for IDVs],,'NA',9/26/2007,[None Indicated],"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,561320,N/A,N/A,Temporary Secretarial Support Services
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ08JF69T,JSC - Johnson Space Flight Center,,TX,'18',6/9/2008,4/30/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned",BPA Call,"16,130","25,592","25,592",561320,N/A,N/A,Temp Secretary I
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ08JG62T,JSC - Johnson Space Flight Center,,TX,'22',8/12/2008,4/30/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned",BPA Call,"12,985","12,985","12,985",561320,N/A,N/A,Administrative Assistant Support
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ08JG67T,JSC - Johnson Space Flight Center,Houston,TX,'18',8/18/2008,4/30/2009,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned",BPA Call,"6,411","6,411","6,411",561320,N/A,N/A,Temporary Secretarial Support Services
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ08JG70T,JSC - Johnson Space Flight Center,Houston,TX,'18',8/20/2008,9/30/2008,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned",BPA Call,"9,360","9,360","9,360",561320,N/A,N/A,BPA - Serectarial
"4W SOLUTIONS INCORPORATED [HOUSTON,TEXAS]",NNJ08JG71T,JSC - Johnson Space Flight Center,Houston,TX,'18',8/25/2008,9/30/2008,"SBA Certified HUBZone, Small Disadvantaged Business, 8(A) Program, Woman Owned Small Business, Small Business - Black American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business, Women Owned",BPA Call,"5,904","5,904","5,904",561320,N/A,N/A,BPA Temp Call
"8E6 TECHNOLOGIES [ORANGE,CALIFORNIA]",NNL06AC19D,LaRC - Langley Research Center,,CA,'40',6/30/2006,12/2/2007,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"37,499","37,499",443120,N/A,N/A,SOFTWARE SUBSCRIPTION
"8E6 TECHNOLOGIES [ORANGE,CALIFORNIA]",NNL07AD63T,LaRC - Langley Research Center,Orange,CA,'40',8/3/2007,6/30/2008,", Small Business ONLY - [No Vendor Indicators Found]","Delivery Order, Firm Fixed Price",0,"43,275","43,275",443120,N/A,N/A,8e6 Technologies Internet Filter & Reporter Maintenance Renewal
"911EDA [CARLSBAD,CALIFORNIA]",NND08AB70P,AFRC - Armstrong Flight Research Center,Edwards,CA,'22',3/31/2008,6/30/2008,", Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - For Profit Organization, Manufacturer Of Goods, Research And Development, Service Provider, Service Related Disabled Veteran Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","15,500","15,500","15,500",511210,N/A,N/A,SAP Purchase Requisition: 4200242666 Altium Training Services
"A & A SHEET METAL PRODUCTS, INC [LA PORTE,INDIANA]",NNL08AI11P,LaRC - Langley Research Center,,IN,'02',8/28/2008,12/5/2008,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price","14,363","14,981","14,981",332311,N/A,N/A,FLAMMABLE STORAGE SHED
"A & G MANUFACTURING CO INC [GALION,OHIO]",NNC08VJ18P,GRC - Glenn Research Center,,OH,'05',9/17/2008,12/24/2008,"SBA Certified HUBZone, Small Business - SBA Certified HUBZone","Purchase Order, Firm Fixed Price","80,226","80,226","80,226",333924,N/A,N/A,Tow Tractor for Plum Brook Station
"A & L DESIGN INC [BUCYRUS,KANSAS]",NNG08HL46P,GSFC - Goddard Space Flight Center,Bucyrus,KS,'02',7/15/2008,8/26/2008,", Small Business ONLY - For Profit Organization, Service Provider, Subchapter S Corporation","Purchase Order, Firm Fixed Price","4,380","4,380","4,380",[None Indicated],N/A,N/A,PRINTED DISPLAY: Banner QS3 39.5 complete unit with printed graph & bag.
"A & N CORPORATION [WILLISTON,FLORIDA]",NNA08BA77P,ARC - Ames Research Center,,FL,'05',3/25/2008,6/30/2008,", Small Business ONLY - [No Vendor Indicators Found]","Purchase Order, Firm Fixed Price","7,032","7,032","7,032",332919,N/A,N/A,Purchase of two Gate Valves and two Angle valves.
"A & N ELECTRIC COOPERATIVE [TASLEY,VIRGINIA]",NNG08WF05P,GSFC - Goddard Space Flight Center,,VA,'02',9/12/2008,10/31/2009,Other Than Small Business - [No Vendor Indicators Found],"Purchase Order, Firm Fixed Price","200,000","5,131,829","5,500,000",335311,N/A,N/A,WFF Permanent Electric Service
"A & P TECHNOLOGY, INC [CINCINNATI,OHIO]",NNC08VG05P,GRC - Glenn Research Center,CINCINNATI,OH,'02',7/28/2008,6/12/2009,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price","9,175","9,142","9,142",313221,N/A,N/A,TRIAXIAL BRAID W/ T650-35 CARBON FIBERS
"A & T MARKETING INC [COLUMBIA,MARYLAND]",NNK08MB17D,KSC - Kennedy Space Flight Center,Columbia,MD,'03',6/5/2008,7/2/2008,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - For Profit Organization, Minority Owned, Self Certified Small Disadvantaged Business, Service Provider, Subchapter S Corporation, Women Owned","Delivery Order, Firm Fixed Price","16,910","16,910","16,910",[None Indicated],N/A,N/A,Netgear network switch and storage
"A AND A METAL FINISHING COMPANY LIMITED LIABILITY COMPANY [BALTIMORE,MARYLAND]",NNG04CS08Z,GSFC - Goddard Space Flight Center,[N/A for IDVs],,'NA',1/14/2004,1/15/2009,", Woman Owned Small Business, Small Business - Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,332999,N/A,N/A,FABRICATION BPA
"A AND A METAL FINISHING COMPANY LIMITED LIABILITY COMPANY [BALTIMORE,MARYLAND]",NNG04CS09Z,GSFC - Goddard Space Flight Center,[N/A for IDVs],,'NA',1/14/2004,1/15/2009,", Woman Owned Small Business, Small Business - Women Owned","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,332999,N/A,N/A,FABRICATION BPA
"A AND L DESIGN INCORPORATED [BUCYRUS,KANSAS]",NNG08HC47P,GSFC - Goddard Space Flight Center,,KS,'02',12/19/2007,1/4/2008,Other Than Small Business - [No Vendor Indicators Found],"Purchase Order, Firm Fixed Price","24,054","27,811","27,811",[None Indicated],N/A,N/A,"Custom config (carina) truss kit, graphics package trussworks kit etc."
"A AND N ELECTRIC COOPERATIVE [TASLEY,VIRGINIA]",NNG08WF01P,GSFC - Goddard Space Flight Center,,VA,'02',1/25/2008,11/30/2008,Other Than Small Business - [No Vendor Indicators Found],"Purchase Order, Firm Fixed Price","4,499,104","4,044,345","4,750,000",221122,N/A,N/A,"THE CONTRACTOR SHALL PROVIDE NASA GSFC''S WFF PERMANENT ELECTRIC SERVICE IN A MANNER AND FORM THAT IS CONSISTENT WITH (1) ALL APPLICABLE LAWS, REGULATIONS, PERMITS, AND ELECTRIC CODES, AND (2) THE FACILITY SERVICE REQUIREMENTS."
"A AND P TECHNOLOGY INCORPORATED [CINCINNATI,OHIO]",NNC08CA48C,GRC - Glenn Research Center,,OH,'02',11/28/2007,4/27/2010,", Small Business ONLY - [No Vendor Indicators Found]","Definitive Contract, Firm Fixed Price","515,119","515,119","515,119",541712,N/A,N/A,MATURATION OF COMPOSITE FAN CASE STRUCTURE TECHNOLOGY
"A B COMPUTER SOLUTIONS INCORPORATED [MANDEVILLE,LOUISIANA]",NNJ08JL32P,JSC - Johnson Space Flight Center,Mandeville,LA,'01',1/15/2008,1/14/2009,", Woman Owned Small Business, Small Business - Women Owned","Purchase Order, Firm Fixed Price","14,556","14,556","14,556",541511,N/A,N/A,A-B Computer Maintenance for TAMS/FOCUS
