Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work,,,,,,,,,,,,
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNL14AG16P,LaRC - Langley Research Center,Andover,MA,'03',9/26/2014,11/15/2014,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","5,143","5,143","5,143",423410,N/A,N/A,"CAMERA GIGE, POWER SUPPLY,CABLE",,,,,,,,,,,,
"21 ST JMT INC [MINERVA,OHIO]",NNM14AE21P,MSFC - Marshall Space Flight Center,MINERVA,OH,'06',9/25/2014,3/25/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Purchase Order, Firm Fixed Price","53,550","56,602","56,602",811310,N/A,N/A,(2) HOSE SETS FOR THE PORTABLE NEW DELIVERY SYSTEM (PNDS),,,,,,,,,,,,
"2B TECHNOLOGIES INC [BOULDER,COLORADO]",NNG14HD84P,GSFC - Goddard Space Flight Center,,CO,'02',9/23/2014,11/23/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","11,300","11,300","11,300",334516,N/A,N/A,"OZONE MONITOR MODEL 205 WITH ACCESSORIES, QTY. 1 EACH.  SHIPPING AND HANDLING.",,,,,,,,,,,,
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND13AB91P,AFRC - Armstrong Flight Research Center,IRVINE,CA,'45',5/29/2013,5/29/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"6,880","6,880",541511,NND13AB91P,N/A,POLYWORKS MAINTENANCE,,,,,,,,,,,,
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND13AC70P,AFRC - Armstrong Flight Research Center,IRVINE,CA,'45',7/29/2013,7/28/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"19,160","19,160",541511,N/A,N/A,IGF::OT::IGFPWMN: PLYWORKS/MODELER,,,,,,,,,,,,
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND14AB39P,AFRC - Armstrong Flight Research Center,IRVINE,CA,'45',5/28/2014,8/7/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","7,986","7,986","7,986",541511,N/A,N/A,"POLYWORKS/MODELER IMALIGN, IMEDIT, IMCOMPRESS, NURBS SURFACING MODULE IGES MODULE",,,,,,,,,,,,
"3D LASER ART [LAS VEGAS,NEVADA]",NNJ13RA93P,JSC - Johnson Space Flight Center,,NV,'01',7/31/2013,8/30/2013,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business","Purchase Order, Firm Fixed Price",0,0,0,327215,N/A,N/A,200 XL CRYSTAL RECTANGLE AWARDS,,,,,,,,,,,,
"3D PLUS U.S.A., INC. [MCKINNEY,TEXAS]",NNG13LC34P,GSFC - Goddard Space Flight Center,McKinney,TX,'03',8/6/2013,10/5/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"24,650","24,650",334413,N/A,N/A,FUNDS FOR IB - 32GB NAND FLASH (5 EACH) AND IB - 2GB DDR SDRAM (6 EACH).,,,,,,,,,,,,
"3D PLUS U.S.A., INC. [MCKINNEY,TEXAS]",NNG14LK46P,GSFC - Goddard Space Flight Center,,TX,'03',7/9/2014,10/15/2014,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","7,900","7,900","7,900",334413,N/A,N/A,SRAM COMPONENTS FROM 3D PLUS 2 EA NAND FLASH 1 EA EEPROM 1 EA 8 GB NAND FLASH 1 EA 1MB EEPROM 1 EA,,,,,,,,,,,,
"3D PLUS U.S.A., INC. [MCKINNEY,TEXAS]",NNL14AA50P,LaRC - Langley Research Center,McKinney,TX,'03',12/4/2013,1/29/2014,"Other Than Small Business - Corporate Entity Not Tax Exempt, Foreign Owned And Located, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","33,000","33,000","33,000",334413,N/A,N/A,DOUBLE DATA RATE 2 MEMORY MODULES,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNC14VF44P,GRC - Glenn Research Center,ROCK HILL,SC,'05',7/15/2014,9/21/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","8,400","8,400","8,400",541519,N/A,N/A,IGF::OT::IGFSOFTWARE MAINTENANCE RENEWAL LICENSES FOR ONE (1) GEOMAGIC CONTROL&TWO (2) GEOMAGIC STUDIO.,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ12JE03P,JSC - Johnson Space Flight Center,,SC,'05',7/17/2012,8/16/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"13,798","13,798",541512,N/A,N/A,36-MONTHS OF IT EQUIPMENT SUPPORT SEWP ORDER,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ13JB01P,JSC - Johnson Space Flight Center,,SC,'05',5/29/2013,7/31/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"10,349","10,349",541512,N/A,N/A,"24-MONTHS OF IT EQUIPMENT SUPPORT \SEWP ORDER\""""",,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL10AA99P,LaRC - Langley Research Center,,VA,'01',1/19/2010,12/31/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"302,040","302,040",811219,N/A,N/A,3D Systems hardware maintenance for rapid prototyping machines,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AA91P,LaRC - Langley Research Center,Hampton,VA,'02',1/11/2013,12/31/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"39,000","39,000",811219,N/A,N/A,"\IGF::OT::IGF\"" ANNUAL MAINTENANCE FOR 3D SYTEMS 7000 VIPER""",,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AB03P,LaRC - Langley Research Center,,SC,'05',2/11/2013,2/22/2013,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",-27,"11,829","11,857",333514,N/A,N/A,"RESIN, ACCURA 60, 10 KG",,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL13AC10P,LaRC - Langley Research Center,,SC,'05',3/29/2013,4/10/2013,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","-1,673","8,842","10,515",333511,N/A,N/A,METAL POWDER,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL14AA86P,LaRC - Langley Research Center,Rock Hill,SC,'05',1/6/2014,12/31/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,700","4,700","4,700",541512,N/A,N/A,IGF::OT::IGF STUDIO NETWORK MAINTENANCE RENEWAL,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL14AB04P,LaRC - Langley Research Center,Hampton,VA,'02',1/24/2014,12/31/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","39,000","39,000","39,000",811219,N/A,N/A,IGF::OT::IGF 3D SYSTEMS SLA7000 AND VIPER ANNUAL PREVENTATIVE ONSITE MAINTENANCE AGREEMENTS,,,,,,,,,,,,
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL14AB17P,LaRC - Langley Research Center,Rock Hill,SC,'05',2/5/2014,2/27/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","3,790","3,790","3,790",811219,N/A,N/A,LASER DOUBLER,,,,,,,,,,,,
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",NNM13AE93P,MSFC - Marshall Space Flight Center,ANNISTON,AL,'03',8/7/2013,9/4/2013,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price",0,"5,513","5,513",511210,N/A,N/A,IGF::OT::IGFPROCUREMENT FOR THE PURCHASE OF GIBBSCAM SOFTWARE IN SUPPORT OF ES43.,,,,,,,,,,,,
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",NNM14AC94P,MSFC - Marshall Space Flight Center,ANNISTON,AL,'03',6/27/2014,7/15/2014,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","5,513","5,513","5,513",511210,N/A,N/A,IGF::OT::IGFGIBBSCAM SOFTWARE MAINTENANCE,,,,,,,,,,,,
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",NNC14CA34C,GRC - Glenn Research Center,SAN FRANCISCO,CA,'12',9/10/2014,9/30/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Definitive Contract, Firm Fixed Price","14,850","67,761","67,761",221114,N/A,N/A,IGF::OT::IGFNASA GLENN RESEARCH CENTER REC CREDITS,,,,,,,,,,,,
"3DEWITT, LLC [ANCRAMDALE,NEW YORK]",NNX12AR10G,NSSC - NASA Shared Services Center,,NY,'19',9/21/2012,10/9/2013,", Small Business ONLY - For Profit Organization, Limited Liability Corporation",Grant,0,"92,965","92,965",[None Indicated],N/A,N/A,"THERE IS AN AMUSING COMPARISON MADE BETWEEN EXOPLANETS AND THE CHILDREN&#039;S STORY OF GOLDILOCKS, BECAUSE SOME PLANETARY ORBITS ARE TOO HOT, AND SOME ARE TOO COLD, BUT SOME ARE JUST RIGHT. HOWEVER, GOLDILOCKS ISN&#039;T SIMPLY ABOUT TEMPERATURE. IT&#039;S ABOUT PORRIDGE. WHAT KIND OF TELESCOPE CAN SENSE HOME COOKING WITHIN THE HABITABLE ZONES OF OUR STELLAR NEIGHBORHOOD? THE EXTRAORDINARY DEMANDS MADE BY EXOPLANET DISCOVERY INCLUDE TELESCOPE APERTURES OF UNPRECEDENTED ANGULAR RESOLUTION AND SENSITIVITY. HOWEVER, THAT BALLGAME CANNOT EVEN BEGIN WITHOUT A METHOD TO OCCLUDE OR NULL THE HOST STAR AND REMOVE ITS GLARE. AS IF THAT WERE NOT TROUBLE ENOUGH, HABITABLE PLANET DISCOVERY NECESSITATES EXQUISITE SPECTROGRAPHIC CAPABILITY. THE NECESSITY IS NOT LOST ON NASA. THE DECADAL SURVEY OF ASTRONOMY AND ASTROPHYSICS MAKES IT QUITE CLEAR THAT EXOPLANET DISCOVERY MUST INCLUDE A SPECTROSCOPY COMPONENT. YET THERE ARE NO EXISTING HABITABLE PLANET ZONE FINDERS WITH SPECTROGRAPHS AND FEW ARE PLANNED. HOMES (HOLOGRAPHIC OPTICAL METHOD FOR EXOPLANET SPECTROSCOPY) IS A SPACE TELESCOPE DESIGNED TO HIT ALL OF THESE CRITERIA. ITS DOUBLE DISPERSION ARCHITECTURE EMPLOYS A HOLOGRAPHIC OPTICAL ELEMENT AS A PRIMARY OBJECTIVE IN CONJUNCTION WITH A NOVEL SECONDARY SPECTRAL INTERFEROMETER. UNLIKE MIRRORS AND LENSES, THE HOLOGRAMS ARE THIN AND FLAT. THEY CAN BE FABRICATED ON THIN GOSSAMER MEMBRANES AND STRETCHED OVER SPACE FRAMES COVERING THOUSANDS OF SQUARE METERS. THIS PROVIDES THE SCALE OF COLLECTOR NEEDED TO CAPTURE THE PHOTONS FROM VERY FAINT SOURCES LIKE EXOPLANETS AND BRING THEM TO A FOCUS. BECAUSE HOLOGRAPHIC OPTICS FOCUS BY THE PROCESS OF DISPERSION, THEY ARE INTRINSICALLY SPECTROGRAPHIC PROVIDING A WEALTH OF DETAIL ABOUT THE COMPOSITION OF THE IMAGES THEY FORM. ADD TO THIS A NOVEL NOTCH FILTER TO DIM THE STAR THAT TAKES ADVANTAGE OF THE SPECTROGRAPHIC IMAGE, AND HOMES IS A CONCEPT THAT ADDRESSES THE DEMANDING SPECIFICATIONS OF A TELESCOPE TO FIND HABITABLE PLANETS WITHIN 30 LIGHT YEARS OF EARTH.",,,,,,,,,,,,
"3E TECHNOLOGIES INTERNATIONAL, INC. [ROCKVILLE,MARYLAND]",NNG14HL69D,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',5/8/2014,5/7/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","10,908","10,908","10,908",334220,N/A,N/A,"IGF::OT::IGF ANNUAL GOLD MAINTENANCE AND TECHNICAL SERVICES FOR THE GOES-R VTC ROOM.  PROVIDES HELP DESK, NEXT DAY PARTS, AND SOFTWARE UPDATES FOR THE CNFERENCE ROOM.",,,,,,,,,,,,
"3E TECHNOLOGIES INTERNATIONAL, INC. [ROCKVILLE,MARYLAND]",NNG14VJ06D,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',9/8/2014,12/31/2014,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","15,335","15,335","15,335",334220,N/A,N/A,"IGF::OT::IGF  UPGRADE OF EXISTING CONFERENCE ROOM AUDIO/VIDEO EQUIPMENT:  SONY CAMERA, 1 EACH.  BOUNDARY MICROPHONES, 7 EACH. CABLES, CONNECTORS AND ADAPTERS, 1 EACH.  PROJECT SUPPORT, TECHICIAN AND SENIOR SYSTEM ENGINEER AMX PROGRAMMING.  HANDLING CHARGES.",,,,,,,,,,,,
"3E TECHNOLOGIES INTERNATIONAL, INC. [ROCKVILLE,MARYLAND]",NNG14VJ07D,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',9/8/2014,9/7/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","7,390","7,390","7,390",334220,N/A,N/A,IGF::OT::IGF / 1YR ANNUAL PLATINUM MAINTENANCE SERVICE CONTRACT FOR A/V EQUIPMENT IN BLDG. 6/RM S19 CONFERENCE ROOM,,,,,,,,,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNG13RG37D,GSFC - Goddard Space Flight Center,SAINT PAUL,MN,'04',6/14/2013,6/13/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","BPA Call, Firm Fixed Price","17,000","39,990","39,990",325998,N/A,N/A,FUNDS FOR METALLOGRAPHIC LABORATORY SUPPLIES.,,,,,,,,,,,,
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNM14AA53D,MSFC - Marshall Space Flight Center,SAINT PAUL,MN,'04',7/15/2014,7/25/2014,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Delivery Order, Firm Fixed Price","41,746","41,746","41,746",444110,N/A,N/A,"THE PURPOSE OF THIS PROCUREMENT IS FOR THE PURCHASE OF 5490 3M TEFLON TAPE FOR 288 ROLLS, 2\ WIDE X 36 YARDS LONG.""",,,,,,,,,,,,
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX13AA62D,NSSC - NASA Shared Services Center,,MS,'04',7/15/2013,7/14/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"321,379","321,379",541513,N/A,N/A,IGF::OT::IGF CRADLE SOFTWARE MAINTENANCE ONE YEAR,,,,,,,,,,,,
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX14MC59D,NSSC - NASA Shared Services Center,Huntsville,AL,'05',4/17/2014,7/31/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","1,826","1,826","1,826",541513,N/A,N/A,IGF::OT::IGF CRADLE DASHBOARD MODULE AND MAINTENANCE,,,,,,,,,,,,
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX14MD60D,NSSC - NASA Shared Services Center,Stennis Space Center,MS,'04',7/15/2014,7/14/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price","249,874","249,874","249,874",541513,N/A,N/A,IGF::OT::IGF  -- CRADLE SOFTWARE,,,,,,,,,,,,
"3SOUTH, L.L.C. [BATON ROUGE,LOUISIANA]",NNM13AF85P,MSFC - Marshall Space Flight Center,Baton Rouge,LA,'06',9/26/2013,11/8/2013,", Small Disadvantaged Business, Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation, Self Certified Small Disadvantaged Business, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price",0,"7,600","7,600",423850,N/A,N/A,NANA INTELLIGENT DETECTION SYSTEM,,,,,,,,,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNC13VB64P,GRC - Glenn Research Center,AUSTIN,TX,'25',9/6/2013,12/3/2013,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","-464,136",0,0,517911,N/A,N/A,TIMOTHY WARDLOW - 216-433-5928 MS:21-13IGF::OT::IGFVENDOR WILL BUILD COMPLETE SYSTEM IN THE CENTERALIZED OFFICE BUILDING.,,,,,,,,,,,,
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL14AC46P,LaRC - Langley Research Center,Austin,TX,'25',5/8/2014,6/5/2014,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","11,053","11,053","11,053",423830,N/A,N/A,LIFTING BEAM,,,,,,,,,,,,
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG14LK32P,GSFC - Goddard Space Flight Center,Tucson,AZ,'03',9/16/2014,1/20/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","99,575","99,575","99,575",333314,N/A,N/A,"NANOCAM SQ OPTICAL PROFILER CALIBRAION MIRROR,  TRIPOD, MOTERIZED ADJUSTMENT WITH HAND CONTROLLER, NANOCAM SQ. DYNAMIC OPTICAL PROFILER CONTROLLER.",,,,,,,,,,,,
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG14PM79P,GSFC - Goddard Space Flight Center,TUCSON,AZ,'03',5/13/2014,6/13/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,100",0,0,333314,N/A,N/A,"IGF::OT::IGF CAMERA MODIFICATION FOR PHASECAM HS/HPINCLUDES ONE DAY OF: PH.D LEVEL TROUBLESHOOTING AND DIAGNOSIS,INSTALLATION AND INTEGRATION OF CAMERA FILES,FRAME RATE SPEED MODIFICATION,AND ALL TRAVEL COSTS.",,,,,,,,,,,,
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNG14PN16P,GSFC - Goddard Space Flight Center,Tucson,AZ,'03',5/12/2014,8/15/2014,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","13,950","13,950","13,950",333314,N/A,N/A,"CUSTOM DIVERGER F/6 WITH EFL OF 14MM COATED FOR LOW LIGHT RETURN TESTING APPLICATIONS FOR USE WITH PHASECAM HP, HS",,,,,,,,,,,,
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNM14AA93P,MSFC - Marshall Space Flight Center,TUCSON,AZ,'03',1/21/2014,3/6/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","14,950","14,950","14,950",333314,N/A,N/A,PROCUREMENT OF MODAL ANALYSIS SOFTWARE AND INTERFACE ELECTRONICS FROM 4D TECHNOLOGY,,,,,,,,,,,,
"4 STAR TECHNOLOGIES, INC. [VIRGINIA BEACH,VIRGINIA]",NNC14VF54P,GRC - Glenn Research Center,Cleveland,OH,'16',9/3/2014,9/30/2014,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, SBA Certified HUBZone, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Veteran Owned","Purchase Order, Firm Fixed Price","20,108","20,108","20,108",423420,N/A,N/A,FOURTEEN (14) EXTREME NETWORKS IT EQUIPMENT ITEMS AND TWO (2) ONE YEAR UPGRADE/MAINTENANCE WARRANTIES FOR PRODUCTS.,,,,,,,,,,,,
"406 AEROSPACE LLC [BOZEMAN,MONTANA]",NNK14LA67B,KSC - Kennedy Space Flight Center,[N/A for IDVs],,'NA',7/8/2014,[None Indicated],", Small Business ONLY - For Profit Organization, Limited Liability Corporation, Partnership Or Limited Liability Partnership","Indefinite Delivery Contract, Firm Fixed Price","70,000","70,000",0,336419,N/A,N/A,CUBESAT DISPENSER HARDWARE AND INTEGRATION SERVICES,,,,,,,,,,,,
"4DSP, LLC [RENO,NEVADA]",NND13AC58P,AFRC - Armstrong Flight Research Center,RENO,NV,'02',7/22/2013,1/7/2014,", Small Business ONLY - For Profit Organization, Manufacturer Of Goods, Subchapter S Corporation","Purchase Order, Firm Fixed Price",-24,"71,581","71,581",334111,N/A,N/A,FPGA MEZZANINE CARDS (FMC),,,,,,,,,,,,
