Contractor,Contract Number,NASA Center,Place of Performance City,Place of Performance State,Place of Performance District,Award Date,Completion Date,Contractor Type,Award Type,Current FY Obligations,Total Obligations,Total Award Value,NAICS Code,Solicitation ID,Solicitation POC,Description of Work
"1ST CHOICE MODULAR INSTALLATION LLC [SANTA ANA,CALIFORNIA]",NND16FF31D,AFRC - Armstrong Flight Research Center,EDWARDS,CA,'23',8/25/2016,10/25/2016,"SBA Certified HUBZone, Small Disadvantaged Business, Small Business - Hispanic American Owned Business, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, SBA Certified Small Disadvantaged Business, Self Certified Small Disadvantaged Business","BPA Call, Firm Fixed Price","2,565","2,565","2,565",337214,N/A,N/A,"DESIGN AND INSTALLATION OF FURNITURE AT AERO INSTITUTE, ROOM 350"
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC16VC23P,GRC - Glenn Research Center,ANDOVER,MA,'03',2/22/2016,3/18/2016,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","7,579","7,579","7,579",423410,N/A,N/A,ALLIED VISION TECHNOLOGY MODEL MANTA G-235C COLOR CAMERA PLUS AVT MANTA TRIPOD MOUNT ADAPTER
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC16VF09P,GRC - Glenn Research Center,ANDOVER,MA,'03',5/4/2016,6/30/2016,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","6,275","6,245","6,245",334220,N/A,N/A,3CCD COLOR VIDE CAMERA
"1ST VISION, INC [ANDOVER,MASSACHUSETTS]",NNC16VI20P,GRC - Glenn Research Center,ANDOVER,MA,'03',8/31/2016,10/7/2016,", Woman Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Women Owned","Purchase Order, Firm Fixed Price","7,225","7,225","7,225",423410,N/A,N/A,ISVI 25 MEGAPIXEL CAMERA WITH CAMERA CABLE/INDUSTRIAL HI-FLEX COAXPRESS CABLE&ISVI AC/DC POWER SUPPLY
"2B TECHNOLOGIES INC [BOULDER,COLORADO]",NNA16BE17P,ARC - Ames Research Center,Boulder,CO,'02',7/7/2016,8/10/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","7,800","7,800","7,800",334516,N/A,N/A,AMBIENT OZONE MONITOR
"3 DD CORP [PORT SAINT LUCIE,FLORIDA]",NNL15AA38W,LaRC - Langley Research Center,Port Saint Lucie,FL,'18',9/21/2015,10/20/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"10,020","10,020",334519,N/A,N/A,"LASER SCANNER, SOFTWARE, WEB TRAINING AND SUPPORT"
"3 H TECHNOLOGY INSTITUTE LLC [MEDFORD,NEW JERSEY]",NNL16AF53P,LaRC - Langley Research Center,Medford,NJ,'03',9/2/2016,10/15/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Limited Liability Corporation","Purchase Order, Firm Fixed Price","22,999","22,999","22,999",333999,NNL16598533Q,"Robert E. Quinn, Phone 7578643054, 7578643054, sandi.ray@nasa.gov",MARK TWO COMPOSITE THREE DIMENSIONAL PRINTER
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND15AB87P,AFRC - Armstrong Flight Research Center,Edwards,CA,'23',7/24/2015,8/7/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"7,105","7,105",541511,N/A,N/A,ANNUAL MAINTENANCE&SUPPORT POLYWORKS NURBS IGF::OT::IGF
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND15AC09P,AFRC - Armstrong Flight Research Center,Irvine,CA,'45',8/20/2015,10/20/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"19,670","19,670",541511,N/A,N/A,POLYWORKS SOFTWARE AND TRAINING
"3D INFOTECH INC [IRVINE,CALIFORNIA]",NND16AB55P,AFRC - Armstrong Flight Research Center,Edwards,CA,'23',7/20/2016,8/29/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","11,500","11,500","11,500",541519,N/A,N/A,IGF::OT::IGF  POLYWORKS ONSITE TRAINING - 6 DAYS
"3D PLUS U.S.A., INC. [FREMONT,CALIFORNIA]",NNG16LF08P,GSFC - Goddard Space Flight Center,,CA,'17',5/18/2016,6/17/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","3,650","3,650","3,650",334413,N/A,N/A,ONE (1) INDUSTRIAL GRADE 2MB MRAM AND ONE (1) COMMERCIAL GRADE 32GB NAN FLASH MEMORY COMPONENT.
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNC14VF44P,GRC - Glenn Research Center,ROCK HILL,SC,'05',7/15/2014,9/21/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"8,400","8,400",541519,N/A,N/A,IGF::OT::IGFSOFTWARE MAINTENANCE RENEWAL LICENSES FOR ONE (1) GEOMAGIC CONTROL&TWO (2) GEOMAGIC STUDIO.
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNC15VB10P,GRC - Glenn Research Center,ROCK HILL,SC,'05',12/18/2014,12/18/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"9,957","9,957",541512,N/A,N/A,IGF::OT::IGF NEW GEOMAGIC FREEFORM/TOUCH SOFTWARE
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNC16VB99P,GRC - Glenn Research Center,Rock Hill,SC,'05',5/3/2016,5/8/2017,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","16,400","16,400","16,400",541512,N/A,N/A,IGF::OT::IGF GEOMAGIC CONTROL-1ST YEAR MAINTENANCE-OFFLINE DONGLE
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNJ13JB01P,JSC - Johnson Space Flight Center,,SC,'05',5/29/2013,7/31/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"10,349","10,349",541512,N/A,N/A,"24-MONTHS OF IT EQUIPMENT SUPPORT \SEWP ORDER\"""""
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL15AA90P,LaRC - Langley Research Center,Hampton,VA,'02',1/14/2015,12/31/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"39,000","39,000",811219,N/A,N/A,"\IGF::OT::IGF\"" ANNUAL MAINTENANCE FOR 3D SYSTEMS EQUIPMENT"""
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL15AF70P,LaRC - Langley Research Center,Rock Hill,SC,'05',8/19/2015,8/19/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"5,900","5,900",541512,N/A,N/A,LICENSE AND SOFTWARE RENEWAL FOR GEOMAGIC DESIGN
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL16AA90P,LaRC - Langley Research Center,,VA,'02',1/28/2016,12/31/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","39,000","39,000","39,000",811219,NNL16576144Q,"Emily Nicole Black, Contract Support Buyer, 757-864-6073, emily.black@nasa.gov",IGF::OT::IGF  ANNUAL MAINTENANCE AGREEMENT FOR 3D SYSTEMS
"3D SYSTEMS, INC. [ROCK HILL,SOUTH CAROLINA]",NNL16AD99P,LaRC - Langley Research Center,ROCK HILL,SC,'05',7/24/2016,8/19/2017,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","3,900","3,900","3,900",811219,N/A,N/A,IGF::OT::IGF GEOMAGIC DESIGN-MAINTENANCE RENEWAL-ONLINE NETWORK ACTIVATION AND GEOMAGIC CONTROL-MAINTENANCE RENEWAL-ONLINE ACTIVATION
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",NNM16AB80P,MSFC - Marshall Space Flight Center,ANNISTON,AL,'03',3/8/2016,3/1/2017,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","4,091","4,091","4,091",511210,N/A,N/A,IGF::OT::IGFTHE PURPOSE OF THIS EFFORT IS TO RENEW THE ANNUAL MAINTENANCE AGREEMENT FOR THE GIBBSCAM AND SPACECLAIM COMPUTER AIDED MANUFACTURING SOFTWARE CURRENTLY IN USE AT MSFC.
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",NNX16MT70P,NSSC - NASA Shared Services Center,ANNISTON,AL,'03',7/28/2016,8/6/2017,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","5,513","5,513","5,513",511210,N/A,N/A,IGF::OT::IGFGIBBSCAM SOFTWARE
"3DATUM CNC SOLUTIONS [ANNISTON,ALABAMA]",NNX16WB04P,NSSC - NASA Shared Services Center,Anniston,AL,'03',7/21/2016,7/21/2017,", Small Business ONLY - For Profit Organization, Sole Proprietorship","Purchase Order, Firm Fixed Price","18,575","18,575","18,575",511210,N/A,N/A,IGF::OT::IGFGIBBSCAM SOFTWARE SECURITY KEY AND MAINTENANCE FOR 1 YEAR.
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",NNC14CA34C,GRC - Glenn Research Center,SAN FRANCISCO,CA,'12',9/10/2014,9/30/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Definitive Contract, Firm Fixed Price","32,311","67,761","67,761",221114,N/A,N/A,IGF::OT::IGFNASA GLENN RESEARCH CENTER REC CREDITS
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",NNK15OB05T,KSC - Kennedy Space Flight Center,Orlando,FL,'08',9/18/2015,12/31/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"6,175","6,175",221115,N/A,N/A,IGF::OT::IGF RENEWABLE ENERGY CERTIFICATES
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",NNL16AA28W,LaRC - Langley Research Center,San Francisco,CA,'12',8/2/2016,12/31/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","5,874","5,874","5,874",221118,N/A,N/A,IGF::OT::IGF RENEWABLE ENERGY CREDITS
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",NNS15AA89P,SSC - Stennis Space Center,Stennis Space Center,MS,'04',9/24/2015,11/23/2015,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price",0,"3,075","3,075",541690,N/A,N/A,"IGF::OT::IGF FY 15 RENEWABLE ENERGY CERTIFICATES UNDER E.O. 13963 FOR STENNIS SPACE CENTER, MS"
"3DEGREES GROUP, INC. [SAN FRANCISCO,CALIFORNIA]",NNS16AA61P,SSC - Stennis Space Center,Stennis Space Center,MS,'04',6/23/2016,9/1/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Purchase Order, Firm Fixed Price","3,750","3,750","3,750",221114,N/A,N/A,IGF::OT::IGF RENEWABLE ENERGY CERTIFICATES FISCAL YEAR 16
"3DVISION TECHNOLOGIES CORPORATION [CINCINNATI,OHIO]",NNC16VA41P,GRC - Glenn Research Center,Cincinnati,OH,'01',12/9/2015,1/29/2017,", Small Disadvantaged Business, Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Self Certified Small Disadvantaged Business, Subchapter S Corporation","Purchase Order, Firm Fixed Price","16,250","16,250","16,250",541519,N/A,N/A,IGF::OT::IGF FORTUS 400MC (3-D PRINTER) MAINTENANCE FOR SOFTWARE AND HARDWARE
"3E TECHNOLOGIES INTERNATIONAL, INC. [ROCKVILLE,MARYLAND]",NNG15HA95D,GSFC - Goddard Space Flight Center,GREENBELT,MD,'05',6/8/2015,6/7/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"10,908","10,908",334220,N/A,N/A,"IGF::OT::IGFGOES VTC CONFERENCE ROOM MAINTENANCE AND TECHNICAL SUPPORT SERVICES. THE GOLD MAINTENANCE SUBSCRIPTION SERVICE PACKAGE PROVIDES 12X5 HELP DESK, NEXT DAY AND SOFTWARE UPDATES FOR THE GOES-R VTC CONFERENCE ROOM."
"3E TECHNOLOGIES INTERNATIONAL, INC. [ROCKVILLE,MARYLAND]",NNG15VJ94D,GSFC - Goddard Space Flight Center,Greenbelt,MD,'05',7/30/2015,9/7/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"7,390","7,390",334220,N/A,N/A,IGF::OT::IGF  ANNUAL PLATINUM MAINTENANCE SERVICE CONTRACT FOR AUDIO/VISUAL  EQUIPMENT
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNC16DC06D,GRC - Glenn Research Center,Saint Paul,MN,'04',8/17/2016,9/16/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Delivery Order, Firm Fixed Price","7,993","7,993","7,993",334519,N/A,N/A,EDGE 5 NOISE DOSIMETER AND CALIBRATOR
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNG13RG37D,GSFC - Goddard Space Flight Center,SAINT PAUL,MN,'04',6/14/2013,6/13/2018,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","BPA Call, Firm Fixed Price","6,000","39,990","39,990",325998,N/A,N/A,FUNDS FOR METALLOGRAPHIC LABORATORY SUPPLIES.
"3M COMPANY [SAINT PAUL,MINNESOTA]",NNL16AF23P,LaRC - Langley Research Center,Saint Paul,MN,'04',8/31/2016,9/10/2016,"Other Than Small Business - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price","4,119","4,119","4,119",325998,N/A,N/A,CONDITIONAL TEST METHOD SILICA SLIP
"3QC, INC. [FOLSOM,CALIFORNIA]",NNA15BA19D,ARC - Ames Research Center,MOFFETT FIELD,CA,'18',12/2/2014,10/30/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Subchapter S Corporation","Delivery Order, Firm Fixed Price",0,"22,400","22,400",561990,N/A,N/A,"IGF::OT::IGF      COMMISSIONING SERVICES FOR THE BIOSCIENCES LABORATORY BUILDING, N288"
"3RD DEGREE SCREENING, INC [COUNCIL BLUFFS,IOWA]",NNK16ON13P,KSC - Kennedy Space Flight Center,COUNCIL BLUFFS,IA,'03',3/30/2016,3/29/2019,", Small Disadvantaged Business, Woman Owned Small Business, Economically Disadvantaged Women Owned Small Business, Small Business - Corporate Entity Not Tax Exempt, Economically Disadvantaged Women Owned Small Business, For Profit Organization, Women Owned, Women Owned Small Business","Purchase Order, Firm Fixed Price","6,369","6,369","6,369",561611,NNK16575851Q,"Nancy S. Cuty, Contracting Officer, 3218679761, nancy.s.cuty@nasa.gov",IGF::OT::IGF BACKGROUND INVESTIGATION SERVICES
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX15MF09D,NSSC - NASA Shared Services Center,Huntsville,AL,'05',7/14/2015,7/14/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Delivery Order, Firm Fixed Price",0,"156,159","156,159",541513,N/A,N/A,IGF::OT::IGF CRADLE SOFTWARE MAINTENANCE PURCHASE
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX16ME83Z,NSSC - NASA Shared Services Center,[N/A for IDVs],,'NA',7/12/2016,[None Indicated],", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","Blanket Purchase Agreement (BPA), Firm Fixed Price",0,0,0,541513,N/A,N/A,IGF::OT::IGF3SL CRADLE PRODUCTS AND SERVICES
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX16ME93D,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',7/14/2016,7/14/2017,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price","156,159","156,159","156,159",541513,N/A,N/A,IGF::OT::IGFCRADLE RENEWAL LICENSES
"3SL, INCORPORATED [HUNTSVILLE,ALABAMA]",NNX16MV18D,NSSC - NASA Shared Services Center,HUNTSVILLE,AL,'05',9/14/2016,10/28/2016,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization","BPA Call, Firm Fixed Price","12,480","12,480","12,480",541513,N/A,N/A,IGF::OT::IGF3SL CRADLE SOFTWARE MAINTENANCE
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNC13VB64P,GRC - Glenn Research Center,AUSTIN,TX,'25',9/6/2013,12/3/2013,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Subchapter S Corporation, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price",0,0,0,517911,N/A,N/A,TIMOTHY WARDLOW - 216-433-5928 MS:21-13IGF::OT::IGFVENDOR WILL BUILD COMPLETE SYSTEM IN THE CENTERALIZED OFFICE BUILDING.
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL15AE76P,LaRC - Langley Research Center,Austin,TX,'25',7/27/2015,10/15/2015,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price",0,"93,452","93,452",334516,NNL15552138Q,"Robert E Quinn, Contractor Support Buyer, 757-864-3054, robert.e.quinn@nasa.gov",HELMHOLTZ COIL SYSTEM
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL16AA75P,LaRC - Langley Research Center,,TX,'25',1/8/2016,11/7/2016,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","11,765","11,765","11,765",334519,NNL16572423Q,"Delores  Powell, Contractor Support Buyer, 757-864-2437, delores.j.powell@nasa.gov",HONEYWELL PRESSURE TRANSDUCERS
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL16AE16P,LaRC - Langley Research Center,Austin,TX,'25',7/24/2016,8/30/2016,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","10,278","10,278","10,278",339999,NNL16593556Q,"Emily N Black, Phone 7578646073, 7578646073, sandra.s.ray@nasa.gov",ANECHOIC ACOUSTIC WEDGE
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNL16AF42P,LaRC - Langley Research Center,Austin,TX,'25',8/31/2016,10/3/2016,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","15,925","15,925","15,925",334519,NNL16595348Q,"Morgan Slater, Phone 7578642498, 7578642498, sandra.s.ray@nasa.gov",HOKUYO LIDAR (LIGHT DETECTION AND RANGING) SYSTEM
"3T FEDERAL SOLUTIONS LLC [AUSTIN,TEXAS]",NNM16AC72P,MSFC - Marshall Space Flight Center,Austin,TX,'25',5/27/2016,8/2/2016,"SBA Certified HUBZone, Veteran Owned Small Business, Service Disabled Veteran Owned Small Business, Small Disadvantaged Business, Small Business - DOT Certified Disadvantaged Business Enterprise, For Profit Organization, Limited Liability Corporation, Manufacturer Of Goods, Minority Owned, SBA Certified 8A Program Participant, SBA Certified HUBZone, Self Certified Small Disadvantaged Business, Service Related Disabled Veteran Owned Business, Sub Continent Asian American Owned Business, Veteran Owned","Purchase Order, Firm Fixed Price","38,732","38,732","38,732",334516,N/A,N/A,THE PURPOSE OF THIS PROCUREMENT IF FOR THE PURCHASE OF AN  ELECTROCHEMICAL WORKSTATION UNIT.
"4 D TECHNOLOGY CORPORATION [TUCSON,ARIZONA]",NNC15VD95P,GRC - Glenn Research Center,TUCSON,AZ,'03',5/5/2015,6/18/2015,", Small Business ONLY - Corporate Entity Not Tax Exempt, For Profit Organization, Manufacturer Of Goods","Purchase Order, Firm Fixed Price",0,"18,950","18,950",333314,N/A,N/A,"IGF::OT::IGF HW-WYKO 6000 SERIES UPGRADE SYSTEM, UPGRADE FOR OPTICAL TESTING INTERFEROMETER"
