NASA+Ames+Research+Center,Aspen+Aerogels+Inc,Ablative Flexible Aerogel TPS Materials for Mars Aerocapture and Entry Phase I,1/1/2010,12/31/2010,100000,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aspen+Aerogels+Inc,Thin Aerogel as a Spacer in Multi-Layer Insulation for Cryogenic Space Applications Phase I,1/1/2011,12/31/2011,124248,Exploration Systems
NASA+Johnson+Space+Center,Aspen+Aerogels+Inc,Organic Aerogels with Improved Resilience and Flexibility for Multifunctional Protection in Spacesuits Phase I,1/1/2011,12/31/2011,124939,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aspen+Aerogels+Inc,Thin Aerogel as a Spacer in Multi-Layer Insulation for Cryogenic Space Applications Phase II,1/1/2011,12/31/2011,699999,Exploration Systems
NASA+Ames+Research+Center,Aspen+Aerogels+Inc,Flexible Ablative Aerogel TPS Materials for Planetary Aerocapture and Entry Phase I,1/1/2012,12/31/2012,124814,Human Exploration and Operations
NASA+Goddard+Space+Flight+Center,Nanowave+Inc,High-Speed Scanning Interferometer Using CMOS Image Sensor and FPGA Based on Multi-Frequency Phase-Tracking Detection Phase I,1/1/2008,12/31/2008,100000,Science
NASA+Johnson+Space+Center,David+Clark+Company+Incorporated,Morphing Upper Torso: A Resizable and Adjustable EVA Torso Assembly Phase I,1/1/2012,12/31/2012,124962,Human Exploration and Operations
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Efficient Tm-Fiber-Pumped Ho:YLF Laser System for Coherent LIDAR Applications Phase I,1/1/2007,12/31/2007,99993,Science
NASA+Johnson+Space+Center,Q-Peak+Inc,Efficient 3-D Ladar Source Phase I,1/1/2007,12/31/2007,99897,Exploration Systems
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Efficient Tm-Fiber-Pumped Ho:YLF Laser System for Coherent LIDAR Applications Phase II,1/1/2007,12/31/2007,599962,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Efficient 3-D Ladar Source Phase II,1/1/2007,12/31/2007,599774,Exploration Systems
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,EM4+Inc,Efficient and Compact Semiconductor Laser Transmitter Modules Phase I,1/1/2008,12/31/2008,99666,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Low-Cost LIDAR for Wake Vortex Detection Phase I,1/1/2008,12/31/2008,99996,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,EM4+Inc,Efficient and Compact Semiconductor Laser Transmitter Modules Phase II,1/1/2008,12/31/2008,599889,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Pulsed Single-Frequency 2-um Seed Source for Coherent LIDAR Applications Phase I,1/1/2009,12/31/2009,99951,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,EM4+Inc,Compact 2050 nm Semiconductor Diode Laser Master Oscillator Phase I,1/1/2009,12/31/2009,99788,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Pulsed Single-Frequency 2-um Seed Source for Coherent LIDAR Applications Phase II,1/1/2009,12/31/2009,599997,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Spire+Corporation,High Temperature Resistant Zirconia Coating for In-space Propulsion Phase I,1/1/2010,12/31/2010,99575,Exploration Systems
NASA+Goddard+Space+Flight+Center,Q-Peak+Inc,A LIBS System for Lunar Surface Measurements Phase I,1/1/2010,12/31/2010,99944,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Novel Compact Solid-State UV Laser for Ozone DIAL Phase I,1/1/2010,12/31/2010,99995,Science
NASA+Goddard+Space+Flight+Center,Q-Peak+Inc,A LIBS/Raman System for Planetary Surface Measurement Phase II,1/1/2010,12/31/2010,749852,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Low-Cost Lidar for Wake-Vortex and Other Hazard Detection Phase I,1/1/2011,12/31/2011,124964,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Q-Peak+Inc,Low-Cost Lidar for Wake-Vortex and Other Hazard Detection Phase II,1/1/2011,12/31/2011,699266,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Jet+Propulsion+Laboratory,ORB+Analytics+LLC,Minimizing Implementation Loss in Soft-Decision GMSK Demodulators Phase I,1/1/2009,12/31/2009,99997,Space Operations
NASA+Jet+Propulsion+Laboratory,ORB+Analytics+LLC,Minimizing Implementation Loss in Soft-Decision GMSK Demodulators Phase II,1/1/2009,12/31/2009,599998,Space Operations
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Colloid Thruster for Attitude Control Systems (ACS) and Tip-off Control Applications Phase I,1/1/2007,12/31/2007,99993.16,Science
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Colloid Thruster for Attitude Control Systems (ACS) and Tip-off Control Applications Phase II,1/1/2007,12/31/2007,599981,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Long Life 600W Hall Thruster System for Radioisotope Electric Propulsion Phase I,1/1/2008,12/31/2008,100000,Science
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Precise Thrust Actuation by a Micro RF Ion Engine Phase I,1/1/2008,12/31/2008,99993,Science
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Light Metal Propellant Hall Thruster Phase I,1/1/2008,12/31/2008,99991,Science
NASA+Ames+Research+Center,Busek+Company+Inc,ESPA Based Secondary Payload Orbit Maneuvering System Phase I,1/1/2008,12/31/2008,99993,Science
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Precise Thrust Actuation by a Micro RF Ion Engine Phase II,1/1/2008,12/31/2008,599927,Science
NASA+Ames+Research+Center,Busek+Company+Inc,ESPA Based Secondary Payload Orbit Maneuvering System Phase II,1/1/2008,12/31/2008,599954,Science
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Miniaturized Low-Power Piezo Microvalve for NanoSat and CubeSat Propulsion Phase I,1/1/2009,12/31/2009,99984,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,High Efficiency Hall Thruster Discharge Power Converter Phase I,1/1/2009,12/31/2009,99992,Science
NASA+Armstrong+Flight+Research+Center,Busek+Company+Inc,Magnesium Based Rockets for Martian Exploration Phase I,1/1/2009,12/31/2009,99993,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Low Mass Low Power Hall Thruster System Phase I,1/1/2009,12/31/2009,99992,Science
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Miniaturized Low-Power Piezo Microvalve for NanoSat and CubeSat Propulsion Phase II,1/1/2009,12/31/2009,599989,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,High Efficiency Hall Thruster Discharge Power Converter Phase II,1/1/2009,12/31/2009,599996,Science
NASA+Armstrong+Flight+Research+Center,Busek+Company+Inc,Magnesium Based Rockets for Martian Exploration Phase II,1/1/2009,12/31/2009,599999,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Low Mass Low Power Hall Thruster System Phase II,1/1/2009,12/31/2009,599994,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,20mN Variable Specific Impulse Colloid Thruster Phase I,1/1/2010,12/31/2010,99993,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Dual Mode Low Power Hall Thruster Phase I,1/1/2010,12/31/2010,99994,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,20mN Variable Specific Impulse Colloid Thruster Phase II,1/1/2010,12/31/2010,749996,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Magnesium Hall Thruster for Solar System Exploration Phase I,1/1/2010,12/31/2010,99990,Small Business Technology Transfer
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Magnesium Hall Thruster for Solar System Exploration Phase II,1/1/2010,12/31/2010,746101,Small Business Technology Transfer
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Iodine Hall Thruster for Space Exploration Phase I,1/1/2011,12/31/2011,124999,Exploration Systems
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Wide Throttling High Throughput Hall Thruster for Science and Exploration Missions Phase I,1/1/2011,12/31/2011,125000,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Iodine Hall Thruster for Space Exploration Phase II,1/1/2011,12/31/2011,699983,Exploration Systems
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Wide Throttling High Throughput Hall Thruster for Science and Exploration Missions Phase II,1/1/2011,12/31/2011,699996,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Lifetime Improvement of Large Scale Green Monopropellant Thrusters via Novel Long-Life Catalysts Phase I,1/1/2012,12/31/2012,124994,Human Exploration and Operations
NASA+Goddard+Space+Flight+Center,Busek+Company+Inc,Highly Efficient Micro Cathode Phase I,1/1/2012,12/31/2012,124786,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,High Throughput Hall Thruster for Small Spacecraft Phase I,1/1/2012,12/31/2012,124990,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,Hall Effect Thruster for High Power Solar Electric Propulsion Technology Demonstration Phase I,1/1/2012,12/31/2012,199998,Human Exploration and Operations
NASA+Jet+Propulsion+Laboratory,Busek+Company+Inc,Direct Drive Unit with Autonomous Cathode Current Regulation Phase I,1/1/2012,12/31/2012,199916,Human Exploration and Operations
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Busek+Company+Inc,High Input Voltage Hall Thruster Discharge Converter Phase I,1/1/2012,12/31/2012,199960,Human Exploration and Operations
NASA+Kennedy+Space+Center,Electrolytic+Rese NASA+Ames+Research+Centerh+Corporation+LLC,Large Scale Inert Anode for Molten Oxide Electrolysis Phase I,1/1/2008,12/31/2008,99860,Exploration Systems
NASA+Kennedy+Space+Center,Electrolytic+Rese NASA+Ames+Research+Centerh+Corporation+LLC,Advanced Self-Heated Cell Reactor using Large Scale Inert Anode for Molten Oxide Electrolysis Phase II,1/1/2008,12/31/2008,599880,Exploration Systems
NASA+Goddard+Space+Flight+Center,Arradiance+Inc,Functionalized Nano-Film Microchannel Plate: A Single High Aspect Ratio Device for High Resolution Low Noise Astronomical Imaging Phase I,1/1/2009,12/31/2009,99660,Science
NASA+Goddard+Space+Flight+Center,Arradiance+Inc,Functionalized Nano-Film Microchannel Plate: A Single High Aspect Ratio Device for High Resolution Low Noise Astronomical Imaging Phase II,1/1/2009,12/31/2009,595700,Science
NASA+Jet+Propulsion+Laboratory,Beam+Power+Technology+Inc,High-Efficiency High-Power Ka-Band Elliptic-Beam Traveling-Wave-Tube Amplifier for Long-Range Space RF Telecommunications Phase I,1/1/2010,12/31/2010,99993,Space Operations
NASA+Johnson+Space+Center,ElectroChem+Inc,Integrated PEMFC Flow Field Design Concept for Gravity Independent Passive Water Removal Phase II,1/1/2005,12/31/2005,599557,Exploration Systems
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Scientific+Systems+Company+Inc,Integrated Damage-Adaptive Control System (IDACS) Phase II,1/1/2005,12/31/2005,599578,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Marshall+Space+Flight+Center,Agiltron+Corporation,Nano-Enabled Low-Cost High-Performance UV Anti-Reflection Coatings Phase II,1/1/2006,12/31/2006,599963,Science
NASA+Jet+Propulsion+Laboratory,Scientific+Systems+Company+Inc,Distributed Formation State Estimation Algorithms Under Resource and Multi-Tasking Constraints Phase II,1/1/2006,12/31/2006,600000,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Boston+Applied+Technologies+Inc,A Novel Portable Apparatus for Noninvasively Measuring Bone Density Phase I,1/1/2006,12/31/2006,99952.68,Small Business Technology Transfer
NASA+Ames+Research+Center,Aptima+Inc,Computational Model and Measurement Tool for Evaluating the Design of Flight Deck Technologies Phase I,1/1/2007,12/31/2007,100000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Johnson+Space+Center,Scientific+Systems+Company+Inc,SELENE - Self-Forming Extensible Lunar EVA Network Phase I,1/1/2007,12/31/2007,100000,Space Operations
NASA+Ames+Research+Center,Scientific+Systems+Company+Inc,Integrated Reconfigurable Aero and Propulsion Control for Improved Flight Safety of Commercial Aircraft Phase I,1/1/2007,12/31/2007,100000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,ElectroChem+Inc,Advanced Approaches to Greatly Reduce Hydrogen Gas Crossover Losses in PEM Electrolyzers Operating at High Pressures and Low Current Densities Phase I,1/1/2007,12/31/2007,99814.4,Exploration Systems
NASA+Jet+Propulsion+Laboratory,Scientific+Systems+Company+Inc,Novel Approaches for Spacecraft Formation Robustness and Performance using Distributed Estimation Control and Communication Phase I,1/1/2007,12/31/2007,100000,Science
NASA+Jet+Propulsion+Laboratory,Microscale+Inc,Single Crystal Bimorph Array Driven Deformable Mirrors Phase I,1/1/2007,12/31/2007,99977.67,Science
NASA+Ames+Research+Center,Aptima+Inc,Computational Model and Measurement Tool for Evaluating the Design of Flight Deck Technologies Phase II,1/1/2007,12/31/2007,600000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Johnson+Space+Center,Scientific+Systems+Company+Inc,SELENE - Self-Forming Extensible Lunar EVA Network Phase II,1/1/2007,12/31/2007,599993,Space Operations
NASA+Jet+Propulsion+Laboratory,ElectroChem+Inc,Advanced Approaches to Greatly Reduce Hydrogen Gas Crossover Losses in PEM Electrolyzers Operating at High Pressures and Low Current Densities Phase II,1/1/2007,12/31/2007,600000,Exploration Systems
NASA+Jet+Propulsion+Laboratory,Microscale+Inc,Single Crystal Bimorph Array (SCBA) Driven Deformable Mirror (DM) Phase II,1/1/2007,12/31/2007,599419,Science
NASA+Ames+Research+Center,Aptima+Inc,Use-Driven Testbed for Evaluating Systems and Technologies (U-TEST) Phase I,1/1/2008,12/31/2008,100000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Goddard+Space+Flight+Center,Boston+Applied+Technologies+Inc,OptoCeramic-Based High Speed Fiber Multiplexer for Multimode Fiber Phase I,1/1/2008,12/31/2008,99991,Science
NASA+Armstrong+Flight+Research+Center,Boston+Applied+Technologies+Inc,Novel High Temperature Strain Gauge Phase I,1/1/2008,12/31/2008,99959,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Scientific+Systems+Company+Inc,Safe and Efficient Dynamic Airportal Traffic and Resource Planner Phase I,1/1/2008,12/31/2008,100000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Scientific+Systems+Company+Inc,Algorithm Design and Validation for Adaptive Nonlinear Control Enhancement (ADVANCE) Technology Development for Resilient Flight Control Phase I,1/1/2008,12/31/2008,100000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Jet+Propulsion+Laboratory,Scientific+Systems+Company+Inc,Topology Control Algorithms for Spacecraft Formation Flying Networks Under Connectivity and Time-Delay Constraints Phase I,1/1/2008,12/31/2008,100000,Science
NASA+Ames+Research+Center,Aptima+Inc,Use-Driven Testbed for Evaluating Systems and Technologies (U-TEST) Phase II,1/1/2008,12/31/2008,600000,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Jet+Propulsion+Laboratory,Scientific+Systems+Company+Inc,Topology Control Algorithms for Spacecraft Formation Flying Networks Under Connectivity and Time-Delay Constraints Phase II,1/1/2008,12/31/2008,599978,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,ElectroChem+Inc,Novel Conductive Water Removal Membrane (CWRM) for PEM Passive Fuel Cell Operation Phase I,1/1/2009,12/31/2009,100000,Exploration Systems
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Scientific+Systems+Company+Inc,Metroplex-Wide Runway Configuration Management using COBRA (Configuration Optimization for Balanced Runway/Route Assignments) Tool Phase I,1/1/2009,12/31/2009,99999,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Nanotrons,Functionalized Graphene Sheets-Polymer Based Nanocomposite for Cryotanks Phase I,1/1/2009,12/31/2009,99944,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Scientific+Systems+Company+Inc,SCONES: Secure Content-Oriented Networking for Exploring Space Phase I,1/1/2009,12/31/2009,100000,Space Operations
NASA+Ames+Research+Center,Aptima+Inc,WINDSUN: Weather INformation Display Systems for UAS in the NAS Phase I,1/1/2012,12/31/2012,122033,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Goddard+Space+Flight+Center,Boston+Applied+Technologies+Inc,Mobile Passive Optical Imager for Remote Gas Detection Phase I,1/1/2012,12/31/2012,124999,Science
NASA+Jet+Propulsion+Laboratory,Boston+Applied+Technologies+Inc,Novel Near-to-Mid IR Imaging Sensors Without Cooling Phase I,1/1/2012,12/31/2012,125000,Small Business Technology Transfer
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Scientific+Systems+Company+Inc,Integrated Motion Planning and Autonomous Control Technology for Autonomous ISR Phase I,1/1/2012,12/31/2012,125000,Small Business Technology Transfer
NASA+Goddard+Space+Flight+Center,TelAztec,Enhanced ORCA and CLARREO Depolarizers Using AR Microstructures Phase I,1/1/2010,12/31/2010,100000,Science
NASA+Goddard+Space+Flight+Center,Spectral+Sciences+Inc,High-Speed Atmospheric Correction Algorithm for Spectral Image Processing Phase I,1/1/2010,12/31/2010,99992,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,CADNexus+Inc,Integrated Variable Fidelity Conceptual Design Phase I,1/1/2010,12/31/2010,99402,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Kennedy+Space+Center,Physical+Sciences+Inc,Transmission and Distribution of Photosynthetically Active Radiation (PAR) for Biomass Production in Exploration Missions [7226-270] Phase II,1/1/2005,12/31/2005,599960,Exploration Systems
NASA+Johnson+Space+Center,Physical+Sciences+Inc,Multi-Use Solar Thermal System for Oxygen Production from Lunar Regolith   [7227-570] Phase II,1/1/2006,12/31/2006,599141,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Novel Catalyst Development for Synthetic Endothermic Fuels Phase I,1/1/2007,12/31/2007,99983.29,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Inorganic Polymer Nanocomposite Cathode for Long Cycle Life Lithium - Sulfur Batteries Phase I,1/1/2007,12/31/2007,99978.42,Exploration Systems
NASA+Ames+Research+Center,Physical+Sciences+Inc,Pulsed Electrogasdynamic Thruster for Attitude Control and Orbit Maneuver Phase I,1/1/2007,12/31/2007,99949,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Long Duration Space Shelter Shielding Phase I,1/1/2007,12/31/2007,99974,Exploration Systems
NASA+Ames+Research+Center,Physical+Sciences+Inc,Pulsed Electrogasdynamic Thruster for Attitude Control and Orbit Maneuver Phase II,1/1/2007,12/31/2007,599550,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Long Duration Space Shelter Shielding Phase II,1/1/2007,12/31/2007,599988,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,High Performing Low Temperature Operating Long Lifetime Aerospace Lubricants Phase I,1/1/2008,12/31/2008,99915,Exploration Systems
NASA+Ames+Research+Center,Physical+Sciences+Inc,Next Generation UAV-Class Ozone Photometer Phase I,1/1/2008,12/31/2008,99929,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Silicon Whisker and Carbon Nanofiber Composite Anode Phase I,1/1/2008,12/31/2008,99923,Exploration Systems
NASA+Kennedy+Space+Center,Physical+Sciences+Inc,Liquid Crystal Membrane Dust Mitigation System for Lunar or Martian Operations Phase I,1/1/2008,12/31/2008,99966.39,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,High Performing Low Temperature Operating Long Lifetime Aerospace Lubricants Phase II,1/1/2008,12/31/2008,599994,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Silicon Whisker and Carbon Nanofiber Composite Anode Phase II,1/1/2008,12/31/2008,600000,Exploration Systems
NASA+Goddard+Space+Flight+Center,Maxion+Technologies+Inc,Tunable Narrow Line Width Mid-Infrared Laser Source Phase I,1/1/2008,12/31/2008,99954.58,Small Business Technology Transfer
NASA+Goddard+Space+Flight+Center,Maxion+Technologies+Inc,Tunable Narrow Line Width Mid-Infrared Laser Source Phase II,1/1/2008,12/31/2008,599994,Small Business Technology Transfer
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Autonomous+Exploration+Inc,Advanced Bayesian Methods for Lunar Surface Navigation Phase I,1/1/2009,12/31/2009,99937,Space Operations
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Safer Battery with Switchable Polymer Coating Phase I,1/1/2009,12/31/2009,99976,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Autonomous+Exploration+Inc,Advanced Bayesian Methods for Lunar Surface Navigation Phase II,1/1/2009,12/31/2009,599999,Space Operations
NASA+Goddard+Space+Flight+Center,Physical+Sciences+Inc,High Performing PFPE Nanofluid Lubricants Phase I,1/1/2010,12/31/2010,99835,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Green Liquid Monopropellant Thruster for In-space Propulsion Phase I,1/1/2010,12/31/2010,99884,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,High Performance Monopropellants for Future Planetary Ascent Vehicles Phase I,1/1/2010,12/31/2010,99770,Science
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Solid State Multiwavelength LIDAR for Volcanic Ash Monitoring Phase I,1/1/2010,12/31/2010,99805,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Green Liquid Monopropellant Thruster for In-space Propulsion Phase II,1/1/2010,12/31/2010,704018,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Functionalized Graphitic Supports for Improved Fuel Cell Catalyst Stability Phase I,1/1/2010,12/31/2010,99902,Small Business Technology Transfer
NASA+Langley+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Rip-Stop Reinforced Thin Film Sun Shield Structure Phase I,1/1/2011,12/31/2011,121119,Science
NASA+Jet+Propulsion+Laboratory,Physical+Sciences+Inc,Compact LIDAR for Aerosol Extinction Profiling from Small UAV&#039;s Phase I,1/1/2012,12/31/2012,124990,Science
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Physical+Sciences+Inc,Long Life High Energy Cell Development Phase I,1/1/2012,12/31/2012,124958,Human Exploration and Operations
NASA+Ames+Research+Center,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,Multispectral Particle Absorption Monitor Phase I,1/1/2007,12/31/2007,100000,Science
NASA+Jet+Propulsion+Laboratory,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,Spacecraft Cabin Particulate Monitor Phase I,1/1/2007,12/31/2007,100000,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,An Adaptive Chemistry Approach to Modeling Emissions Performance of Gas Turbine Combustors Phase I,1/1/2007,12/31/2007,99999.97,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Ames+Research+Center,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,Multispectral Particle Absorption Monitor Phase II,1/1/2007,12/31/2007,600000,Science
NASA+Jet+Propulsion+Laboratory,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,Spacecraft Cabin Particulate Monitor Phase II,1/1/2007,12/31/2007,600000,Exploration Systems
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,An Adaptive Chemistry Approach to Modeling Emissions Performance of Gas Turbine Combustors Phase II,1/1/2007,12/31/2007,599845,Aeronautics Rese NASA+Ames+Research+Centerh
NASA+Glenn+ReseNASA+Ames+Research+Centerh+Center,Aerodyne+Rese NASA+Ames+Research+Centerh+Inc,An Ultra-Sensitive Size Resolved Particle Mass Measurement Device Phase I,1/1/2008,12/31/2008,99995,Aeronautics Rese NASA+Ames+Research+Centerh
