17,Airbus DS GmbH Sat,"Claude-Dornier-Strasse, Immenstaad, GERMANY",Sentinel-6B Satellite Instrument Construction,"63,597,986.00"
18,AIRBUS DS LTD EX INFOTERRA LTD,"Europa House, Southwood, FARNBOROUGH, GREAT BRITAIN",Sentinel-2 Preparations and operations of the off-line Processing and Archiving Centres,"54,739.06"
19,AKKA TECHNOLOGIES,"9-11 rue Montalivet, Paris, FRANCE",SENTINEL-6A/B-DORIS DIODE,"45,240.00"
20,ALMATECH SA,"PARC SCIENTIFIQUE EPFL, LAUSANNE, SWITZERLAND",SENTINEL-5  IOMSR ACTIVITY,"1,124,940.00"
21,APCO TECHNOLOGIES SA,"Chemin de Champex 10, Aigle, SWITZERLAND",SENTINEL-6A/B-MGSE.,"269,389.00"
22,ARIANESPACE,"BOULEVARD DE L'EUROPE,BP 177, EVRY-COURCOURONNES CEDEX, FRANCE",SENTINEL-2B LAUNCHER PROCUREMENT,"21,766,000.00"
23,AURORA TECHNOLOGY BV,"HEERE WEG 345, LISSE, NETHERLANDS",MANPOWER SUPPORT SERVICE - SENTINEL-3,"93,350.00"
24,BELG INST SPACE AERONOMY,"RINGLAAN 3, BRUSSELS, BELGIUM",SUPPORT TO THE CABAUW INTERCOMPARISON CAMPAIGN FOR NITROGEN DIOXIDE MEASURING INSTRUMENTS2016 (CINDI-2),"250,000.00"
25,BLU ELECTRONIC SRL,"VIA SANDRO PERTINI 8, I-22044 IVERIGO, ITALY",Sentinel-1 Satellites C/D Units Construction,"20,000.00"
26,BROCKMANN CONSULT GMBH,"MAX-PLANCK-STRASSE 2, HAMBURG, GERMANY",SENTINEL-2 ATMOSPHERIC CORRECTION ALGORITHM SETUP AND VALIDATION,"250,000.00"
27,CAPGEMINI TECHNOLOGY SERVICES,"5-7 RUE FREDERIC CLAVEL, SURESNES CEDEX, FRANCE",DEMONSTRATION OF SENTINEL-2 CAPABILITIES FOR COASTAL WATERS APPLICATIONS,"50,000.00"
28,C-CORE CENTRE COLD OCEAN RES.,"CAPTAIN ROBERT A. BARTLETT BUILD., ST JOHN`S, CANADA",Sentinel-1B: TRANSPONDER MAINTENANCE TO S1B COMMISSIONING,"90,000.00"
29,CELESTIA SATELLITES TEST AND SIMULA,"HUYGENSSTRAAT 44, 2201 CK, NOOFCSIJK, NETHERLANDS",SENTINEL-6A/B-EGSE TMTC FE,"49,638.00"
30,CLS COLLECTE LOCALISATION SATELLITES,"PARC TECHNOLOGIQUE DU CANAL, RUE HERMES 11, RAMONVILLE SAINT-AGNE,FRANCE",SENTINEL-3 C/D UNITS - SYNTHETIC APERTURE RADAR (SAR) LEVEL 1B STUDY,"399,842.00"
31,CNES CST,"Avenue Edouard Belin 18, TOULOUSE, FRANCE",SENTINEL-2 LEVEL 2 A ALGORITHM SELECTION,"1,943,793.00"
32,CNES CST,"Avenue Edouard Belin 18, TOULOUSE, FRANCE",SENTINEL-3 ROUTINE OPERATIONAL PHASE SUPPORT (S-3 CROPS),"1,534,760.00"
33,CRISA SACOMPUTADORAS REDES E INGENIERIA,"C/.TORRES QUEVEDO,S/N 9, MADRID, SPAIN",SENTINEL-5  ICS ACTIVITY,"5,225,620.00"
34,CRISA SACOMPUTADORAS REDES E INGENIERIA,"C/.TORRES QUEVEDO,S/N 9, MADRID, SPAIN",SENTINEL-5  UVN FEE ACTIVITY,"1,971,284.00"
35,CRISA SACOMPUTADORAS REDES E INGENIERIA,"C/.TORRES QUEVEDO,S/N 9, MADRID, SPAIN",SENTINEL-6A/B-PCDU,"1,627,133.00"
36,CS SYSTEMES D INFORMATION,"ZAC DE LA GRANDE PLAINE, F-31506 TOULOUSE CEDEX 5, FRANCE",PREPARATION AND OPERATIONS OF THE MISSION PERFORMANCE CENTRE (MPC) FOR SENTINEL-2 MISSION,"1,250,000.00"
37,DA-DESIGN OY,"KESKUSKATU 29, JOKIOINEN, FINLAND",Sentinel-1 Satellites C/D Units Construction,"200,000.00"
38,DLR - GERMAN AEROSPACE CENTER,"Linder Höhe, Cologne, GERMANY",Sentinel-3 Preparations and operations of the off-line Processing and Archiving Centres,"109,257.18"
39,DTM SRL,"VIA TACITO 65, MODENA, ITALY",SENTINEL-5 MGSE ACTIVITY,"396,462.00"
40,E2V TECHNOLOGIES LIMITED,"106 WATERHOUSE LANE, CHELMSFORD, GREAT BRITAIN",SENTINEL-5  UVN CCD ACTIVITY,"1,800,000.00"
41,E-GEOS,"VIA TIBURTINA 965, I-00156 ROMA, ITALY",HYPERSPECTRAL IMAGING MISSION CONCEPTS,"399,000.00"
42,EJR QUARTZ B.V,"3E BINNENVESTGRACHT 23-A, LEIDEN, NETHERLANDS",SENTINEL USER HANDBOOK  TECHNICAL EDITORIAL SERVICE,"62,430.00"
43,EOX IT SERVICES GMBH,"THURNGASSE 8/4, VIENNA, AUSTRIA",PROVISION OF BACKGROUND AND OVERLAY MAPS,"58,060.00"
44,EXELIS VISUAL INFOR,"CENTRO COLLEONI PALAZZO PEGASO 3, AGRATE BRIANZA MI, ITALY",SENTINEL-3 MISSION-SOFT PRODUCTS & SERVICES SUPPORT,"23,235.00"
45,GAF AG,"ARNULFSTRASSE 199, MUENCHEN, GERMANY",SENTINEL-2 ATMOSPHERIC CORRECTION ALGORITHM ASSESSMENT,"25,000.00"
46,GMV GMBH,"Europaplatz  2, Darmstadt, GERMANY",SENTINEL-5P OPERATIONS ENGINEERING SUPPORT,"75,122.01"
47,HELMHOLTZ-ZENTRUM POTSDAM - DEUTSCH,"TELEGRAFENBERG A17, POTSDAM, GERMANY",SENTINEL-2 ATMOSPHERIC CORRECTION ALGORITHM SETUP AND VALIDATION,"250,000.00"
48,JENA-OPTRONIK GMBH,"Otto-Eppenstein-Strasse 3, JENA, GERMANY",SENTINEL-2 C/D UNITS - STAR TRACKER,"178,497.00"
49,JENA-OPTRONIK GMBH,"Otto-Eppenstein-Strasse 3, JENA, GERMANY",SENTINEL-5  NIR SO ACTIVITY,"2,426,851.00"
0,JENA-OPTRONIK GMBH,"Otto-Eppenstein-Strasse 3, JENA, GERMANY",SENTINEL-6A/B-STAR TRACKER,"701,691.00"
1,KONGSBERG SATELLITE SERVICES AS,"PRESTVANNVEIEN 38, TROMSO, NORWAY",SENTINEL-5P X-BAND SERVICE FOR ROUTINE OPERATIONS,"23,902,814.00"
2,KONGSBERG SPACETEC AS,"PRESTVANNVEIEN 38, TROMSO, NORWAY",DEMODULATION AND FRONT END PROCESSING (DFEP) FOR SENTINEL SATELLITES,"450,000.00"
3,LATELEC,"RUE MAX PLANCK, LABEGE CEDEX, FRANCE",Sentinel-1 Satellites C/D Units Construction,"1,700,000.00"
4,Leonardo S.p.a.,"Piazza Monte Grappa 4, ROME, ITALY",SENTINEL-3 C/D UNITS  SLSTR,"57,027.00"
5,Leonardo S.p.a.,"Piazza Monte Grappa 4, ROME, ITALY",SENTINEL-5  SWIR SS ACTIVITY,"7,104,172.00"
6,Leonardo S.p.a.,"Piazza Monte Grappa 4, ROME, ITALY",SENTINEL-6A/B-SAW,"1,957,680.00"
7,LSE Space GMBH,"MUENCHNERSTRASSE 20, WESSLING, GERMANY",SENTINEL-1 OPERATIONS ENGINEERING SUPPORT,"328,657.04"
8,LSE Space GMBH,"MUENCHNERSTRASSE 20, WESSLING, GERMANY",SENTINEL-2 OPERATIONS ENGINEERING SUPPORT,"614,674.20"
9,LSE Space GMBH,"MUENCHNERSTRASSE 20, WESSLING, GERMANY",SENTINEL-5P OPERATIONS ENGINEERING SUPPORT,"507,491.77"
10,MICOS ENGINEERING GMBH,"Sackmatl 109, Wauwil, SWITZERLAND",SENTINEL-5  CAS ACTIVITY,"2,044,672.00"
11,NERC - PLYMOUTH MARINE LAB.,"PROSPECT PLACE, WEST HOE, GB-PLYMOUTH PL1 3DH, GREAT BRITAIN",SENTINEL-3 ATLANTIC MERIDIONAL TRANSECT (AMT) FIDUCIAL REFERENCE MEASUREMENTS (FRM) CAMPAIGN(AMT4SENTINELFRM) - PHASE 1,"299,999.00"
12,NOVELTIS SAS,"153 rue du Lac, Labège, FRANCE",SENTINEL-3 C/D UNITS - OPEN LOOP TRACKING COMMANDS (OLTC),"150,000.00"
13,OHB SYSTEM AG,"Universitaetsallee 27-29, BREMEN, GERMANY",HYPERSPECTRAL IMAGING MISSION CONCEPTS,"400,000.00"
14,RAKON FRANCE SAS,"44 av. de la Glacière, Argenteuil, FRANCE",SENTINEL-3 ULTRA STABLE OSCILLATOR INTEGRATION,"745,000.00"
15,RHEA SYSTEM B.V.,"Jonckerweg 18, Noordwijk, NETHERLANDS",SENTINEL-1 - MANPOWER SUPPORT SERVICE,"32,496.00"
16,RHEA SYSTEM S.A.,"AVENUE PASTEUR 23, WAVRE, BELGIUM",PAYLOAD DATA GROUND SEGMENT (PDGS) - ENGINEERING AND MANAGEMENT SUPPORT SERVICES,"813,624.22"
17,ROCKWELL COLLINS DEUTSCHLAND GMBH,"GRENZHOEFERWEG 36, HEIDELBERG, GERMANY",SENTINEL-6A/B-REACTION WHEELS,"836,400.00"
18,RUAG SPACE AB,"Solhusgatan (Delsjömotet) 11, S-40515 GOETEBORG, SWEDEN",Sentinel-1 Satellites C/D Units Construction,"423,000.00"
19,RUAG SPACE AB,"Solhusgatan (Delsjömotet) 11, S-40515 GOETEBORG, SWEDEN",SENTINEL-6A/B-(SE)-SBA,"75,000.00"
20,RUAG SPACE AB,"Solhusgatan (Delsjömotet) 11, S-40515 GOETEBORG, SWEDEN",SENTINEL-6A/B-OBC,"1,508,800.00"
21,RUAG SPACE AB,"Solhusgatan (Delsjömotet) 11, S-40515 GOETEBORG, SWEDEN",SENTINEL-6A/B-PODRIX RECEIVER,"135,000.00"
22,RUAG SPACE AB,"Solhusgatan (Delsjömotet) 11, S-40515 GOETEBORG, SWEDEN",SENTINEL-6A/B-XBA,"80,000.00"
23,RUAG SPACE FINLAND OY AB,"Naulakatu 3, Tampere, FINLAND",SENTINEL-6A/B-RIU,"1,445,379.00"
24,RUAG SPACE GMBH,"STACHEGASSE 16, WIEN, AUSTRIA",SENTINEL-5  IOMT ACTIVITY,"755,177.00"
25,RUAG SPACE GMBH,"STACHEGASSE 16, WIEN, AUSTRIA",SENTINEL-6A/B-PODRIX RECEIVER,"558,250.00"
26,RUAG SPACE GMBH,"STACHEGASSE 16, WIEN, AUSTRIA",SENTINEL-6A/B-THERMAL PASSIVE,"362,936.00"
27,SERCO SPA,"VIA SCIADONNA 24/26, I-00044 FRASCATI, ITALY","SENTINELS ROLLING ARCHIVE PRODUCTS USER ACCESS, OPERATIONS, MAINTENANCE AND EVOLUTIONS","12,500,000.00"
28,SIEMENS CONVERGENCE CREATORS GMBH,"AUTOKADER STRASSE 29, WIEN, AUSTRIA",Sentinel-1 Satellites C/D Units Construction,"445,000.00"
29,SIEMENS CONVERGENCE CREATORS GMBH,"AUTOKADER STRASSE 29, WIEN, AUSTRIA",SENTINEL-5 EGSE ACTIVITY,"229,845.00"
30,SIEMENS CONVERGENCE CREATORS GMBH,"AUTOKADER STRASSE 29, WIEN, AUSTRIA",SENTINEL-6A/B-EGSE POWER SCOE,"464,685.00"
31,SIEMENS CONVERGENCE CREATORS SRL,"Mihail Kogalniceanu Blvd. 21, bl. C, Brasov, ROMANIA",SENTINEL-6A/B-EGSE S-BAND SCOE,"100,000.00"
32,SODERN,"AV DESCARTES 20, BP 23, F-94451 LIMEIL-BREVANNES, FRANCE",SENTINEL-5  UV2VIS ACTIVITY,"5,170,000.00"
33,SOFRADIR,"RUE C.PELLETAN 43-47, CHATENAY MALABRY, FRANCE",SENTINEL-5  SWIR DETECTOR ACTIVITY,"3,080,048.00"
34,SPACE SYSTEMS FINLAND LTD,"Kappelitie  6 B, ESPOO, FINLAND",SENTINEL-5  L1BPP ACTIVITY,"57,579.00"
35,SPACETECH GMBH,"SEELBACHSTRASSE 13, IMMENSTAAD, GERMANY",SENTINEL-6A/B-CESS,"266,660.00"
36,SPACETECH GMBH,"SEELBACHSTRASSE 13, IMMENSTAAD, GERMANY",SENTINEL-6A/B-SAW,"1,834,730.00"
37,STFC RUTHERFORD APPLETON LABORATORY,"HARWELL CAMPUS, DIDCOT, GREAT BRITAIN",SENTINEL-5  CTF ACTIVITY,"4,004,015.00"
38,SYDERAL SA,"NEUENBURGSTR. 7, CH-2076 GALS/BE, SWITZERLAND",Sentinel-1 Satellites C/D Units Construction,"69,040.00"
39,Telespazio VEGA Deutschland GmbH,"EUROPAPLATZ 5, DARMSTADT, GERMANY",SENTINEL-1 OPERATIONS ENGINEERING SUPPORT,"325,408.50"
40,Telespazio VEGA Deutschland GmbH,"EUROPAPLATZ 5, DARMSTADT, GERMANY",SENTINEL-2 OPERATIONS ENGINEERING SUPPORT,"325,408.50"
41,TESAT-SPACECOM GMBH & CO.KG,"Gerberstraße 49, BACKNANG, GERMANY",SENTINEL-6A/B-XBDA,"1,650,765.00"
42,THALES ALENIA SPACE ESPANA,"C / EINSTEIN, 7 (PTM), E-28760 TRES CANTOS -  MADRID, SPAIN",Sentinel-1 Satellites C/D Units Construction,"1,850,000.00"
43,THALES ALENIA SPACE ESPANA,"C / EINSTEIN, 7 (PTM), E-28760 TRES CANTOS -  MADRID, SPAIN",SENTINEL-5  DSE ACTIVITY,"1,733,000.00"
44,THALES ALENIA SPACE ESPANA,"C / EINSTEIN, 7 (PTM), E-28760 TRES CANTOS -  MADRID, SPAIN",SENTINEL-6A/B-SBT,"796,000.00"
45,THALES ALENIA SPACE FRANCE,"26 AVENUE JEAN-FRANCOIS CHAMPOLLION, TOULOUSE, FRANCE","Sentinel-2 Payload Data Ground Segment  (PDGS) system operations, maintenance and evolutions","3,063,243.00"
46,THALES ALENIA SPACE FRANCE,"26 AVENUE JEAN-FRANCOIS CHAMPOLLION, TOULOUSE, FRANCE",SENTINEL-3 IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,"16,647,213.00"
47,THALES ALENIA SPACE FRANCE,"26 AVENUE JEAN-FRANCOIS CHAMPOLLION, TOULOUSE, FRANCE",Sentinel-3 Satellite C/D Units Construction,"1,375,000.00"
48,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, I 00131 ROME, ITALY",SENTINEL-1 - IN-ORBIT OPERATIONS  MAINTENANCE SUPPORT,"10,382,524.00"
49,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, I 00131 ROME, ITALY",Sentinel-1 Satellites C/D Units Construction,"3,675,000.00"
50,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, I 00131 ROME, ITALY",Sentinel-1B Phase E,"522,801.00"
51,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, I 00131 ROME, ITALY",SENTINEL-3 C/D UNITS - PLATFORM AND SYSTEM ACTIVITIES,"50,000.00"
52,THALES ALENIA SPACE ITALIA SPA,"VIA SACCOMURO 24, I 00131 ROME, ITALY",SENTINEL-6A/B-MMFU,"1,976,000.00"
53,TNO INDUSTRIAL RESEARCH,"Anna van Buerenplein 1, The Hague, NETHERLANDS",SENTINEL-5  UV1 ACTIVITY,"5,696,590.00"
54,TNO INDUSTRIAL RESEARCH,"Anna van Buerenplein 1, The Hague, NETHERLANDS","SENTINEL-5 PHASE B2, C/D, E1. SD: TNO. 1.00.4: CALIBRATION ENGINEERING.","2,149,546.00"
55,TNO INDUSTRIAL RESEARCH,"Anna van Buerenplein 1, The Hague, NETHERLANDS",SENTINEL-5 TSBOA ACTIVITY,"5,804,882.00"
0,T-SYSTEMS ENTERPRISE SERVICES GMBH,"HAHNSTRASSE 43 D, D 60528 FRANKFURT MAIN, GERMANY",DATA CIRCULATION  DISSEMINATION NETWORK AND SECURITY FOR SENTINEL 1,"1,939,487.09"
1,T-SYSTEMS ENTERPRISE SERVICES GMBH,"HAHNSTRASSE 43 D, D 60528 FRANKFURT MAIN, GERMANY",DATA CIRCULATION  DISSEMINATION NETWORK AND SECURITY FOR SENTINEL 2,"1,164,894.37"
2,T-SYSTEMS ENTERPRISE SERVICES GMBH,"HAHNSTRASSE 43 D, D 60528 FRANKFURT MAIN, GERMANY",DATA CIRCULATION  DISSEMINATION NETWORK AND SECURITY FOR SENTINEL 3,"779,690.26"
3,UCL CONSULTANTS LTD,"NETWORK BUILDING, 2ND FLOOR, LONDON, GREAT BRITAIN",SENTINEL-2 LEVEL 2A STUDY - PRODUCT ASSESSMENT,"24,980.00"
4,UNIVERSITE CATHOLIQUE DE LOUVAIN,"2, CHEMIN DU CYCLOTRON, B-1348 LOUVAIN LA NEUVE, BELGIUM",SENTINEL-2 LEVEL 2A STUDY - PRODUCT ASSESSMENT (UNIVERSITÉ CATHOLIQUE DE LOUVAIN),"25,000.00"
5,VISIOTERRA,"14 rue Albert Einstein, Champs-sur-Marne, FRANCE",SENTINEL VISION SERVICE,"230,000.00"
6,VITO VL.INST.TECHN.ONDERZOEK,"BOERETANG 200, MOL, BELGIUM",Data Warehouse activities - data requirements,"111,254.00"
7,VTT TECHNICAL RESEARCH CENTRE OF FILTD,"PO Box 1000, Espoo, FINLAND",SENTINEL-2 ATMOSPHERIC CORRECTION ALGORITHM ASSESSMENT,"25,000.00"
8,ZARM TECHNIK AG,"AM FALLTURM, BREMEN, GERMANY",SENTINEL-6A/B-MAG/MTQ,"181,606.00"
