name,address,note,lat,long,,
Mount Wilson Observatory Assn.,Pasadena P.O. Box 70076,http://www.mtwilson.edu/mwoa.html,,,,
Mountain Skies Astronomical Society,Lake Arrowhead P.O. Box 1169,310 members,,,,
Mt. Diablo Observatory Assoc. Inc.,Walnut Creek P.O. Box 3165,http://www.mdia.org/astronomy.htm,,,,
Mt. Hood Observatory Assn.,Gresham 29404 SE Dodge Park Blvd,http://www.starstuff.com/mhoa.htm,,,,
Muncie Astronomy Club,Farmland 8256 W CR 300 S,35 members,,,,
Muscle Shoals Astronomical Society Inc.,Florence 121 W. Lee Ave.,14 members,,,,
Muskegon Astronomical Society,Muskegon 702 North Maple Island Rd,26 members,,,,
N.E.R.D.S.,Steele P.O. Box 580,256-547-1400,,,,
Naperville Astronomical Assn.,IL Naperville,120 members,,,,
National Capital Astronomers,Bethesda 8924 Ridge Place,250 members,,,,
National Deep Sky Observer's Society,Louisville 1607 Washington Blvd.,100 members,,,,
National Public Observatory Inc.,Radium Springs P.O. Box 19,http://www.astronomy-national-publi,,,,
Neuman Astronomical Society,Helena Carroll College at 1601 North Benton Avenue,Oldest observatory in Montana  Observatory with 12.5 inch reflector.,,,,
Neville Museum Astronomical Society,Green Bay 1081 Raleigh St.,http://npmas.org,,,,
New Hampshire Astronomical Society,Manchester P.O. Box 5823,140 members,,,,
New Jersey Astronomical Assn.,High Bridge P.O. Box 214,370 members,,,,
New Mexico Tech Astronomy Club,Socorro Frank T. Etscorn Campus Obs.,40 members,,,,
Night Sky Observers,KY Louisville,Public outreach,,,,
NightSky 45 Astronomy,Jefferson 13566 Parrish Gap Rd. SE,541-327-2839,,,,
Norfolk Astronomical Society,Chesapeake 2808 Flag Rd,12 members,,,,
North Central Kansas Astronomical Society,Manhattan 3711 Birch CT,http://www.nckas.org,,,,
North East Wisconsin Stargazers,Oshkosh P.O. Box 161,80 members from Green Bay-Appleton-Oshkosh area.,,,,
North Georgia Astronomers,Gainesville P.O. Box 5103,25 members,,,,
North Houston Astronomy Club,Kingwood Kingwood College,160 members,,,,
North Jersey Astronomical Group,Clifton P.O. Box 1472,50 members,,,,
North Shore Amateur Astronomy Club,Groveland 201 Washington Street,120 members,,,,
North Star Astronomical Society (NSAS),MI Gaylord,Monthly meetings at Peace Lutheran Church on 2nd Wed at 7pm.,,,,
North Star Astronomy Club,Brainerd 606 South 8th St.,218-829-4029,,,,
North Texas Skywatch,Azle 113 Valley View,817-238-9883,,,,
Northeast Arkansas Sky Crew,State University P.O. Box 4217,35 members,,,,
Northeast Florida Astronomical Society Inc.,Jacksonville 2321 Camden Ave.,70 members,,,,
Northeast Kansas Amateur Astronomers League,Topeka P.O. Box 951,40 members. Farpoint Observatory - 0.7m reflector,,,,
Northeast Nebraska Astronomy Club,Norfolk 710 S. 4th,11 members,,,,
Northern Berkshire Amateur Astronomy Club,Adams 25 Park St.,413-743-9176,,,,
Northern Cross Science Foundation,WI Ozaukee County,60 members,,,,
Northern Illinois Stargazers,Dixon 1672 Hill Drive,815-288-5183,,,,
Northern Illinois University Astronomical So,DeKalb Davis Hall Obs. at Faraday West,10 members,,,,
Northern Skies Astronomical Society,Grand Forks Box 9008,20 members,,,,
Northern Virginia Astronomy Club,VA Centreville,1050 members,,,,
Northwest Astronomy Group,Vernonia 55371 McDonald Rd.,60 members,,,,
Northwest Iowa Astronomers,Cherokee Sanford Museum & Planetarium at 117 E. Willow St.,75 members,,,,
Northwest Ohio Visual Astronomers,Cygnet 6341 Loe Rd.,419-655-2391,,,,
Northwest Oklahoma Astronomy Club,Enid 1719 Pawnee,55 members,,,,
Northwest Suburban Astronomers,Des Plaines 199 Brentwood Dr.,100 members,,,,
NOVAE,St. Clairsville 49080 Randal Dr,25 members,,,,
Oakland Astronomy Club,St. Clairsville 49080 Richland Acres,25 members,,,,
Oceanside Photo and Telescope Astronomical S,Oceanside 918 Mission Ave.,180 members,,,,
Odyssey Astronomy Club,Wanette Rt 2 Box 154,48 members,,,,
Ogden Astronomical Society,Roy 2336 W. 5650 South,55 members,,,,
Oglethorpe Astronomical Assn.,Savannah 212 E. Oglethorpe Ave.,35 members,,,,
Ohio Valley Astronomical Society,Huntington #1 Highlander Way,20 members,,,,
Oil Region Astronomical Society,Oil City P.O. Box 1535,50 members,,,,
Oklahoma City Astronomy Club,Oklahoma City PO Box 22804,Oklahoma City Astronomy Club holds its monthly meeting at Science Museum Oklahoma,,,,
Olean Area Amateur Astronomy Group,Allegany 2264 Cheese Factory Rd.,10 members,,,,
Olympic Astronomical Society,Keyport P.O. Box 458,80 members,,,,
Olympus Mons,Arlington University of Texas Physics Dept.,http://www.olympusmons.org,,,,
Omaha Astronomical Society,Omaha 4509 Seward St.,71 members,,,,
Orange County Astronomical Association (OCCA,NY Chester,http://ocastronomy.org.,,,,
ORION (Oak Ridge Isochronous Observation Net,Knoxville 4412 Damas Rd.,50 members,,,,
Ozarks Amateur Astronomers Club,Springfield 901 S. National,38 members,,,,
Pajarito Astronomers,Los Alamos P.O. Box 1092,45 members,,,,
Palomar Observatory,Palomar Mountain P.O. Box 200,http://www.astro.caltech.edu/paloma,,,,
Peninsula Astronomical Society,Mountain View P.O. Box 4542,250 members,,,,
Penn State Astronomy Club,University Park 202 HUB,50 members,,,,
Penobscot Valley Star Gazers,Stockton Springs 609 Cape Jellison Road,25 members,,,,
Peoria Astronomical Society Inc.,Peoria 1125 W. Lake St.,124 members,,,,
Phoenix Astronomical Society,Phoenix 3039 W Peoria Ave,90 members,,,,
Piedmont Amateur Astronomers,Statesville 182 Rumple Hill Dr.,25 members,,,,
Piedmont Astronomy Club Inc.,Collinsville 176 Lackey Road,14 members,,,,
Pittsfield Astronomy Club,Pittsfield 35 Brenton Ter.,http://www.astronomy.netfirms.com,,,,
Planetary Studies Foundation,Algonquin 812 Chatham Circle,http://planets.org,,,,
Pocatello Astronomical Society,Pocatello 27 Valleyview Drive,208-233-0711,,,,
Polaris Astronomical Society,Moorpark 4375 Clearwood,50 members,,,,
Polaris Observatory Association Inc.,Somis P.O. Box 734,10 members,,,,
Pomona Valley Amateur Astronomers,Upland P.O. Box 162,112 members,,,,
Pontchartrain Astronomy Society Inc.,Kenner 409 Williams Blvd.,160 members,,,,
Popular Astronomy Club Inc.,Rock Island 2535 45 St.,72 members,,,,
Prairie Astronomy Club,Lincoln P.O. Box 5585,100 members,,,,
Prescott Astronomy Club,Mayer P.O. Box 1178,20 members,,,,
Ptolemy Schwartz Astronomical Society,New York 530 W. 113th St.,10025,,,,
Quad Cities Astronomical Society,Davenport P.O. Box 3706,Hosts annual Eastern Iowa Star Party,,,,
Quad Cities Astronomy Club,Cordova 21614 River Road,61242,,,,
Racine Astronomical Society,Union Grove 112 63rd Dr.,90 members,,,,
Rainwater Astronomers Assn.,French Camp 1 Fine Place,http://rainwater.astronomers.org,,,,
Raleigh Astronomy Club Inc.,Raleigh P.O. Box 10643,70 members,,,,
Rappahannock Astronomy Club,Spotsylvania P.O. Box 868,http://www.raclub.org,,,,
Red River Astronomy Club,Texarkana 710 Walker Ln,"Members from Arkansas, Oklahoma, Texas, and Louisiana",,,,
Richland Astronomical Society,Mansfield P.O. Box 1118,35 members,,,,
Richmond Astronomical Society,Richmond 11536 Smoketree Dr,70 members,,,,
Rio Hondo Astronomical Society,Whittier 14517 E. Broadway,12 members,,,,
Rio Rancho Astronomical Society,Rio Rancho 609 Valley Meadows Dr. NE,21 members,,,,
Rittenhouse Astronomical Society,Haverford 216 Elbow Lane,70 members,,,,
River Bend Astronomy Club,IL St. Jacob,30 members,,,,
River Bend Astronomy Club,St. Louis 4579 Laclede Avenue PMB 439,http://riverbendastro.org,,,,
River Valley Stargazers,Dover 63 Observatory Lane,20 members,,,,
Riverside Astronomical Society,Riverside P.O. Box 51222,200 members,,,,
Roanoke Valley Astronomical Society,Fincastle 932 Lee Lane,80 members,,,,
Rochester Academy of Sciences Astronomy Sect,Rochester PO Box 20292,250 members,,,,
Rochester Astronomy Club,Rochester 3705 Halling Place SW,20 members,,,,
Rock Valley Astronomical Society,Janesville 3903 Wilshire Lane,20 members,,,,
Rockford Amateur Astronomers Inc.,Rockford 6804 Alvina Rd.,52 members,,,,
Rockland Astronomy Club,Suffern 214 Route 59 Suite 10-304,170 members.,,,,
Rocky Mountain Astronomy Club,Pueblo 63 Portero,65 members,,,,
Roper Mountain Astronomers,Greenville P.O. Box 25665,60 members,,,,
Rose City Astronomers,Portland Museum of Science & Ind at 1945 SE Water Ave.,330 members,,,,
Rose-Hulman Astronomical Society,Terre Haute 5500 Wabash Ave,Thu nights at 8 pm,,,,
Ryerson Astronomical Society,Chicago 1100 E. 58th St. Box 8,15 members,,,,
Sacramento Valley Astronomical Society,Sacramento P.O. Box 15274,http://www.svas.org,,,,
Saguaro Astronomy Club,Phoenix 7714 N. 36th Ave.,95 members,,,,
Salina Astronomy Club,Salina 803 Mike Drive,20 members,,,,
Salt Lake Astronomical Society,Salt Lake City P.O. Box 26114,160 members,,,,
San Angelo Astronomy Association,San Angelo P.O. Box 60391,30 members,,,,
San Antonio Astronomical Assn.,San Antonio P.O. Box 701261,240 members,,,,
San Antonio Astronomical Observers Group,San Antonio 5145 Smith Road,30 members,,,,
San Bernardino Valley Amateur Astronomers,Redlands County Museum at 2024 Orange Tree Ln.,75 members,,,,
San Diego Astronomy Assn.,San Diego P.O. Box 23215,531 members,,,,
San Francisco Amateur Astronomers,San Francisco PO Box 15097,350+ members,,,,
San Francisco Sidewalk Astronomers,San Francisco 1801 Golden Gate Ave.,http://members.aol.com/raycash/side,,,,
San Jose Astronomical Association,San Jose P.O. Box 28243,http://www.sjaa.net,,,,
San Mateo County Astronomical Society,San Mateo P.O. Box 974 Station A,"Founded 1960. Covers San Mateo County, CA. Meets 1st Friday of month, San Mateo College Planetarium",,,,
Sandusky Valley Amateur Astronomy Club,Tiffin 650 SW Washington St.,http://www.friendlynet.com/astronom,,,,
Sangamon Astronomical Society,Springfield 4501 Greenbriar Drive,22 members,,,,
Santa Cruz Astronomy Club,Santa Cruz L-2 San Carlos Lane,60 members,,,,
Santa Monica Amateur Astronomy Club,Woodland Hills 5525 Canoga Ave. Apt. 208,48 members,,,,
SB Astronomical Unit,Santa Barbara Museum of Natural History at 2559 Puesta Del Sol Road,first Fri of every month from 7:30-9PM,,,,
Seattle Astronomical Society,Seattle P.O. Box 31746,233 members,,,,
Seven Ponds Astronomy Club,Dryden 3854 Crawford Rd.,http://www.geocities.com/jelines,,,,
Sheboygan Astronomical Society,Fond du Lac N5427 Grandview Rd.,28 members,,,,
Sheep Hill Astronomical Assn.,Boonton P.O. Box 111,30 members,,,,
Shenandoah Astronomical Society,Middletown c/o Lord Fairfax Community College,41 members,,,,
Shenandoah Valley Stargazers,Harrisonburg 745 Circle Drive,http://www.valleystargazers.com,,,,
Shoreline Amateur Astronomical Assn.,Holland 3882 62nd St.,25 members,,,,
Shreveport-Bossier Astronomical Society Inc.,Shreveport 353 Ockley Dr.,60 members,,,,
Sidewalk Astronomers of Sacramento,Sacramento 3728 Schutt Way,15 members,,,,
Sidewalk Astronomers of SASI International,Irving 3808 N. Beltline #119,120 members,,,,
Silver Lake Regional High School Astronomy C,Kingston 260 Pembroke St.,2364,,,,
Tri State Astronomical Society,SD Sioux Falls,http://www.tristateastro.org,,,,
Sir Isaac Newton Astronomical Society,Kane P.O. Box 591,10 members,,,,
Sirius Lookers of Sedona,Sedona P.O. Box 87,28 members,,,,
Skokie Valley Astronomers,Warrenville 1 S. 751 Avon Dr.,24 members,,,,
Skyland Star Gazers,East Hanover 6 Deforest Ave.,201-386-1848,,,,
Skyscrapers Inc.,North Scituate 47 Peeptoad Rd.,120 members,,,,
Langley Exchange Skywatchers Astronomy Club,Hampton NASA Langley Research Center - Mail Stop 308,20 members,,,,
Small Scope Observers Assn.,Audubon Park 4 Kingfisher Place,24 members,,,,
Smoky Mountain Astronomical Society,Knoxville P.O. Box 53265,50 members,,,,
Society for Scientific Exploration,Charlottesville P.O. Box 3818,http://www.scientificexploration.or,,,,
SolaFide Observatory,Austin 407 15 St SE,10 members,,,,
Sonoma County Astronomical Society,Santa Rosa P.O. Box 183,250 members,,,,
Sonora Astronomical Society,Green Valley 101 Verde Vista,68 members,,,,
South Bay Astronomical Society,El Segundo 401 Coral Circle,75 members,,,,
South Florida Amateur Astronomers Assn.,Fort Lauderdale Robert Markham Park at 16001 West St.,70 members,,,,
South Jersey Astronomy Club,Port Elizabeth P.O. Box 120,150 members,,,,
South Plains Astronomy Club,Lubbock RR2 Box 240,35 members,,,,
South Shore Astronomical Society,Scituate 34 Sylvester Rd.,50 members,,,,
South Texas Astronomical Society,TX Brownsville,facebook.com/STARSocietyRGV/,,,,
Southeastern Iowa Astronomy Club,West Burlington P.O. Box 14,40 members,,,,
Southern California Observers,Simi Valley 2010 Hillgate Way #L,60 members,,,,
Southern Colorado Astronomical Society,Pueblo 3 Sundance Ct.,30 members,,,,
Southern Cross Astronomical Society,Miami 5401 SW 110th Ave.,200 members,,,,
Southern Maryland Astronomical Society,Marbury P.O. Box 373,http://www.smas.us,,,,
Southern Oregon Skywatchers,Medford P.O. Box 4092,75 members,,,,
Southern Tier Astronomy Recreation Society,Bemus Point 4208 Bayview Rd.,40 members,,,,
Southtowns Astronomy Club,West Seneca 145 Woodward,716-649-6759,,,,
Southwest Montana Astronomical Society,Bozeman Taylor Planetarium,55 members,,,,
Southwest Washington Astronomical Society,Olympia 2513 Wiggins Rd.,35 members,,,,
Spokane Astronomical Society (SAS),Spokane PO Box 8114,http://www.spokaneastronomy.org  ,,,,
Springfield Astronomical Society.,Nixa 875 N. Katrina St.,31 members,,,,
Springfield Stars Club,Springfield P.O. Box 2793,70 members,,,,
Springfield Telescope Makers,Springfield P.O. Box 601,62 members,,,,
St. Louis Astronomical Society,Alton 911 Landgon St.,250 members,,,,
St. Petersburg Astronomy Club Inc.,St. Petersburg 7701 22nd Avenue N,270 members,,,,
Stanislaus Amateur Astronomers,Modesto 435 College Ave. at Modesto Jr. College,15 members,,,,
Star Astronomy Club,Laredo 4658 McPherson Apt C,100 members,,,,
STAR Astronomy Society Inc.,Red Bank P.O. Box 863,100 members,,,,
Stargazers of the Villages,Lady Lake 1040 Soledad Way,50 members,,,,
Starlight Astronomy Club,Duncansville 732 Cedarcrest Dr,25 members,,,,
Starlight Observers League (SOL),Wichita Falls 302 Galleon Drive,http://www.solhome.us,,,,
STARS - Students Taking Astronomy-Related Su,San Francisco Dept. of Astronomy at City College at 50 Phelan Ave.,10 members,,,,
Starsplitters of Wyalusing,Prairie du Chien PO Box 544,"Observatory in Wyalusing State Park.  Member programs, public and school programs, 2000 visitors/yr",,,,
Statesboro Area Astronomy Club,Statesboro Dept. of Physics at Georgia Southern University,50 members,,,,
Stilabower Public Observatory,Lamar 5th and Maple,417-682-3384,,,,
Stillwater Astronomy Club,Stillwater P.O. Box 2614,30 members,,,,
Stillwater Stargazers,Troy Brukner Nature Center at 5995 Horseshoe Bend Rd.,20 members,,,,
Stockton Astronomical Society,Stockton P.O. Box 243,135 members,,,,
Stonebelt Stargazers,Bedford P.O. Box 1112,http://www.mainbyte.com/stargazers/,,,,
Stony Ridge Obs. Inc.,Temecula PO Box 892769,25 members,,,,
Suffolk Astronomy Club,Shirley P.O. Box 703 Christ Baptist Church,516-399-1981,,,,
Sun City Palm Desert Astronomy Club,Palm Desert 78255 Griffin Dr.,92211-1816,,,,
Sunset Astronomical Society,Bay City 3423 Hidden,50 members,,,,
Susquehanna Valley Amateur Astronomers,Lewisburg Bucknell Univ.,20 members,,,,
Sweetwater Astronomical Society,Rock Springs 1113 Hilltop Dr.,55 members,,,,
Syracuse Astronomical Society Inc.,Syracuse 306 Parsons Drive,110 members,,,,
Tacoma Astronomical Society,Puyallup 6103 132nd St. E.,175 members,,,,
Tallahassee Astronomical Society,Tallahassee P.O. Box 824,"40 members, private dark sky site",,,,
Tar River Astronomy Club,Rocky Mount 225 S. Church St.,20 members,,,,
TCC Astronomical Society,Chesapeake 3113 Golden Hind Road,45 members,,,,
Temecula Valley Astronomers,Murrieta P.O. Box 1292,30 members,,,,
Tennessee Valley Astronomy Club,Fayetteville 276 Swan Creek Rd.,53 members,,,,
Texas Astronomical Society,Dallas P.O. Box 25162,518 members,,,,
Thames Amateur Astronomical Society,Gales Ferry 17 Partridge Hollow Rd.,30 members,,,,
The Albuquerque Astronomical Society,Albuquerque PO Box 50581,420 members,,,,
The Astronomy Connection,Los Gatos P.O. Box 134,http://www.seds.org/TAC,,,,
The Dark Sky Observers,Newton 87 Lincoln Laurel Road,12 members,,,,
The Gaston County Skywatchers,Gastonia Schiele Museum at 1500 E. Garrison Blvd,http://groups.yahoo.com/groups/gast,,,,
The Home Planetarium Assn.,Gallatin 1203 Hwy. 25,25 members,,,,
The Patient Astronomer,Silver Spring 2711 Harmon Rd.1,301-933-1596,,,,
The Sirius Stargazers Club,MI South Rockwood,40 members,,,,
The Southwest Florida Astronomical Society,Cape Coral PO Box 100127,http://www.theeyepiece.org,,,,
Tidewater Amateur Telescope Makers,Virginia Beach 677 Charlecote Dr.,30 members,,,,
Tidewater Community College Astronomical Soc,Chesapeake 3113 Golden Hind Rd.,30 members,,,,
Toledo Astronomical Assn. Inc.,Sylvania 4653 Longfellow Rd,50 members,,,,
Tonopah Astronomical Society,Tonopah PO Box 526,http://astronomynv.org/tonopah/,,,,
Treasure Coast Astronomical Society,Port St. Lucie 1755 SE Berkshire Blvd.,772-398-6237,,,,
Treasure Coast Astronomical Society,FL Fort Pierce,FL,,,,
Tri-State Astronomers,Hagerstown 823 Commonwealth Ave,"50 members, Open to Public, Everyone Welcome, 3rd Wednesday @ 7:30pm",,,,
Triad Action Astronomy Club,High Point 305 Gregg St,20 members,,,,
Tri-City Astronomy Club,Richland P.O. Box 651,41 members,,,,
Tri-State Astronomers,Falling Waters 70 Narrow Lane,50 members,,,,
Tri-Valley Stargazers,Livermore P.O. Box 2476,189 members,,,,
Tucson Amateur Astronomy Assn.,Tucson P.O. Box 41254,390 members,,,,
Tulare Astronomical Assn. Inc.,Tulare P.O. Box 515,120 members,,,,
Tule River Amateur Astronomers,Springville P.O. Box 999,35 members,,,,
TUVA Astronomy Club,OK Checotah,http://www.tuvaclub.org,,,,
Twin City Amateur Astronomers Inc.,Normal 508 Normal Ave,50 members,,,,
Tychonian Observers,Glassboro Rowan University at 201 Mullica Hill Rd.,609-256-4500 X4379,,,,
Umpaqua Amateur Astronomers,Roseburg 3150 W. Military Ave.,18 members,,,,
United Astronomy Clubs of New Jersey Inc.,Blairstown 333 State Park Rd,12 astronomy clubs,,,,
University Lowbrow Astronomers,Ann Arbor 6655 Jackson Rd #415,100 members,,,,
University of Arizona Astronomy Club,Tucson Steward Obs.,20 members,,,,
Utah Valley Astronomy Assn.,Lindon 54 N. Canal Dr.,100 members,,,,
Valley of the Moon Astronomical Society,Glen Ellen P.O. Box 999,707-996-1246,,,,
Vandenberg Amateur Astronomical Society,Vandenberg AFB P.O. Box 5321,35 members,,,,
Ventura County Astronomical Society,Simi Valley P.O. Box 982,http://www.vcas.org,,,,
Vermont Astronomical Society,Williston P.O. Box 782,60 members,,,,
Village Star Gazers Society,Hot Springs Village 33 Mesero Way,39 members,,,,
Villanova Astronomical Society,Villanova Astronomy & Astrophysics at Villanova Univ.,http://www.phy.vill.edu/astro/vas/v,,,,
Von Braun Astronomical Society,Huntsville P.O. Box 1142,100 members,,,,
Wabash County Astronomical Society Inc.,Wabash PO Box 49,30 members,,,,
Wabash Valley Astronomical Society,West Lafayette P.O. Box 2020,35 members,,,,
Warren Astronomical Society,Warren P.O. Box 1505,112 members,,,,
Warren County Amateur Astronomy Club Inc.,Warren 310 E. Fifth Ave.,http://stargaze@penn.com,,,,
Warsaw Astronomical Society,Winona Lake 1308 Sunset Dr.,30 members,,,,
Washington State University Astronomy Club,WA Pullman,20 members,,,,
Wayne County Astronomical Society,Wooster P.O. Box 802,30 members,,,,
Wehr Astronomical Society,Franklin Wehr Nature Center at 9701 W. College Ave.,134 members,,,,
West Central Minnesota Astronomy Group,Willmar 622 9th St. SW,8 members,,,,
West Kentucky Amateur Astronomers,Dawson Springs 508 Park Ave.,44 members,,,,
West Texas Astronomers,Midland Blakemore Planetarium at 1705 W. Missouri,48 members,,,,
West Virginia University Astronomy Club,Morgantown P.O. Box 6315,25 members,,,,
Westchester Amateur Astronomers,Valhalla P.O. Box 44,200 members,,,,
Western Amateur Astronomers,Lafayette P.O. Box 412,http://www.waa.av.org/,,,,
Western Colorado Astronomy Club,Grand Junction P.O. Box 55032,25 members,,,,
Western Montana Astronomical Assn.,Missoula 4216 South Ave. West,20 members,,,,
Westminster Astronomical Society,Westminster 300 John Owings Road,14-inch Schmidt-Cassagrain,,,,
Westport Astronomical Society,Westport 182 Bayberry Lane,120 members,,,,
Whatcom Association of Celestial Observers,Ferndale P.O. Box 1721,45 members,,,,
Whitney Astronomy Assn.,North Richland Hills 7005 Southampton,http://whitney-astro.com,,,,
Wilderness Center Astronomy Club,Wilmot 9877 Alabama Ave. SW,20 members,,,,
Williamson County Astronomy Club,Georgetown 901 S. Church St.,25 members,,,,
Willingboro Astronomical Society,Gloucester P.O. Box 371,40 members,,,,
Winston-Salem Astronomical League,Winston-Salem 4231 Witherow Road,http://www.wsal.org,,,,
Winter Haven Astronomy Club,Winter Haven 1872 4th St SE,http://home.att.net/~whastro/,,,,
Yakima Astronomical Society,Yakima 801 Crest Drive,20 members,,,,
Yellowstone Valley Amateur Astronomers,Billings 1816 Miles Ave,40 members,,,,
York County Astronomical Society,York 400 Mundis Race Rd.,50 members,,,,
Astronomical Society of Greenwich,"Greenwich The Bruce Museum, Museum Drive","1st Wed 7:30pm, Oct-May (except Jan)",,,,
Roswell Astronomy Club,Roswell 807 N Missouri,4th Thu at 7pm Jan-Oct,,,,
Lipan Astronomy & Space Society,Lipan 1180 Addison Rd,http://lipan.net/~rradd/,,,,
Mt Shasta Star Gazers,Mt Shasta 309 N Mt Shasta Blvd,http://www.mtshastastargazers.com,,,,
Desert Foothills Astronomy Club,Anthem North Valley Regional Library,"http://www.dfacaz.org
",,,,
NW Jersey Amateur Astronomers ,NJ Blairstown,100 members,,,,
Carbon County Star Parties,UT Price,236 members,,,,
Fairmont Astronomy Club,Fairmont 404 E 1st street,facebook.com/https://m.facebook.com/groups/112990205391489?ref=bookmarks,,,,
General Motors Astronomy Club,Milford General Motors Milford Proving Ground,monthly public meetings,,,,
Star City Astronomy Network,Roanoke 3578 Berryhill Dr,8 members,,,,
Rim Astronomy Club,Payson 607 S Beeline Hwy Sp 6,16-in GoTo Dob, 12-in Dob, 14-in SCT, 12-in SCT, assorted
Cache Valley Astronmical Society,Nibley 2689 S 800 W,32 members,,,,
Central Texas Astronomical Society,Clifton 14801 FM 182,100+ members,,,,
Crystal Coast Stargazers,Harkers Island 103 Decoy Drive,40 members,,,,
Astronomy Club of Verrado,Buckeye 4239 North Village Street,300+ members,,,,
Amateur Astronomers Group,Alamogordo 509 Dog Canyon Road,facebook.com/https://www.facebook.com/AmateurAstronomersGroup/,,,,
Columbia Astronomers,Downey 12400 Columbia Way,https://nightsky.jpl.nasa.gov/club-view.cfm?Club_ID=1523,,,,
Sugar Creek Astronomical Society,AR Bella Vista,meets at Hobbs State Park Visitors Center,,,,
St Louis Astronomical Society,MO St Louis,meets at Washington University,,,,
Broken Arrow Sidewalk Astronomers,Broken Arrow 829 W Vicksburg St,facebook.com/BASideWalkAstronomer,,,,
Santa Fe Stargazers,Santa Fe 14 Avenida Torreon,meets at Vista Grande Library,,,,
