Asta K. Pellinen-Wannberg,"['Swedish Inst Space Physics', 'Kiruna Division', 'Box 812', '981 28 Kiruna', 'Sweden']"
Qing LIN,"['Shanghai Science & Education Publishing House', '393 Guan Shen Yuan Rd.', 'Shanghai 200235', 'Shanghai', 'China, Nanjing']"
Fukun LIU,"['Peking University', 'Dept Astronomy-School of Physics', 'YiHeYuan Lu 5', 'Haidian District', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Yu-Qing LOU,"['Tsinghua University', 'Physics Department and Tsinghua Center for Astrophysics', 'Beijing 100084', 'Beijing', 'China, Nanjing']"
Shengbang QIAN,"['Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Xiaochun Sun,"['Inst History Natural Science, CAS', '55 Zhongguancun East Road', 'Beijing 100190', 'Beijing', 'China, Nanjing']"
Zheng-Hong TANG,"['Shanghai Astronomical Observatory CAS', 'Laboratory of Technologies for Optical Astronomy', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Jin-he TAO,"['Chinese Academy of Sciences', 'Shanghai Astronomical Observatory', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
jiancheng WANG,"['Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Na WANG,"['Xinjiang Astronomical Observatory', 'Chinese Academy of Sciences', '150, Science 1-Street', 'Urumqi 830011', 'Xinjiang', 'China, Nanjing']"
Ding-Xiong WANG,"['Huazhong Univ of Sciences & Technology', 'Dept Physics', 'Wuhan 430074', 'Hubei', 'China, Nanjing']"
Jianyan WEI,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing  100012', 'Beijing', 'China, Nanjing']"
Xue-bing WU,"['Peking University', 'Dept Astronomy-School of Physics', 'YiHeYuan Lu 5', 'Haidian District', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Haitao WU,"['Chinese Academy of Sciences', 'National Time Service Center', 'Box 18', 'Lintong 710600', 'Shaanxi', 'China, Nanjing']"
Shaoping WU,"['Central China Normal University', 'Dept Physics', 'Wuhan 430079', 'Hubei', 'China, Nanjing']"
Renxin XU,"['Beijing University', 'Dept Astronomy-School of Physics', 'YiHeYuan Lu 5', 'Haidian District', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Jun XU,"['National Astronomical Observatories', 'Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Weibiao XU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Suijian XUE,"['National Astronomical Observatories', '20A Datun Rd', 'Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Zhiliang YANG,"['China, Nanjing ']"
Nanhua YU,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Ye-fei YUAN,"['University of Science/Technology', 'Centre for Astrophysics', 'USTC', 'Hefei 230026', 'Anhui', 'China, Nanjing']"
Shuang Nan ZHANG,"['Institute of High Energy Physics, Chinese Academy of Sciences', 'Center for Particle Astrophysics', 'Yu-Quan-Lu 19B', 'ShiJingShan District', 'Beijing 100049', 'Beijing', 'China, Nanjing']"
Huawei ZHANG,"['Peking University', 'Dept Astronomy, School of Physics', 'YiHeYuan Lu 5', 'Haidian District', 'Beijing 100871', 'Beijing', 'China, Nanjing']"
Li ZHANG,"['Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Hongbo ZHANG,"['Chinese Academy of Sciences', 'Urumqi Astronomical Observatory', '40-5 South Beijing Rd', 'Urumqi 830011', 'Xinjiang', 'China, Nanjing']"
You ZHAO,"['Chinese Academy of Sciences', 'National Astronomical Observatories', 'No.20A, Datun Rd., Chaoyang District', 'Beijing 100012', 'Beijing', 'China, Nanjing']"
Donghai ZHAO,"['Shanghai Astronomical Observatory CAS', '80 Nandan Rd', 'Shanghai 200030', 'Shanghai', 'China, Nanjing']"
Xiaoping ZHENG,"['Central China Normal University', 'Physics Dept', 'Sclool of Physics and technology, CCNU, Wuhan China', 'Wuhan 430079', 'Hubei', 'China, Nanjing']"
Zhenxi ZHU,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Shantanu Basu,"['University of Western Ontario', 'Dept Physics-Astronomy', 'London ON N6A 3K7', 'Ontario (ON)', 'Canada']"
Pierre Bergeron,"['Université de Montréal', 'Dept de Physique', 'CP 6128 Succ A', 'Montréal QC H3C 3J7', 'Quebec (QC)', 'Canada']"
David A. Clarke,"[""Saint Mary's University"", 'Department of Astronomy and Physics', 'Halifax NS B3H 3C3', 'Nova Scotia (NS)', 'Canada']"
Tracy E. Clarke,"['NRL - NAVY', 'Naval Research Laboratory', 'Code 7213', '4555 Overlook Ave SW', 'Washington DC 20375', 'D.C.', 'United States']"
Martin G. Connors,"['Athabasca University', '1 University Dr', 'Athabasca AB T9S 3A3', 'Alberta (AB)', 'Canada']"
Stéphanie Côté,"['NRC Herzberg Inst of Astrophysics', '5071 W Saanich Rd', 'Victoria BC V9E 2E7', 'British Columbia (BC)', 'Canada']"
Gary R. Davis,"['2 Fytton Close', 'Gawsworth', 'Macclesfield SK11 9RB', 'Cheshire', 'United Kingdom']"
James Di Francesco,"['National Research Council of Canada', 'Herzberg Astronomy & Astrophysics Research Centre', '5071 W Saanich Rd', 'Victoria BC V9E 2E7', 'British Columbia (BC)', 'Canada']"
Martin J. Duncan,"[""Queen's University"", 'Dept Physics', 'Stirling Hall', 'Kingston ON K7L 3N6', 'Ontario (ON)', 'Canada']"
Patrick R. Durrell,"['Youngstown State University', 'Physics-Astronomy Dept', 'Youngstown OH 44555', 'Ohio (OH)', 'United States']"
Yvan Dutil,"['2917 de Summerside', 'Québec G1W 2E9', 'Quebec (QC)', 'Canada']"
William E. Harris,"['McMaster University', 'Dept Physics-Astronomy', '1280 Main St W', 'ABB-241', 'Hamilton ON L8S 4M1', 'Ontario (ON)', 'Canada']"
Victoria M. Kaspi,"['McGill University', '3600 Rue Université', 'Montréal QC H3A 2T8', 'Quebec (QC)', 'Canada']"
JJ. Matthew Kavelaars,"['NRC Herzberg Inst of Astrophysics', '5071 W Saanich Rd', 'Victoria BC V9E 2E7', 'British Columbia (BC)', 'Canada']"
Rene Plume,"['University of Calgary', 'Dept. of Physics & Astronomy', '2500 University Dr NW', 'Calgary T2N 1N4', 'Alberta (AB)', 'Canada']"
Samar Safi-Harb,"['University of Manitoba', 'Dept of Physics and Astronomy', '311 Allen Bldg.', '30A Sifton Road', 'Winnipeg R3T 2N2', 'Manitoba (MB)', 'Canada']"
Alison I. Sills,"['McMaster University', 'Physics and Astronomy', '1280 Main St W', 'Hamilton L8S 4M1', 'Ontario (ON)', 'Canada']"
Ingrid H. Stairs,"['University of British Columbia', 'Dept Physics-Astronomy', 'Hennings Bldg', '6224 Agricultural Rd', 'Vancouver BC V6T 1Z1', 'British Columbia (BC)', 'Canada']"
Evgeniy Tikhomolov,"['TRIUMF', ""Canada's National Laboratory for Particle and Nuclear Physics"", '4004 Wesbrook Mall', 'Vancouver V6T 2A3', 'British Columbia (BC)', 'Canada']"
Gregg A. Wade,"['Royal Military College of Canada', 'Dept Physics', 'Box 17000 Station Forces', 'Kingston ON K7K 4B4', 'Ontario (ON)', 'Canada']"
Alan R. Webster,"['University of Western Ontario', 'Dept Electrical Engineering', 'London ON N6A 5B9', 'Ontario (ON)', 'Canada']"
Lawrence M. Widrow,"[""Queen's University"", 'Physics, Engineering Physics, and Astronomy', 'Stirling Hall', 'Kingston ON K7L 3N6', 'Ontario (ON)', 'Canada']"
Yanqin Wu,"['University of Toronto', 'Astronomy-Astrophysics Dept', '60 St George St', 'Toronto ON M5S 3H8', 'Ontario (ON)', 'Canada']"
Hasan Abu Kassim,"['University of Malaya', 'Department of Physics', 'Department of Physics', 'University of Malaya', 'Kuala Lumpur 50603', 'Malaysia']"
Per Arne Aannestad,"['15746 E Cholla Drive', 'Fountain Hills 85268', 'Arizona (AZ)', 'United States']"
Guy Joseph Consolmagno,"['Specola Vaticana', '00120 Città del Vaticano', 'Vatican City State']"
Toshihiro HANDA,"['Kagoshima Univerisity', 'Faculty of Science', 'Korimoto 1-21-35', 'Kagoshima   890-0065', 'Kyushu-Okinawa', 'Japan']"
Rafał Moderski,"['Polish Academy of Sciences', 'Copernicus Astronomical Center', 'Bartycka 18', '00-716 Warsaw', 'Poland']"
Jacco Th. van Loon,"['Keele University', 'Astrophysics Group', 'Lennard-Jones Laboratories', 'Staffordshire ST5 5BG', 'United Kingdom']"
Coryn A.L. Bailer-Jones,"['Max Planck Institute for Astronomy', 'Königstuhl 17', '69117 Heidelberg', 'Germany']"
David Barrado Navascués,"['European Space Astronomy Centre', 'Centro de Astrobiologia (INTA-CSIC)', 'Department of Astrophysics', 'Villanueva de la Cañada', 'PO Box 78', '28692 Madrid', 'Spain']"
Aaron J. Barth,"['University of California Irvine', 'Department of Physics and Astronomy', '4129 Frederick Reines Hall', 'Irvine CA 92697-4575', 'California (CA)', 'United States']"
Stephane Basa,"[""Laboratoire d'Astronomie Spatiale"", 'Traverse du Siphon', 'Les Trois Lucs, PB8', '13376 Marseille Cedex 12', 'France']"
Vladimir A. Baturin,"['Moscow State University', 'SAI-Sternberg Astronomical Inst', 'Universitetskij pr 13', '119992 Moscow', 'Russian Federation']"
Anthony James Beasley,"['NRAO', '520 Edgemont Rd', 'Charlottesville 22903-2475', 'Virginia (VA)', 'United States']"
Ugo Becciani,"['Istituto Nazionale di AstroFisica', 'INAF', 'Osservatorio Astrofisico di Catania', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
Werner Becker,"['MPI für Extraterrestrische Physik', 'Giessenbachstrasse 1', '85748 Garching', 'Germany']"
Richard J. Wainscoat,"['University of Hawaii Honolulu', 'Institute of Astronomy', '2680 Woodlawn Dr', 'Honolulu HI 96822', 'Hawaii (HI)', 'United States']"
Luis Ramon Bellot Rubio,"['Inst de Astrofisica de Andalucía', 'C/ Bajo de Huétor 50', '18008 Granada', 'Spain']"
Edwin A. Bergin,"['University of Michigan', 'Astronomy Dept', '1085 S. University Ave', 'Ann Arbor MI 48109-1107', 'Michigan (MI)', 'United States']"
Vasily S. Beskin,"['RAS', 'Lebedev Physical Inst', 'Leninsky prosp 53', '119991 Moscow', 'Russian Federation']"
Marta Folgueira,"['Univ Complutense de Madrid', 'UCM-Fac Ciencias Matematicas', 'Depto Astronomía y Geodesia', 'Plaza de Ciencias 3', 'Ciudad Universitaria', '28040 Madrid', 'Spain']"
Jolanta Nastula,"['Polish Academy of Sciences', 'Space Research Center', 'Bartycka 18 A', '00-716 Warsaw', 'Poland']"
Richard F. Barrow,['United Kingdom ']
Alfred Bohrmann,['Germany ']
Vladimir Dermendjiev,['Bulgaria ']
Peter Dobronravin,['Ukraine ']
Christian Friedemann,['Germany ']
Karl-Heinz Gebler,['Germany ']
Heinz Herold,['Germany ']
Minoru ODA,['Japan ']
Reuven Ramaty,['United States ']
Johannes Richter,['Germany ']
Branislav M. Sevarlic,"['Serbia, Republic of ']"
Joseph W. Siry,['United States ']
Kaj Aa Strand,['United States ']
Max Waldmeier,['Switzerland ']
Jean Delhaye,['France ']
Alik R. Abbasov,"['Azerbaijan, Republic of ']"
David J. Adams,['United Kingdom ']
Valerij G. Babin,['Russian Federation ']
Donald E. Billings,['United States ']
Vladimir E. Chistyakov,['Russian Federation ']
A. W.J. Cousins,['South Africa ']
Arthur E. Covington,['Canada ']
Arthur Falnes Davidsen,['United States ']
Merton E. Davies,['United States ']
Levent Denizman,['Turkey ']
Muammer Dizer,['Turkey ']
Lawrence Dunkelman,['United States ']
Herbert Friedman,['United States ']
Frederick A. Goldsworthy,['Albania ']
J. Mayo Greenberg,['Netherlands ']
Nikolai P. Groushinsky,['Russian Federation ']
Pierre Guérin,['France ']
Robert Hanbury Brown,['United Kingdom ']
Fred Hoyle,['United Kingdom ']
Victor A. Hughes,['Canada ']
Kurt Hunger,['Germany ']
Louise F. Jenkins,['United States ']
A. Jensch,['Germany ']
Frank J. Kerr,['United States ']
Evgeni K. Kharadze,['Georgia ']
Margita Kresáková,['Slovakia ']
Georgly V. Kuklin,['Russian Federation ']
Marius Laffineur,['France ']
Natalia V. Merman,['Russian Federation ']
John D. Mihalov,['United States ']
Olexandr Molotaj,['Ukraine ']
Mikhail Nezlin,['Russian Federation ']
Peter Nilson,['Sweden ']
John A. O'Keefe,['United States ']
Michiel Daniel Overbeek,['South Africa ']
Leonid M. Ozernoy,['United States ']
Winfried Petri,['Germany ']
Milorad B. Protich,"['Serbia, Republic of ']"
John H. Reynolds,['United States ']
John A. Russell,['United States ']
Peter A.G. Scheuer,['United Kingdom ']
Philip E. Seiden,['United States ']
P. V. Shcheglov,['Russian Federation ']
C. Bruce Stephenson,['United States ']
Robert S. Stobie,['South Africa ']
Naum M. Tseytlin,['Russian Federation ']
David J. van Blerkom,['United States ']
Arthur B.C. Walker Jr,['United States ']
Joseph Weber,['United States ']
Albert E. Whitford,['United States ']
Arne A. Wyller,['United States ']
S. A. Zhevakin,['Russian Federation ']
Herbert Zook,['Netherlands ']
Kenneth O. Wright,['Canada ']
James Cuffey,['United States ']
John H. deWitt Jr,['United States ']
Virginia Gregorieva,['Ukraine ']
A. Noel Argue,['United Kingdom ']
Aleksandr S. Sharov,['Russian Federation ']
Jana Pittichova,"['P.O.Box 376', 'Monrovia 91017', 'California (CA)', 'United States']"
Vakhtang S. Tamazian,"['Universidade de Santiago de Compostela', 'R M Aller Astronomical Observatory and Department of Applied Mathematics', 'Avda das Ciencias s/n', 'PO Box 197', '15782 Santiago de Compostela', 'Spain']"
Danilo Zulevic,"['Serbia, Republic of ']"
Aleksandr N. Deutsch,['Russian Federation ']
Petr G. Kulikovskij,['Russian Federation ']
Morsi M. Amer,"['Cairo University Faculty of Sciences', 'Astronomy Dept', 'Orman', 'Giza 12613', 'Egypt']"
Karen S. Bjorkman,"['University of Toledo', 'College of Natural Sciences and Mathematics', '2801 W Bancroft St', 'MS 620', 'Toledo OH 43606', 'Ohio (OH)', 'United States']"
Sergey I. Blinnikov,"['ITEP', 'Nuclear Energy & Sci-Techn Ministries', 'B. Cheremushkinskaya 25', '117259 Moscow', 'Russian Federation']"
Jean-François Claeskens,"[""Inst d'Astrophysique-Géophysique"", 'Université de Liège', 'IAGL', '17 allée du 6 Août (Bât B5c)', 'Parc Scientifique du Sart Tilman', '4000 Liège', 'Belgium']"
Joris A.D.L. Blommaert,"['AARG, Vrije Universiteit Brussel', 'Dept. of Physics and Astrophysics', 'Pleinlaan 2', '1050 Brussels', 'Belgium']"
Jean-François E. Hochedez,"['CNRS / LATMOS (Laboratoire Atmosphères, Milieux, Observations Spatiales)', 'SHTI & HEPPI', ""11 Boulevard D'Alembert"", 'Quartier des Garennes', '78280 Guyancourt', 'France']"
Emmanuel Jehin,"['Université de Liège', ""Dépt d'astrophys. géophysique et océanographie"", 'Bât. B5', 'Allée du 6 Août 17', '4000 Liège 1', 'Belgium']"
Pierre Royer,"['Katholieke University Leuven', 'Inst of Astronomy', 'Celestijnenlaan 200 D', '3001 Leuven', 'Belgium']"
Griet C. van de Steene,"['Royal Observatory Belgium', 'Av Circulaire 3-Ringlaan 3', '1180 Brussels', 'Belgium']"
Olivier de Viron,"['PRES Paris Cité, Univ. Paris Diderot', 'Inst de Physique du Globe de Paris', 'Bâtiment Lamarck, GSP, UFR STEP', '35 rue H. Brion', '75013 Paris', 'France']"
Yi-Ping QIN,"['Chinese Academy of Sciences', 'Yunnan Observatory', 'PO Box 110', 'Kunming 650011', 'Yunnan', 'China, Nanjing']"
Qibin LI,"['China, Nanjing ']"
Yipeng JING,"['Shanghai Jiao Tong University', 'Department of Physics', '800 Dongchuan RD', 'Minhang District', 'Shanghai 200240', 'Shanghai', 'China, Nanjing']"
Shan WENLEI,"['Chinese Academy of Sciences', 'Purple Mountain Observatory', '2 West Beijing Rd', 'Nanjing 210008', 'Jiangsu', 'China, Nanjing']"
Douglas C-J. Bock,"['CSIRO Astronomy and Space Science', 'PO Box 76', 'Epping 1710', 'New South Wales (NSW)', 'Australia']"
Andrew F. Boden,"['California Institute of Technology', 'Astronomy', 'MS 11-17', '1216 E California Blvd', 'Pasadena CA 91125', 'California (CA)', 'United States']"
Hans Böhringer,"['MPI für Extraterrestrische Physik', 'Giessenbachstrasse 1', '85748 Garching', 'Germany']"
Christian M. Boily,"['Observatoire Astronomique de Strasbourg', ""11 rue de l'Université"", '67000 Strasbourg', 'France']"
Torsten Boeker,"['ESA', 'SCI-OD', '3700 San Martin Drive', 'Baltimore MD 21218', 'Maryland (MD)', 'United States']"
Alberto D. Bolatto,"['University of Maryland', 'Dept of Astronomy', 'Lab for Millimeter-wave Astronomy', 'College Park MD 20742-2421', 'Maryland (MD)', 'United States']"
Marco Bondi,"['INAF', 'Istituto di Radioastronomia', 'Via P Gobetti 101', '40129 Bologna', 'Italy']"
Gholam H. Bordbar,"['Shiraz University', 'Physics Dept', 'Adabiat College of Sciences', '71454 Shiraz', 'Iran, Islamic Rep of']"
Volker Bothmer,"['University of Göttingen', 'Institute for Astrophysics', 'Friedrich-Hund-Platz 1', '37077 Göttingen', 'Germany']"
Tyler L. Bourke,"['SKA Organisation', 'Jodrell Bank Observatory', 'Lower Withington', 'Macclesfield SK11 9DL', 'Cheshire', 'United Kingdom']"
Geoffrey C. Bower,"['ASIAA', '645 N Aohoku Pl', 'Hilo 96720', 'Hawaii (HI)', 'United States']"
Bernhard R. Brandl,"['Leiden University', 'Leiden Observatory', 'Niels Bohrweg 2', '2333 CA', '2300 RA Leiden', 'Netherlands']"
William Nielsen Brandt,"['The Pennsylvania State University', 'Department of Astronomy & Astrophysics', '525 Davey Lab', 'University Park PA 16802', 'Pennsylvania (PA)', 'United States']"
Nancy S. Brickhouse,"['Harvard Smithsonian CfA', 'Solar, Stellar, and Planetary Sciences Division', 'MS 45', '60 Garden Str', 'Cambridge MA 02138-1516', 'Massachusetts (MA)', 'United States']"
Jan Budaj,"['Slovak Academy of Sciences', 'Astronomical Institute', '059 60 Tatranska Lomnica', 'Slovakia']"
Rodion A. Burenin,"['RAS', 'Space Research Inst', 'Prosoyuznaya ul 84/32', '117997 Moscow', 'Russian Federation']"
Andreas Michael Burkert,"['Ludwig-Maximilians University Munich', 'University Observatory', 'Scheinerstr 1', '81679 München', 'Germany']"
Vadim Burwitz,"['MPI für Extraterrestrische Physik', 'Giessenbachstrasse 1', '85748 Garching', 'Germany']"
Giovanni Busarello,"['INAF', 'Osservatorio Astronomico di Capodimonte', 'Via Moiarello 16', '80131 Napoli', 'Italy']"
Bryan J. Butler,"['NRAO', 'AOC', 'PO Box 0', '1003 Lopezville Rd', 'Socorro NM 87801-0387', 'New Mexico (NM)', 'United States']"
Laurent Cambrésy,"['Observatoire Astronomique de Strasbourg', ""11 rue de l'Université"", '67000 Strasbourg', 'France']"
Rafael Carlos Reyes,"['Universidad de San Marcos', 'Av. Angélica Gamarra 2118', 'Lima 31', 'Peru']"
Per Carlson,"['AlbaNova SCFAB', 'Institute f Solar Physics', 'Roslagsvägen 30B', '106 91 Stockholm', 'Sweden']"
Daniela Carollo,"['INAF', 'Osservatorio Astronomico di Torino', 'Via Osservatorio 20', 'Pino Torinese', '10025 Torino', 'Italy']"
Eugenio Carretta,"['INAF', 'Osservatorio di Astrofisica e Scienza dello Spazio di  Bologna', 'Via P. Gobetti 93/3', '40129 Bologna', 'Italy']"
Joel C. Carvalho,"['DFTE-UFRN', 'CP 1661', 'Natal, RN 59072-970', 'Rio Grande do Norte (RN)', 'Brazil']"
Jorge M.F. Carvano,"['Observatorio Nacional', 'R. Gal. Jose Cristino 77', 'São Cristóvão', 'Rio de Janeiro, RJ 20921-400', 'Rio de Janeiro (RJ)', 'Brazil']"
Giovanni Catanzaro,"['Istituto Nazionale di AstroFisica', 'INAF', 'Osservatorio Astrofisico di Catania', 'Via S. Sofia 78', '95123 Catania', 'Italy']"
George Chartas,"['College of Charleston', 'Department of Physics and Astronomy', '525 Davey Lab', 'Charleston SC 29424', 'South Carolina (SC)', 'United States']"
Hsiao-Wen CHEN,"['Kavli Institute for Cosmological Physics', 'Department of Astronomy & Astrophysics', 'The University of Chicago', '5640 S. Ellis Ave', 'Chicago Chicago, IL 60637', 'Illinois (IL)', 'United States']"
Yulia A. Chernetenko,"['Inst of Applied Astronomy RAS', 'Nab Kutuzova 10', '191187 St Petersburg', 'Russian Federation']"
Steven R. Chesley,"['CALTECH', 'JPL', 'MS 301 150', '4800 Oak Grove Dr', 'Pasadena CA 91109', 'California (CA)', 'United States']"
Grant W. Christie,"['Auckland Observatory', '23 Hardington Str', 'Onehunga', 'Auckland 1061', 'New Zealand']"
Riccardo U. Claudi,"['INAF', 'Osservatorio Astronomico di Padova', ""Vicolo dell'Osservatorio 5"", '35122 Padova', 'Italy']"
Douglas I. Clowe,"['Ohio University', 'Department of Physics and Astronomy', '251B Clippinger Labs', 'Athens 45701', 'Ohio (OH)', 'United States']"
François Colas,"['Observatoire de Paris', 'IMCCE', '77 Av Denfert Rochereau', 'Bat. A', '75014 Paris', 'France']"
Christopher J. Conselice,"['Nottingham', 'Dept of Astronomy', 'University Park', 'University of Nottingham', 'Nottingham Ng7 2rd', 'Northumberland', 'United States']"
Asantha R. Cooray,"['University of California Irvine', 'Physics & Astronomy', 'FRH 2174', 'UC Irvine', 'Irvine CA 92697', 'California (CA)', 'United States']"
Vitor Costa,"['Universidade do Porto', 'Centro de Astrofísica', 'Rua das Estrelas', '4150-762 Porto', 'Portugal']"
Vincent Coudé du Foresto,"['Observatoire Paris-Site de Meudon', 'LESIA', '5 Pl Jules Janssen', '92195 Meudon Cedex', 'France']"
Margarida Cunha,"['Universidade do Porto', 'Centro de Astrofísica', 'Rua das Estrelas', '4150-762 Porto', 'Portugal']"
Werner Curdt,"['MPI für Solar System Research', 'Justus-von-Liebig-Weg 3', '37077 Göttingen', 'Germany']"
Andrei K. Dambis,"['Moscow State University', 'SAI-Sternberg Astronomical Inst', 'Universitetskij pr 13', '119992 Moscow', 'Russian Federation']"
Rolf Danner,"['Caltech/JPL', '4800 Oak Grove Drive', 'Mail Stop 301-335', 'Pasadena 91109-8099', 'California (CA)', 'United States']"
Christine Cordula Dantas,"['Instituto de Aeronáutica e Espaço / DCTA', 'Materials Division / AMR', 'Pça. Mal. Eduardo Gomes, 50', 'Vila das Acácias', 'S José dos Campos, SP 12228-904', 'São Paulo (SP)', 'Brazil']"
Christopher J. Davis,"['National Science Foundation', 'MPS/AST', 'Division of Astronomical Sciences', '2415 Eisenhower Avenue', 'Alexandria 22314', 'Virginia (VA)', 'United States']"
Roelof S. de Jong,"['rdejong@aip.de', 'Leibniz-Institut für Astrophysik Potsdam (AIP)', 'An der Sternwarte 16', 'D-14482 Potsdam', 'Germany']"
Duilia F. de Mello,"['Goddard Space Flight Center', 'Catholic University of America and GSFC/NASA', 'Physics Dept', '200 Hannan Hall', 'Washington DC 20064', 'D.C.', 'United States']"
Konrad Dennerl,"['MPI für Extraterrestrische Physik', 'Giessenbachstrasse 1', '85748 Garching', 'Germany']"
Susana E. Deustua,"['Space Telescope Science Inst', 'Instruments Division', '3700 San Martin Dr', 'Baltimore MD 21218', 'Maryland (MD)', 'United States']"
Maria Pia Di Mauro,"['INAF', 'IAPS, Istituto di Astrofisica e Planetologia Spaziali', 'Via Fosso del Cavaliere 100', 'Tor Vergata', '00133 Roma', 'Italy']"
Thais Mothé-Diniz,"['Norwegian University of Science and Technology (NTNU)', 'Faculty of Natural Sciences', '7491 Trondheim', 'Norway']"
José Dias do Nascimento,"['Universidade Federal do Rio Grande do Norte', 'Dept de Física Teórica e Experimental', 'Caixa Postal 1562', 'AC Campus Lagoa Nova', 'Natal, RN 59072-970', 'Rio Grande do Norte (RN)', 'Brazil']"
Gregory W. Doppmann,"['W.M. Keck Observatory', '65-1120 Mamalahoa Highway', 'Kamuela 96743', 'Hawaii (HI)', 'United States']"
Stefan Dreizler,"['Georg-August-Universität Göttingen', 'Institut für Astrophysik', 'Friedrich-Hund-Platz 1', '37077 Göttingen', 'Germany']"
Ronald E. Drimmel,"['INAF - Osservatorio Astrofisico di Torino', 'Strada Osservatorio 20', 'Pino Torinese', '10025 Torino', 'Italy']"
Pierre-Alain Duc,"['Observatoire astronomique de Strasbourg', ""11 rue de l'université"", '67000 Strasbourg', 'France']"
Michael Dumke,"['European Southern Observatory', 'ESO', 'APEX Project', 'Alonso de Cordova 3107', 'Vitacura', 'Santiago', 'Chile']"
Joakim Edsjö,"['AlbaNova SCFAB', 'Institute f Solar Physics', 'Roslagsvägen 30B', '106 91 Stockholm', 'Sweden']"
Soňa Ehlerová,"['Academy of Sciences of Czech Republic', 'Astronomical Institute', 'Boční II 1401', '141 00 Praha 4', 'Czech Republic']"
David Eichler,"['Ben-Gurion University of the Negev', 'Dept Physics', 'PO Box 653', 'Beer-Sheva 84105', 'Israel']"
Torsten A. Enßlin,"['MPI für Astrophysik', 'Planck Surveyor Mission', 'Karl-Schwarzschild-Str 1', '85741 Garching', 'Germany']"
Lev V. Eppelbaum,"['Tel Aviv University', 'Dept Geophys & Planetary Science', 'Ramat Aviv', 'PO Box 39040', 'Tel Aviv 69978', 'Israel']"
Tony L. Farnham,"['University of Maryland', 'Astronomy Dept', 'Comp & Space Sci Bldg', 'College Park MD 20742-2421', 'Maryland (MD)', 'United States']"
Christopher D. Fassnacht,"['University of California', 'Physics Dept', '1 Shields Ave', 'Davis CA 95616', 'California (CA)', 'United States']"
Amadeu Fernandes,"['Instituto Universitário da Maia', 'Avenida Carlos de Oliveira Campos', 'Castêlo da Maia', '4475-690 Maia', 'Portugal']"
Joao Fernandes,"['Universidad de Coimbra', 'Observatorio Astronómico', 'Santa Clara', '3040 Coimbra', 'Portugal']"
Marc Ferrari,"[""Laboratoire d'Astrophysique de Marseille (LAM)"", 'Optics and Instrumentation R&D group', '38, rue Frédéric Joliot-Curie', 'Technopole de Chateau-Gombert', '13388 Marseille Cedex 13', 'France']"
Andrei Fokin,"['Inst of Astronomy RAS', 'Pyatnitskaya ul 48', '119017 Moscow', 'Russian Federation']"
Lilliana Formiggini,"['Tel Aviv University', 'Dept Phys-Astronomy/Wise Observatory', 'Ramat Aviv', 'PO Box 39040', 'Tel Aviv 69978', 'Israel']"
Markus Fraenz,"['Göttingen', 'Justus-von-Liebig-Weg 3', '37077 Göttingen', 'Germany']"
Bernd Freytag,"['--', 'Sweden']"
Amancio C.S. Friaca,"['Universidade de São Paulo', 'Inst Astronomico e Geofisico', 'Rua do Matão 1226', 'Cidade Universitária', 'São Paulo, SP 05508-900', 'São Paulo (SP)', 'Brazil']"
Maria A.D. Machado,"['Observatorio Nacional', 'R. Gal. Jose Cristino 77', 'São Cristóvão', 'Rio de Janeiro, RJ 20921-400', 'Rio de Janeiro (RJ)', 'Brazil']"
Daniel F. Machado Folha,"['Universidade do Porto', 'Centro de Astrofísica', 'Rua das Estrelas', '4150-762 Porto', 'Portugal']"
Witold B. Maciejewski,"['Liverpool John Moores University', 'Astrophysics Research Institute', 'Twelve Quays House', 'Egerton Wharf', 'Birkenhead CH41 1LD', 'Merseyside', 'United Kingdom']"
Lucas Matias Macri,"['Texas A&M University', 'Department of Physics & Astronomy', '4242 TAMU', 'College Station 77843-4242', 'Texas (TX)', 'United States']"
